Origin,Terminal Destination,Occurrences
CCS,PMV,2743
CCS,PZO,1721
CCS,MAR,1679
CCS,PTY,1479
CCS,AUA,1219
CCS,BLA,990
CCS,BOG,911
CCS,VIG,817
CCS,CUR,698
CCS,MUN,625
CCS,BRM,606
CCS,MIA,606
CCS,STD,580
CCS,LSP,314
CCS,MAD,290
CCS,SDQ,259
CCS,LIM,236
CCS,HAV,218
CCS,LRV,199
CCS,EZE,188
CCS,POS,157
CCS,CUM,155
CCS,MEX,150
CCS,IAH,144
CCS,FLL,143
CCS,SOM,104
CCS,BNS,101
CCS,CDG,94
CCS,GYE,93
CCS,JFK,91
CCS,SCL,91
CCS,CUN,86
CCS,FCO,81
CCS,CAJ,76
CCS,MDE,70
CCS,CZE,65
CCS,CTG,64
CCS,SFD,61
CCS,SAL,58
CCS,GRU,57
CCS,PUJ,53
CCS,PYH,53
CCS,GEO,52
CCS,CLO,50
CCS,LFR,46
CCS,LIS,45
CCS,UIO,43
CCS,MAO,41
CCS,BON,38
CCS,AMS,32
CCS,SJO,31
CCS,DFW,29
CCS,FNC,29
CCS,MCO,28
CCS,MGA,28
CCS,FRA,27
CCS,ATL,26
CCS,ADZ,24
CCS,LAX,24
CCS,YYZ,23
CCS,EWR,22
CCS,TAB,22
CCS,GUA,21
CCS,CLT,21
CCS,GCM,20
CCS,BAQ,20
CCS,LHR,20
CCS,ORD,20
CCS,LGA,17
CCS,SXM,16
CCS,PEI,16
CCS,BOS,15
CCS,GIG,14
CCS,GND,13
CCS,SCU,13
CCS,BGA,12
CCS,IST,12
CCS,ASU,12
CCS,SMR,12
CCS,LAS,11
CCS,CUC,11
CCS,SJU,11
CCS,DXB,11
CCS,HOG,11
CCS,BSB,10
CCS,BWI,10
CCS,SVO,9
CCS,DCA,9
CCS,DEN,8
CCS,ANU,8
CCS,AUH,8
CCS,DAV,8
CCS,OPO,7
CCS,LPB,7
CCS,GAO,7
CCS,MTY,7
CCS,NVA,7
CCS,TFN,7
CCS,LGW,7
CCS,GDL,6
CCS,BGI,6
CCS,SLU,6
CCS,VVI,6
CCS,POA,6
CCS,LPA,6
CCS,EYP,6
CCS,BCN,6
CCS,MTR,6
CCS,TXL,6
CCS,CMW,5
CCS,MUC,5
CCS,LET,5
CCS,BRU,5
CCS,PHL,5
CCS,YUL,5
CCS,SFO,5
CCS,ORY,5
CCS,AKL,5
CCS,LIR,5
CCS,GER,5
CCS,TPA,5
CCS,VLV,4
CCS,NAS,4
CCS,MVD,4
CCS,CPH,4
CCS,TGU,4
CCS,COR,4
CCS,TGZ,4
CCS,MLA,4
CCS,BNA,4
CCS,ZRH,4
CCS,YOW,4
CCS,MSY,3
CCS,STL,3
CCS,BLB,3
CCS,PSO,3
CCS,PBC,3
CCS,DUS,3
CCS,FLA,3
CCS,BOD,3
CCS,AXM,3
CCS,MZL,3
CCS,SAW,3
CCS,EJA,3
CCS,ROS,3
CCS,TFS,3
CCS,VGO,3
CCS,MXP,3
CCS,CZU,3
CCS,SEA,3
CCS,AEP,3
CCS,MBJ,3
CCS,UIB,3
CCS,LED,3
CCS,MAN,3
CCS,KIN,3
CCS,DUB,3
CCS,BLQ,3
CCS,PRG,3
CCS,GRX,3
CCS,VCE,3
CCS,OVD,3
CCS,VIE,3
CCS,SAP,3
CCS,PHX,3
CCS,VUP,3
CCS,GVA,3
CCS,NRT,3
CCS,SXF,3
CCS,JBQ,3
CCS,NCE,3
CCS,DTW,3
CCS,ACE,2
CCS,BDL,2
CCS,BIO,2
CCS,HUX,2
CCS,YHM,2
CCS,LEI,2
CCS,CIA,2
CCS,TRN,2
CCS,BZE,2
CCS,CVG,2
CCS,BUD,2
CCS,ATH,2
CCS,IAD,2
CCS,OTP,2
CCS,HMO,2
CCS,SSA,2
CCS,FPO,2
CCS,ZIH,2
CCS,DEL,2
CCS,AHO,2
CCS,RUH,2
CCS,MCI,2
CCS,CZM,2
CCS,ALG,2
CCS,EOH,2
CCS,OAX,2
CCS,PEK,2
CCS,STR,2
CCS,FUE,2
CCS,PLS,2
CCS,ALC,2
CCS,CTA,2
CCS,PPN,2
CCS,LIN,2
CCS,SCQ,2
CCS,CIX,2
CCS,CLE,2
CCS,TIJ,2
CCS,OSL,1
CCS,MPL,1
CCS,TLS,1
CCS,ARN,1
CCS,HOU,1
CCS,VER,1
CCS,CGH,1
CCS,PDX,1
CCS,KRK,1
CCS,USH,1
CCS,CAI,1
CCS,FLN,1
CCS,SKP,1
CCS,TNR,1
CCS,RAK,1
CCS,SAN,1
CCS,CNF,1
CCS,TUN,1
CCS,PTX,1
CCS,CWB,1
CCS,LOH,1
CCS,VGZ,1
CCS,SDU,1
CCS,DAY,1
CCS,KIX,1
CCS,MVP,1
CCS,IGU,1
CCS,SVQ,1
CCS,HAJ,1
CCS,CMH,1
CCS,BDA,1
CCS,INN,1
CCS,SVG,1
CCS,VVC,1
CCS,LDB,1
CCS,LCH,1
CCS,FOR,1
CCS,OMA,1
CCS,TPE,1
CCS,SPC,1
CCS,BTR,1
CCS,PNS,1
CCS,JNB,1
CCS,MHH,1
CCS,YYC,1
CCS,REC,1
CCS,AGP,1
CCS,RTB,1
CCS,PAP,1
CCS,SIN,1
CCS,VLC,1
CCS,PMI,1
CCS,ACT,1
CCS,KUN,1
CCS,CUZ,1
CCS,MEM,1
CCS,OAJ,1
CCS,BPS,1
CCS,MFE,1
CCS,HAM,1
CCS,EYW,1
CCS,IQT,1
CCS,LTN,1
CCS,BDU,1
CCS,SDR,1
CCS,CYB,1
CCS,XRY,1
CCS,BOM,1
CCS,GRR,1
CCS,IGR,1
CCS,IBZ,1
CCS,HEL,1
CCS,BSL,1
CCS,PBI,1
CCS,BGY,1
CCS,DMM,1
CCS,GOT,1
CCS,AMA,1
CCS,FLR,1
CCS,DAL,1
CCS,LAP,1
CCS,BHX,1
CCS,BRC,1
CCS,IOS,1
CCS,RDU,1
CCS,TIP,1
CCS,EDI,1
CCS,LSC,1
CCS,TLV,1
CCS,GOA,1
CCS,MID,1
CCS,YVR,1
CCS,NBO,1
CCS,HRG,1
CCS,DOH,1
CCS,AEX,1
CCS,BHM,1
CCS,RBA,1
CCS,BAH,1
CCS,LCA,1
CCS,SDF,1
CCS,LCG,1
CCS,SJD,1
CCS,ACA,1
CCS,TRU,1
CCS,PHF,1
CCS,EAS,1
