Origin,"Terminal Destination",Occurrences
CCS,PMV,2982
CCS,PZO,1799
CCS,MAR,1649
CCS,PTY,1425
CCS,AUA,1341
CCS,BLA,1046
CCS,BOG,922
CCS,VIG,817
CCS,CUR,771
CCS,MUN,623
CCS,BRM,606
CCS,STD,528
CCS,MIA,341
CCS,LSP,340
CCS,SDQ,270
CCS,LIM,235
CCS,MAD,205
CCS,EZE,198
CCS,LRV,185
CCS,POS,173
CCS,CUM,169
CCS,FLL,139
CCS,SOM,137
CCS,PUJ,135
CCS,GRU,129
CCS,JFK,113
CCS,SCL,110
CCS,HAV,107
CCS,BNS,101
CCS,SFD,99
CCS,MEX,98
CCS,GYE,97
CCS,CUN,81
CCS,GEO,77
CCS,UIO,76
CCS,SAL,73
CCS,PYH,69
CCS,CDG,68
CCS,MDE,67
CCS,MAO,66
CCS,CAJ,66
CCS,CZE,66
CCS,FCO,60
CCS,CTG,59
CCS,BON,58
CCS,CLO,54
CCS,IAH,51
CCS,ATL,41
CCS,SJO,40
CCS,FRA,34
CCS,LFR,34
CCS,BAQ,29
CCS,EWR,25
CCS,MCO,25
CCS,ADZ,23
CCS,MGA,23
CCS,GND,22
CCS,AMS,21
CCS,CLT,20
CCS,TAB,19
CCS,SXM,18
CCS,LHR,17
CCS,DFW,17
CCS,DAV,16
CCS,YYZ,16
CCS,LIS,16
CCS,ROS,14
CCS,LAX,14
CCS,BOS,13
CCS,SMR,11
CCS,PHL,11
CCS,BCN,11
CCS,TPA,11
CCS,GUA,10
CCS,PEI,10
CCS,LGA,10
CCS,LPB,9
CCS,SJU,9
CCS,DXB,9
CCS,VUP,9
CCS,COR,9
CCS,MZL,8
CCS,BGA,8
CCS,POA,8
CCS,ORD,8
CCS,GIG,8
CCS,ORY,8
CCS,AXM,8
CCS,FNC,7
CCS,SVO,6
CCS,MDZ,6
CCS,ANU,6
CCS,DUS,6
CCS,TXL,6
CCS,ASU,6
CCS,LGW,6
CCS,CUC,5
CCS,MTR,5
CCS,CMW,5
CCS,SAP,5
CCS,SFO,5
CCS,LPA,5
CCS,MTY,5
CCS,SSA,5
CCS,IAD,5
CCS,YUL,5
CCS,MXP,5
CCS,LET,5
CCS,BGI,5
CCS,UIB,4
CCS,BWI,4
CCS,NAS,4
CCS,TGU,4
CCS,EYP,4
CCS,LAS,4
CCS,VVI,4
CCS,GAO,4
CCS,MID,4
CCS,MCZ,4
CCS,MAN,4
CCS,LIN,4
CCS,BLB,4
CCS,KIN,4
CCS,HOU,4
CCS,SLU,4
CCS,PMI,3
CCS,VIX,3
CCS,IQT,3
CCS,IBE,3
CCS,PRG,3
CCS,VIE,3
CCS,BEY,3
CCS,SCQ,3
CCS,PSO,3
CCS,JBQ,3
CCS,ARN,3
CCS,CPH,3
CCS,WAW,3
CCS,MUC,3
CCS,IST,3
CCS,CVG,3
CCS,MVD,3
CCS,PMO,3
CCS,NAP,3
CCS,DUB,3
CCS,IBZ,3
CCS,NTE,3
CCS,NVA,3
CCS,DEN,2
CCS,CMH,2
CCS,PXM,2
CCS,JPA,2
CCS,CGB,2
CCS,CNF,2
CCS,MEM,2
CCS,EJA,2
CCS,CIA,2
CCS,MDW,2
CCS,BRU,2
CCS,REC,2
CCS,BHX,2
CCS,EDI,2
CCS,LYS,2
CCS,AUC,2
CCS,MBJ,2
CCS,FLA,2
CCS,AGU,2
CCS,GCM,2
CCS,TGZ,2
CCS,DCA,2
CCS,VVC,2
CCS,IND,2
CCS,SOF,2
CCS,JAX,2
CCS,BSB,2
CCS,TFS,2
CCS,PUU,2
CCS,ATH,2
CCS,STN,2
CCS,VGO,2
CCS,ZLO,2
CCS,PAC,2
CCS,SEA,2
CCS,DOH,2
CCS,PAP,2
CCS,BRC,2
CCS,MSP,2
CCS,AEP,2
CCS,SDR,2
CCS,PIU,1
CCS,VXE,1
CCS,BUD,1
CCS,BIO,1
CCS,BDL,1
CCS,CHS,1
CCS,MAH,1
CCS,ALG,1
CCS,FLN,1
CCS,BLR,1
CCS,FLR,1
CCS,VGZ,1
CCS,SMF,1
CCS,PNA,1
CCS,NQN,1
CCS,FAO,1
CCS,TPE,1
CCS,HOG,1
CCS,DTW,1
CCS,ZCO,1
CCS,RAK,1
CCS,AJU,1
CCS,LPL,1
CCS,RBA,1
CCS,EYW,1
CCS,REG,1
CCS,BZE,1
CCS,CUE,1
CCS,VLC,1
CCS,RDU,1
CCS,GPT,1
CCS,MHT,1
CCS,LCG,1
CCS,LCA,1
CCS,CTA,1
CCS,CAP,1
CCS,ELP,1
CCS,TRN,1
CCS,YEG,1
CCS,DAL,1
CCS,SVQ,1
CCS,TLH,1
CCS,CMN,1
CCS,BZV,1
CCS,LEI,1
CCS,EOH,1
CCS,BOD,1
CCS,AUH,1
CCS,CIX,1
CCS,CAG,1
CCS,JNB,1
CCS,PDL,1
CCS,PHX,1
CCS,HAM,1
CCS,AMM,1
CCS,TNG,1
CCS,YHM,1
CCS,OSL,1
CCS,VLV,1
CCS,SDF,1
CCS,SLC,1
CCS,VSA,1
CCS,CLE,1
CCS,CGK,1
CCS,BDA,1
CCS,KUL,1
CCS,YYT,1
CCS,ZRH,1
CCS,PVR,1
CCS,BCM,1
CCS,AAL,1
CCS,TLV,1
CCS,SPC,1
CCS,HPN,1
CCS,NCE,1
CCS,LTN,1
CCS,BFL,1
CCS,AGP,1
CCS,NAT,1
CCS,HUX,1
CCS,IOS,1
CCS,GYD,1
CCS,LIR,1
CCS,PLS,1
CCS,YYC,1
CCS,PHF,1
CCS,AKL,1
CCS,TRU,1
CCS,TFF,1
CCS,CZU,1
CCS,DOU,1
CCS,OVD,1
CCS,TLS,1
CCS,TBT,1
CCS,OPO,1
CCS,VRN,1
CCS,NWI,1
CCS,LAP,1
CCS,BOM,1
CCS,RAO,1
CCS,XRY,1
CCS,GVA,1
CCS,SLZ,1
CCS,FOR,1
CCS,BRI,1
CCS,SCU,1
CCS,NVT,1
CCS,BLQ,1
CCS,CMB,1
CCS,AGT,1
CCS,HRG,1
CCS,YHZ,1
CCS,ABQ,1
CCS,AHO,1
CCS,DEL,1
CCS,RNS,1
CCS,ACE,1
CCS,BSL,1
