Origin,"Terminal Destination",Occurrences
SAL,IAH,2126
SAL,GUA,1579
SAL,PTY,1363
SAL,LIM,1203
SAL,SJO,1133
SAL,FLL,1108
SAL,BOG,906
SAL,TGU,833
SAL,MGA,699
SAL,MIA,657
SAL,LAX,508
SAL,MEX,465
SAL,SAP,454
SAL,YYZ,346
SAL,MDE,314
SAL,DFW,300
SAL,UIO,272
SAL,RTB,272
SAL,GYE,244
SAL,CLO,243
SAL,ATL,227
SAL,BZE,212
SAL,IAD,187
SAL,SFO,169
SAL,ORD,150
SAL,EWR,144
SAL,JFK,143
SAL,CCS,137
SAL,FRS,123
SAL,EZE,116
SAL,LIR,115
SAL,MAD,103
SAL,LGA,92
SAL,HAV,92
SAL,SCL,88
SAL,CLT,75
SAL,LCE,65
SAL,DEN,54
SAL,CUZ,51
SAL,BWI,48
SAL,PHL,45
SAL,BOS,45
SAL,MSP,44
SAL,DTW,42
SAL,LAS,41
SAL,SJU,41
SAL,CTG,40
SAL,MCO,39
SAL,DCA,39
SAL,CUN,38
SAL,MTY,37
SAL,BAQ,37
SAL,SDQ,35
SAL,SYQ,34
SAL,AUS,34
SAL,GRU,31
SAL,IQT,31
SAL,TZA,30
SAL,CUC,30
SAL,TPE,28
SAL,TPA,28
SAL,AQP,28
SAL,VVI,27
SAL,MSY,25
SAL,PAC,24
SAL,SAT,23
SAL,LPB,23
SAL,BNA,23
SAL,SEA,22
SAL,PUJ,22
SAL,GDL,22
SAL,YVR,21
SAL,LHR,21
SAL,YUL,20
SAL,NRT,20
SAL,MVD,20
SAL,FRA,19
SAL,GIG,19
SAL,BGA,18
SAL,CJA,17
SAL,AMS,17
SAL,YYC,17
SAL,BDL,16
SAL,CLE,16
SAL,PHX,16
SAL,PIT,15
SAL,POS,15
SAL,MDW,15
SAL,PEK,15
SAL,SAN,15
SAL,HND,15
SAL,HPN,14
SAL,RDU,14
SAL,SMF,14
SAL,CDG,14
SAL,SLC,14
SAL,TRU,14
SAL,STL,13
SAL,IND,13
SAL,LOH,13
SAL,SMR,13
SAL,ASU,12
SAL,MEC,12
SAL,VLN,12
SAL,HKG,12
SAL,BJX,12
SAL,LIT,11
SAL,PEI,11
SAL,TUL,11
SAL,SJD,11
SAL,PJM,11
SAL,DXB,11
SAL,BLA,10
SAL,COR,10
SAL,PDX,10
SAL,CVG,10
SAL,PAP,10
SAL,OMA,10
SAL,PVG,10
SAL,MUC,10
SAL,PIU,10
SAL,PVR,10
SAL,BCN,9
SAL,PCL,9
SAL,JAX,9
SAL,MAF,9
SAL,OKC,9
SAL,DAL,9
SAL,CHS,9
SAL,ICN,9
SAL,PLJ,9
SAL,LFT,8
SAL,SJC,8
SAL,YOW,8
SAL,CIX,8
SAL,DOH,8
SAL,VER,8
SAL,NAS,8
SAL,SNA,8
SAL,AUA,8
SAL,HNL,8
SAL,MBJ,8
SAL,CUK,8
SAL,SVO,8
SAL,DME,8
SAL,EYP,7
SAL,OAK,7
SAL,KIN,7
SAL,DAV,7
