Origin,Terminal Destination,Occurrences
BOG,MDE,1803
BOG,CLO,1522
BOG,CTG,1332
BOG,BAQ,1006
BOG,PTY,999
BOG,BGA,922
BOG,ADZ,804
BOG,LIM,774
BOG,SMR,745
BOG,CUC,627
BOG,MEX,559
BOG,MIA,445
BOG,PEI,436
BOG,SCL,421
BOG,CCS,398
BOG,MTR,374
BOG,EYP,306
BOG,JFK,302
BOG,AXM,264
BOG,MZL,256
BOG,FLL,245
BOG,GYE,238
BOG,MAD,230
BOG,NVA,225
BOG,CUN,203
BOG,EOH,193
BOG,VUP,190
BOG,PSO,188
BOG,SAL,176
BOG,UIO,168
BOG,PVA,162
BOG,EZE,143
BOG,AUC,140
BOG,LHR,139
BOG,SJO,131
BOG,GRU,122
BOG,TCO,107
BOG,IAH,106
BOG,EJA,103
BOG,LET,94
BOG,PPN,92
BOG,IBE,91
BOG,CUZ,90
BOG,RCH,89
BOG,BLB,87
BOG,PUJ,86
BOG,BCN,85
BOG,UIB,81
BOG,SDQ,72
BOG,FLA,71
BOG,PUU,68
BOG,GUA,62
BOG,MCO,62
BOG,CUR,61
BOG,VVC,60
BOG,CDG,51
BOG,GPI,48
BOG,RVE,48
BOG,AUA,48
BOG,DFW,46
BOG,MAR,45
BOG,ATL,42
BOG,FRA,38
BOG,HAV,37
BOG,LPB,37
BOG,APO,37
BOG,YYZ,36
BOG,EWR,36
BOG,CZU,36
BOG,VGZ,34
BOG,IAD,32
BOG,PMV,31
BOG,GIG,30
BOG,LQM,29
BOG,IQT,29
BOG,MVP,28
BOG,AQP,28
BOG,PZO,27
BOG,LAX,27
BOG,ESM,25
BOG,BUN,25
BOG,MTY,24
BOG,SJU,24
BOG,PAC,24
BOG,MVD,24
BOG,BLA,22
BOG,GDL,19
BOG,VLN,18
BOG,PDA,18
BOG,CLT,18
BOG,ORD,18
BOG,PCR,18
BOG,ANF,17
BOG,AEP,17
BOG,TPP,16
BOG,YUL,16
BOG,AMS,16
BOG,MGA,16
BOG,SFO,14
BOG,PTX,14
BOG,MUC,13
BOG,BOS,13
BOG,LGW,13
BOG,MUN,13
BOG,TGZ,12
BOG,PMC,12
BOG,IQQ,12
BOG,DXB,12
BOG,LIS,12
BOG,MDZ,11
BOG,PIU,11
BOG,MID,11
BOG,SJE,11
BOG,ORY,11
BOG,LAS,11
BOG,COR,10
BOG,CIX,10
BOG,CJA,10
BOG,CCP,10
BOG,JUL,9
BOG,CBB,9
BOG,ZCO,9
BOG,TIJ,9
BOG,ASU,8
BOG,TAM,8
BOG,IPC,8
BOG,SAP,8
BOG,FOR,8
BOG,CUE,8
BOG,PMI,8
BOG,VIE,7
BOG,HKG,7
BOG,BWI,7
BOG,AUS,7
BOG,VVI,7
BOG,BSC,7
BOG,DOH,6
BOG,DEN,6
BOG,YYC,6
BOG,BRU,6
BOG,ZRH,6
BOG,TRU,6
BOG,MAN,6
BOG,SEA,6
BOG,CUU,6
BOG,MXP,6
BOG,IST,6
BOG,CPH,6
BOG,PHX,5
BOG,DTW,5
BOG,TPA,5
BOG,PUQ,5
BOG,FCO,5
BOG,CJC,5
BOG,SLP,5
BOG,ARI,5
BOG,NAS,5
BOG,NRT,5
BOG,LSC,5
BOG,SOM,5
BOG,PHL,5
BOG,PDX,4
BOG,CPO,4
BOG,CGN,4
BOG,SCQ,4
BOG,BIO,4
BOG,SJD,4
BOG,TGU,4
BOG,BNA,4
BOG,LMC,4
BOG,PEK,4
BOG,SVO,4
BOG,YEG,4
BOG,SCY,4
BOG,BJX,4
BOG,BRM,4
BOG,SVI,4
BOG,LPD,4
BOG,MSP,4
BOG,REC,4
BOG,DUS,4
BOG,LGA,4
BOG,LOH,4
BOG,MXL,4
BOG,PVG,3
BOG,SLC,3
BOG,PIT,3
BOG,GVA,3
BOG,TBP,3
BOG,DCA,3
BOG,CNF,3
BOG,LPA,3
BOG,CUL,3
BOG,MBJ,3
BOG,OAX,3
BOG,IND,3
BOG,CVM,3
BOG,DME,3
BOG,TUN,3
BOG,OPO,3
BOG,CMN,3
BOG,POA,3
BOG,ACR,3
BOG,CWB,3
BOG,SAT,3
BOG,HMO,3
BOG,TFN,3
BOG,OCC,3
BOG,HAM,3
BOG,HOU,3
BOG,KIN,3
BOG,VIX,3
BOG,LRV,3
BOG,PBI,3
BOG,VER,3
BOG,FRS,3
BOG,VSA,3
BOG,WAW,3
BOG,LSP,3
BOG,GCM,3
BOG,REX,3
BOG,ALC,3
BOG,DAV,3
