Origin,Terminal Destination,Occurrences,
GRU,SSA,1147,20792
GRU,POA,884,
GRU,REC,881,
GRU,SCL,773,
GRU,FOR,745,
GRU,CWB,654,
GRU,CNF,638,
GRU,BSB,540,
GRU,EZE,536,
GRU,GIG,525,
GRU,LIM,473,
GRU,PTY,466,
GRU,VIX,385,
GRU,MIA,383,
GRU,FLN,382,
GRU,SDU,375,
GRU,MCZ,365,
GRU,AEP,365,
GRU,CGB,355,
GRU,IST,354,
GRU,IGU,285,
GRU,MAO,266,
GRU,BEL,262,
GRU,NAT,248,
GRU,BOG,246,
GRU,GYN,236,
GRU,MAD,234,
GRU,AJU,229,
GRU,DOH,221,
GRU,MVD,210,
GRU,CGR,205,
GRU,CDG,197,
GRU,SLZ,193,
GRU,LHR,191,
GRU,DXB,180,
GRU,ASU,178,
GRU,BPS,177,
GRU,LIS,177,
GRU,JPA,173,
GRU,FRA,146,
GRU,UIO,144,
GRU,NVT,133,
GRU,JFK,131,
GRU,MEX,123,
GRU,MCO,113,
GRU,MGF,106,
GRU,LDB,99,
GRU,THE,95,
GRU,EWR,91,
GRU,VVI,82,
GRU,IAD,77,
GRU,FCO,75,
GRU,AMS,73,
GRU,AUH,72,
GRU,RAO,72,
GRU,ATL,72,
GRU,CAC,68,
GRU,COR,68,
GRU,LAX,68,
GRU,BCN,66,
GRU,JNB,66,
GRU,DFW,64,
GRU,UDI,62,
GRU,ORD,60,
GRU,MXP,57,
GRU,MUC,56,
GRU,ZRH,55,
GRU,ADD,54,
GRU,IAH,52,
GRU,PLU,50,
GRU,AGT,50,
GRU,JTC,49,
GRU,CUN,47,
GRU,JOI,46,
GRU,PMW,46,
GRU,ROS,46,
GRU,CCS,45,
GRU,DOU,45,
GRU,PPB,44,
GRU,PVH,44,
GRU,IOS,44,
GRU,RIA,43,
GRU,XAP,41,
GRU,CMN,41,
GRU,VDC,39,
GRU,GYE,39,
GRU,MDZ,38,
GRU,JDO,37,
GRU,MCP,32,
GRU,CUZ,32,
GRU,PET,30,
GRU,PUJ,30,
GRU,YYZ,28,
GRU,LAD,26,
GRU,CRD,25,
GRU,MOC,24,
GRU,AKL,23,
GRU,IMP,22,
GRU,ANF,22,
GRU,FEN,22,
GRU,DTW,21,
GRU,OPS,20,
GRU,MDE,20,
GRU,SJP,19,
GRU,IQQ,19,
GRU,BKK,18,
GRU,SVO,18,
GRU,BRC,17,
GRU,PNZ,17,
GRU,CBB,17,
GRU,PMC,16,
GRU,ADB,16,
GRU,SFO,15,
GRU,BOS,15,
GRU,LPB,15,
GRU,AUA,15,
GRU,DEL,14,
GRU,SAL,14,
GRU,PFB,14,
GRU,TJL,13,
GRU,BHI,13,
GRU,BRA,12,
GRU,OPO,12,
GRU,UBA,12,
GRU,CMG,12,
GRU,BRU,12,
GRU,HEL,12,
GRU,LGA,11,
GRU,DUS,11,
GRU,SLA,11,
GRU,PHL,11,
GRU,CJC,11,
GRU,BGI,11,
GRU,CTG,10,
GRU,MSP,10,
GRU,PVG,10,
GRU,NRT,10,
GRU,HKG,10,
GRU,IPN,10,
GRU,ATM,10,
GRU,PEK,10,
GRU,AFL,10,
GRU,HAV,9,
GRU,BOM,9,
GRU,PHX,9,
GRU,CLT,9,
GRU,KUL,9,
GRU,SJU,9,
GRU,ADZ,9,
GRU,RGA,9,
GRU,JED,9,
GRU,USH,9,
GRU,ZAL,9,
GRU,NQN,9,
GRU,MCT,9,
GRU,SID,9,
GRU,CCP,8,
GRU,YUL,8,
GRU,MAB,8,
GRU,CAI,8,
GRU,PDP,8,
GRU,CPV,8,
GRU,BVB,8,
GRU,SJO,8,
GRU,LAS,8,
GRU,MII,8,
GRU,CUR,8,
GRU,MAN,8,
GRU,AYT,8,
GRU,VIE,7,
GRU,ROO,7,
GRU,ARN,7,
GRU,KWI,7,
GRU,LUO,7,
GRU,STM,7,
GRU,GUA,7,
GRU,RUH,7,
GRU,URG,7,
GRU,TBT,7,
GRU,PRG,7,
GRU,TFF,7,
GRU,LSC,7,
GRU,MGA,7,
GRU,LGW,7,
GRU,RGL,7,
GRU,MEL,7,
GRU,LPA,7,
GRU,OAL,7,
GRU,CLO,7,
GRU,ESB,6,
GRU,NCE,6,
GRU,RBR,6,
GRU,IKA,6,
GRU,ORY,6,
GRU,SIN,6,
GRU,MBJ,6,
GRU,CPO,6,
GRU,DCA,6,
GRU,ZCO,6,
GRU,GVA,6,
GRU,TLV,6,
GRU,IZA,6,
GRU,TUN,6,
GRU,CPT,5,
GRU,HNL,5,
GRU,VLN,5,
GRU,PMY,5,
GRU,TXL,5,
GRU,PMI,5,
GRU,CGN,5,
GRU,DEN,5,
GRU,ARI,5,
GRU,SDQ,5,
GRU,DUB,5,
GRU,GVR,5,
GRU,CAW,5,
GRU,JPR,5,
GRU,BGA,5,
GRU,FTE,5,
GRU,MTY,5,
GRU,AQP,5,
GRU,GDL,5,
GRU,BEG,5,
GRU,CMB,5,
GRU,NAS,5,
GRU,CGK,5,
GRU,BVH,5,
GRU,GCM,5,
GRU,RDU,5,
GRU,MEA,5,
GRU,PEW,5,
GRU,LEC,5,
GRU,BOD,5,
GRU,KHI,5,
GRU,VKO,5,
GRU,SAT,5,
GRU,LIN,5,
GRU,MNL,5,
GRU,CCJ,4,
GRU,HAJ,4,
GRU,ATH,4,
GRU,STR,4,
GRU,SXM,4,
GRU,MSY,4,
GRU,NOV,4,
GRU,TGZ,4,
GRU,TJA,4,
GRU,LPL,4,
GRU,BEY,4,
GRU,FNC,4,
GRU,KTM,4,
GRU,MLE,4,
GRU,BAQ,4,
GRU,ZAG,4,
GRU,MAR,4,
GRU,OTP,4,
GRU,SYD,4,
GRU,CUC,4,
GRU,TXF,4,
GRU,SMR,4,
GRU,TIA,4,
GRU,BNA,4,
GRU,FLL,4,
GRU,IND,4,
GRU,AUX,4,
GRU,RAI,4,
GRU,KIX,4,
GRU,TUC,4,
GRU,TGU,3,
GRU,ECN,3,
GRU,VCE,3,
GRU,SAN,3,
GRU,TLS,3,
GRU,MRS,3,
GRU,OVD,3,
GRU,COK,3,
GRU,HAM,3,
GRU,YEG,3,
GRU,LUX,3,
GRU,TZX,3,
GRU,SPC,3,
GRU,CAY,3,
GRU,TRN,3,
GRU,DUR,3,
GRU,CLE,3,
GRU,SJD,3,
GRU,BAH,3,
GRU,PMV,3,
GRU,ALA,3,
GRU,ACE,3,
GRU,MDW,3,
GRU,BUD,3,
GRU,HND,3,
GRU,MKE,3,
GRU,BDA,3,
GRU,TIJ,3,
GRU,GYD,3,
GRU,PAV,3,
GRU,LYS,3,
GRU,TPA,3,
GRU,LOS,3,
GRU,CAN,3,
GRU,PER,3,
GRU,FEC,3,
GRU,AUS,3,
GRU,DME,3,
GRU,ICN,3,
GRU,YVR,3,
GRU,POS,3,
GRU,CRL,3,
GRU,BWI,3,
GRU,PBM,3,
GRU,CPH,3,
GRU,MDQ,3,
GRU,CFB,2,
GRU,CJA,2,
GRU,MAA,2,
GRU,ORF,2,
GRU,ADA,2,
GRU,TUS,2,
GRU,HRG,2,
GRU,ASE,2,
GRU,MCI,2,
GRU,ANU,2,
GRU,DAR,2,
GRU,AFA,2,
GRU,BNE,2,
GRU,CBT,2,
GRU,AGP,2,
GRU,HYD,2,
GRU,VLC,2,
GRU,VUP,2,
GRU,JUJ,2,
GRU,YHZ,2,
GRU,SKP,2,
GRU,TPE,2,
GRU,SCQ,2,
GRU,OGG,2,
GRU,PVR,2,
GRU,TCQ,2,
GRU,TFN,2,
GRU,BUF,2,
GRU,AMM,2,
GRU,BLA,2,
GRU,VER,2,
GRU,HOU,2,
GRU,GOT,2,
GRU,CIA,2,
GRU,TRV,2,
GRU,LED,2,
GRU,PAP,2,
GRU,JAX,2,
GRU,ALC,2,
GRU,YYC,2,
GRU,NBO,2,
GRU,EBL,2,
GRU,IBZ,2,
GRU,BIO,2,
GRU,TBS,2,
GRU,LIR,2,
GRU,STL,2,
GRU,CFE,2,
GRU,BUQ,2,
GRU,LHE,2,
GRU,PIN,2,
GRU,PEI,2,
GRU,FLR,2,
GRU,CAB,2,
GRU,NLA,2,
GRU,WAW,2,
GRU,EOH,2,
GRU,SYZ,2,
GRU,SAW,2,
GRU,DAV,2,
GRU,STI,2,
GRU,HHN,2,
GRU,DJE,2,
GRU,TRU,2,
GRU,PIT,2,
GRU,HRK,2,
GRU,SEA,2,
GRU,SJJ,2,
GRU,ASB,2,
GRU,OLB,2,
GRU,NCL,2,
GRU,EDI,2,
GRU,JAI,2,
GRU,SAP,2,
GRU,BZE,2,
GRU,RAK,2,
GRU,ALG,2,
GRU,RUN,2,
GRU,BGW,1,
GRU,GSO,1,
GRU,ACC,1,
GRU,NOP,1,
GRU,DTM,1,
GRU,MLA,1,
GRU,ASR,1,
GRU,IBE,1,
GRU,GEO,1,
GRU,SEZ,1,
GRU,LEJ,1,
GRU,KBL,1,
GRU,AXM,1,
GRU,EJA,1,
GRU,WMI,1,
GRU,HGH,1,
GRU,HPN,1,
GRU,PNR,1,
GRU,CMH,1,
GRU,SFN,1,
GRU,CTM,1,
GRU,IPC,1,
GRU,PDX,1,
GRU,MHH,1,
GRU,MUB,1,
GRU,NAP,1,
GRU,MID,1,
GRU,SGN,1,
GRU,TER,1,
GRU,IXU,1,
GRU,NDJ,1,
GRU,MZL,1,
GRU,REL,1,
GRU,MQM,1,
GRU,NVA,1,
GRU,SXF,1,
GRU,OAX,1,
GRU,TLC,1,
GRU,CAK,1,
GRU,AEX,1,
GRU,ORK,1,
GRU,KZN,1,
GRU,PVU,1,
GRU,RAR,1,
GRU,ISU,1,
GRU,MRU,1,
GRU,BRO,1,
GRU,GOA,1,
GRU,SYR,1,
GRU,MEC,1,
GRU,SBZ,1,
GRU,DAC,1,
GRU,DOK,1,
GRU,PSA,1,
GRU,EQS,1,
GRU,BVA,1,
GRU,PIU,1,
GRU,LCA,1,
GRU,DMM,1,
GRU,AOI,1,
GRU,SUF,1,
GRU,NUE,1,
GRU,AJA,1,
GRU,NTE,1,
GRU,SLL,1,
GRU,YOW,1,
GRU,IRJ,1,
GRU,PLZ,1,
GRU,CUE,1,
GRU,BYC,1,
GRU,IQT,1,
GRU,STN,1,
GRU,SEN,1,
GRU,UVF,1,
GRU,BSL,1,
GRU,YKO,1,
GRU,LJU,1,
GRU,GRR,1,
GRU,TGD,1,
GRU,FMA,1,
GRU,QRO,1,
GRU,CSX,1,
GRU,VAS,1,
GRU,BHX,1,
GRU,TLH,1,
GRU,CIJ,1,
GRU,ABZ,1,
GRU,ODS,1,
GRU,MAF,1,
GRU,GZP,1,
GRU,BZV,1,
GRU,BLQ,1,
GRU,YYJ,1,
GRU,SLU,1,
GRU,KBP,1,
GRU,FMO,1,
GRU,TUI,1,
GRU,BJX,1,
GRU,MPM,1,
GRU,PZO,1,
GRU,LEX,1,
GRU,BDL,1,
GRU,MUN,1,
GRU,DIY,1,
GRU,AQJ,1,
GRU,LAP,1,
GRU,JUL,1,
GRU,BGM,1,
GRU,ITB,1,
GRU,PPN,1,
GRU,ELQ,1,
GRU,JAN,1,
GRU,CIX,1,
GRU,MLN,1,
GRU,MSQ,1,
GRU,BSR,1,
GRU,PNQ,1,
GRU,MSN,1,
GRU,TTN,1,
GRU,AHB,1,
GRU,TUL,1,
GRU,KRK,1,
GRU,FPO,1,
GRU,TNG,1,
GRU,ABJ,1,
GRU,THR,1,
GRU,RST,1,
GRU,WUX,1,
GRU,XCR,1,
GRU,PBC,1,
GRU,ZNZ,1,
GRU,CKS,1,
GRU,RNO,1,
GRU,LDE,1,
GRU,GRZ,1,
GRU,ISB,1,
GRU,VVC,1,
GRU,PDL,1,
GRU,LIT,1,
GRU,CIY,1,
GRU,HBE,1,
GRU,PUQ,1,
GRU,CCU,1,
GRU,LTN,1,
GRU,BTR,1,
GRU,BUN,1,
GRU,MHD,1,
GRU,TSF,1,
GRU,KIN,1,
GRU,AMD,1,
GRU,CPC,1,
GRU,EYW,1,
GRU,DGO,1,
GRU,VGO,1,
GRU,ZYL,1,
GRU,RES,1,
GRU,RBA,1,
GRU,DAB,1,
GRU,BLR,1,
GRU,CUU,1,
GRU,WDH,1,
GRU,ZCL,1,
GRU,KIV,1,
GRU,SDR,1,
GRU,EMA,1,
GRU,ACY,1,
GRU,PRA,1,
GRU,KMG,1,
GRU,SVX,1,
GRU,MPL,1,
GRU,IXE,1,
GRU,BJV,1,
GRU,EYP,1,
GRU,HRE,1,
GRU,TCO,1,
GRU,MLU,1,
GRU,MED,1,
GRU,CTA,1,
GRU,STT,1,
GRU,KEF,1,
GRU,PHB,1,
GRU,IFN,1,
GRU,UFA,1,
GRU,PMO,1,
GRU,JAU,1,
GRU,RIX,1,
GRU,POZ,1,
GRU,PVD,1,
GRU,PCR,1,
GRU,ADL,1,
GRU,BDS,1,
