Origin,"Terminal Destination",Occurrences
SAL,IAH,1733
SAL,GUA,1424
SAL,SJO,1389
SAL,PTY,1331
SAL,LIM,1073
SAL,FLL,1024
SAL,LAX,801
SAL,TGU,723
SAL,BOG,704
SAL,MEX,692
SAL,MGA,633
SAL,MIA,539
SAL,SAP,413
SAL,MDE,355
SAL,IAD,342
SAL,DFW,325
SAL,SFO,324
SAL,YYZ,304
SAL,EWR,251
SAL,GYE,247
SAL,UIO,227
SAL,RTB,217
SAL,ORD,208
SAL,JFK,201
SAL,MAD,201
SAL,CLO,190
SAL,BZE,183
SAL,ATL,171
SAL,HAV,148
SAL,CCS,111
SAL,EZE,107
SAL,LIR,105
SAL,FRS,88
SAL,LGA,78
SAL,SCL,72
SAL,CLT,70
SAL,MSP,51
SAL,DEN,49
SAL,LAS,48
SAL,BWI,47
SAL,LHR,47
SAL,PHX,45
SAL,PHL,44
SAL,MCO,44
SAL,MTY,43
SAL,LCE,43
SAL,HND,43
SAL,NRT,40
SAL,TPE,40
SAL,SEA,36
SAL,TPA,36
SAL,BOS,35
SAL,DTW,35
SAL,CUZ,35
SAL,GRU,33
SAL,DCA,33
SAL,CUN,31
SAL,CUC,31
SAL,SDQ,30
SAL,CTG,30
SAL,ICN,30
SAL,GDL,29
SAL,AMS,29
SAL,PAC,28
SAL,YUL,28
SAL,SJU,28
SAL,FRA,27
SAL,BAQ,26
SAL,LPB,26
SAL,YYC,24
SAL,IST,23
SAL,HKG,23
SAL,YVR,23
SAL,BNA,23
SAL,VVI,23
SAL,AQP,22
SAL,CLE,21
SAL,TZA,21
SAL,SYQ,21
SAL,MSY,21
SAL,IQT,21
SAL,PIU,20
SAL,BGA,18
SAL,PVG,18
SAL,PVR,18
SAL,ASU,18
SAL,CDG,17
SAL,SNA,17
SAL,SVO,17
SAL,MVD,16
SAL,MDW,16
SAL,SAT,16
SAL,DXB,16
SAL,PDX,16
SAL,CIX,15
SAL,DOH,15
SAL,DAV,15
SAL,AUA,14
SAL,VLN,14
SAL,LOH,14
SAL,PEK,14
SAL,SJC,14
SAL,HNL,14
SAL,AUH,14
SAL,MCI,13
SAL,NAS,13
SAL,TRU,13
SAL,PUJ,13
SAL,PAP,13
SAL,POS,13
SAL,SLC,13
SAL,CJA,12
SAL,SMF,12
SAL,COR,12
SAL,JAX,12
SAL,CVG,12
SAL,SJD,11
SAL,TAM,11
SAL,ADZ,11
SAL,BLA,11
SAL,SMR,11
SAL,PLJ,11
SAL,DAL,11
SAL,SAN,11
SAL,ACY,11
SAL,FCO,10
SAL,YOW,10
SAL,GIG,10
SAL,STL,10
SAL,MBJ,10
SAL,RDU,10
SAL,MNL,10
SAL,BDL,10
SAL,POA,9
SAL,PIT,9
SAL,OKC,9
SAL,ABQ,9
SAL,PBI,9
SAL,CUK,9
SAL,CMH,8
SAL,TUS,8
SAL,BRU,8
SAL,MKE,8
SAL,SYD,8
SAL,BNE,8
SAL,BJX,7
SAL,LTX,7
SAL,LGW,7
SAL,MEM,7
SAL,AUS,7
SAL,MXP,7
SAL,CHS,7
SAL,MAF,6
SAL,LIS,6
SAL,MZT,6
SAL,DME,6
SAL,HPN,6
SAL,PJM,6
SAL,KIN,6
SAL,TIJ,6
SAL,TLV,6
SAL,FON,6
SAL,LBB,6
SAL,HMO,6
SAL,SHV,6
SAL,DUB,6
SAL,MEC,6
SAL,TMU,6
SAL,RSW,6
SAL,GCM,5
SAL,PNS,5
SAL,ANF,5
SAL,PSP,5
SAL,MUC,5
SAL,OAK,5
SAL,HSV,5
SAL,KWI,5
SAL,CUR,5
SAL,AKL,5
SAL,CID,5
SAL,BHM,5
SAL,PEI,5
SAL,SPR,5
SAL,BOC,5
SAL,JAN,5
SAL,ZIH,5
SAL,MFE,5
SAL,OAX,5
SAL,COS,5
SAL,ANU,5
