Origin,"Terminal Destination",Occurrences
SAP,SAL,3158
SAP,TGU,2334
SAP,GUA,2322
SAP,FLL,2293
SAP,IAH,1447
SAP,RTB,1385
SAP,MIA,942
SAP,PTY,877
SAP,MEX,651
SAP,JFK,562
SAP,LCE,538
SAP,ATL,530
SAP,SJO,280
SAP,LIM,159
SAP,EWR,155
SAP,BOG,132
SAP,LGA,126
SAP,DFW,122
SAP,MGA,115
SAP,ORD,107
SAP,CLT,105
SAP,BWI,87
SAP,BOS,78
SAP,MCO,74
SAP,PHL,72
SAP,FRA,71
SAP,LHR,62
SAP,SFO,56
SAP,LAX,55
SAP,PAP,53
SAP,YYZ,52
SAP,BZE,51
SAP,YUL,46
SAP,DCA,40
SAP,GDL,40
SAP,HAV,39
SAP,GYE,39
SAP,LAS,37
SAP,TPA,36
SAP,UIO,36
SAP,AMS,33
SAP,PEU,33
SAP,DEN,33
SAP,DTW,32
SAP,MDE,30
SAP,SJU,29
SAP,MSP,27
SAP,SDQ,26
SAP,MAD,25
SAP,CLO,25
SAP,SCL,24
SAP,CDG,23
SAP,BNA,22
SAP,HPN,21
SAP,JAX,21
SAP,ACY,20
SAP,CCS,20
SAP,MTY,19
SAP,GRU,18
SAP,PHX,18
SAP,UII,16
SAP,CVG,14
SAP,MDW,14
SAP,KIN,14
SAP,NRT,13
SAP,SLC,13
SAP,DOH,12
SAP,BUF,12
SAP,RDU,12
SAP,AUS,12
SAP,MBJ,12
SAP,IST,12
SAP,SAT,11
SAP,SEA,11
SAP,MSY,11
SAP,DME,11
SAP,DAL,11
SAP,LIR,11
SAP,IAD,10
SAP,YYC,10
SAP,MKE,10
SAP,POS,10
SAP,NAS,10
SAP,DXB,10
SAP,GRR,9
SAP,TIJ,9
SAP,ZRH,9
SAP,RSW,9
SAP,CUR,8
SAP,CLE,8
SAP,LIS,8
SAP,EZE,7
SAP,BHM,7
SAP,SJD,7
SAP,JAN,7
SAP,BDL,7
SAP,STL,7
SAP,PUJ,7
SAP,SMF,7
SAP,AUA,7
SAP,CMH,7
SAP,CHS,6
SAP,MXP,6
SAP,BCN,6
SAP,LBE,6
