Rank,Code,sum_occur
1,MIA/FLL,6529
2,IAH,3460
3,JFK/EWR/LGA,2063
4,LAX,969
5,ATL,829
6,DFW,578
7,IAD/DCA,549
8,SFO,416
9,ORD,406
10,MCO,331
11,CLT,232
12,BWI,154
13,BOS,147
14,PHL,145
15,LAS,108
16,SJU,100
17,DTW,99
18,MSP,97
19,DEN,96
20,TPA,81
,PHX,77
,SEA,56
,BNA,55
,HND,49
,GPI,48
,MSY,40
,SAT,37
,JAX,36
,CLE,35
,MDW,33
,ACY,32
,SLC,32
,AUS,30
,HPN,30
,CVG,29
,RDU,29
,HNL,26
,PDX,25
,DAL,24
,MKE,23
,SAN,22
,SNA,21
,STL,21
,BDL,20
,MCI,20
,PIT,19
,SMF,19
,CMH,18
,RSW,18
,SJC,18
,PBI,16
,BUF,15
,IND,15
,ABQ,14
,CHS,14
,JAN,14
,OKC,14
,MEM,13
,BHM,12
,HOU,12
,TUS,12
,EYW,11
,GRR,11
,SYR,11
,LBE,10
,MFE,10
,ORF,10
,MAF,9
,MLU,9
,COS,8
,LFT,8
,LIT,8
,PVD,8
,SHV,8
,ASE,7
,OAK,7
,PSP,7
,SAV,7
,SAW,7
,TUL,7
,TYS,7
,ALB,6
,BTR,6
,CID,6
,CRP,6
,GSO,6
,HSV,6
,ICT,6
,LBB,6
,LEX,6
,OGG,6
,OMA,6
,PNS,6
,RIC,6
,ROC,6
,SDF,6
,ELP,5
,LRD,5
,MOB,5
,RNO,5
,TLH,5
,AEX,4
,CAE,4
,DAB,4
,DSM,4
,GNV,4
,GSP,4
,HRL,4
,ISP,4
,LCH,4
,ONT,4
,PWM,4
,AMA,3
,CAK,3
,CLL,3
,CRW,3
,DAY,3
,EGE,3
,GPT,3
,JAC,3
,MDT,3
,MHT,3
,SBN,3
,STT,3
,XNA,3
,AGS,2
,ANC,2
,AVP,2
,BGM,2
,CMI,2
,FNT,2
,GJT,2
,HOB,2
,LCK,2
,LGB,2
,MFR,2
,MMH,2
,MRY,2
,MSN,2
,MTJ,2
,MYR,2
,PIA,2
,ROA,2
,TTN,2
,TVC,2
,TYR,2
,VPS,2
,ABE,1
,ACK,1
,AZO,1
,BIS,1
,BLI,1
,BMI,1
,BRO,1
,BTV,1
,BZN,1
,CHA,1
,CWA,1
,DBQ,1
,DEC,1
,ESC,1
,EUG,1
,EVV,1
,FAR,1
,FAT,1
,FSD,1
,GCK,1
,GRK,1
,GTR,1
,HOT,1
,ILM,1
,ISN,1
,LIH,1
,LNY,1
,MHK,1
,MKG,1
,MKK,1
,MLB,1
,MLI,1
,MSS,1
,PHF,1
,PQI,1
,PSM,1
,PVU,1
,RDM,1
,RST,1
,SAF,1
,SGF,1
,SHD,1
,SRQ,1
,STX,1
,VCT,1
,VQS,1
,YKM,1
