code,seats,case_count,
MIA/FLL,3694,19,1
MCO,427,10,2
JFK/EWR/LGA/HPN,1511,9,3
IAH,991,8,4
ATL/BHM,287,7,5
IAD/DCA/BWI,466,6,6
ORD,245,6,6
SJC/OAK/SFO,211,6,6
LAX,508,5,7
PHL,58,5,7
DFW,340,4,8
CLT,106,4,8
PDX,11,4,8
TPA,37,3,9
ISP,5,3,9
DSM,3,3,9
HSV/BHM,0,3,9
BOS,75,2,10
DEN,67,2,
MSP,35,2,
MSY,17,2,
CMH/LCK,12,2,
AUS,11,2,
OKC,5,2,
OMA,5,2,
RSW,4,2,
SWF,0,2,10
PHX,37,1,
SEA,24,1,
CLE,16,1,
IND,15,1,
SAN,15,1,
SMF,15,1,
BNA,14,1,
STL,12,1,
RDU,11,1,
SLC,11,1,
SAT,10,1,
HNL,9,1,
CVG,8,1,
ROC,8,1,
SNA,7,1,
DAY,4,1,
SDF,3,1,
XNA,3,1,
CAK,2,1,
CHO,1,1,
CRW,1,1,
GSO,1,1,
ABE,0,1,
BHB,0,1,
ECP,0,1,8
FCA,0,1,6
GCK,0,1,6
GEG,0,1,5
ILG,0,1,8
LAN,0,1,2
MGM/CSG,0,1,6
MLB,0,1,7
MSO,0,1,4
ONT,0,1,3
UST,0,1,1
SJU,80,0,
LAS,76,0,
DTW,69,0,
GPI,69,0,
HND,21,0,
ACY,13,0,
PIT,11,0,
BDL,10,0,
BUF,10,0,
PBI,10,0,
SAW,10,0,
CHS,9,0,
JAX,8,0,
MCI,8,0,
HSV,7,0,
SAV,7,0,
TUL,7,0,
STT,6,0,
ALB,5,0,
CAE,5,0,
DAL,5,0,
EYW,5,0,
MKE,5,0,
BTV,4,0,
ICT,4,0,
JAN,4,0,
MEM,4,0,
MLU,4,0,
OGG,4,0,
PSP,4,0,
PWM,4,0,
RIC,4,0,9
TLH,4,0,
ABQ,3,0,
COS,3,0,
LBB,3,0,
MDW,3,0,
MOB,3,0,
PNS,3,0,
PVD,3,0,
CMI,2,0,
EGE,2,0,
ELP,2,0,
EVV,2,0,
GNV,2,0,
LBE,2,0,
LFT,2,0,
MAF,2,0,
MDT,2,0,
MLI,2,0,9
ORF,2,0,
SHV,2,0,
TUS,2,0,
ABI,1,0,
ACK,1,0,
ACV,1,0,
AGS,1,0,
AMA,1,0,
APN,1,0,
ASE,1,0,
ATW,1,0,
BQN,1,0,
BTR,1,0,
BUR,1,0,
CLL,1,0,
CRP,1,0,
DAB,1,0,
DLH,1,0,
FAI,1,0,
FAR,1,0,
FAT,1,0,8
GRO,1,0,
GRR,1,0,
HOU,1,0,
KOA,1,0,
LEX,1,0,
LGB,1,0,
LIH,1,0,
LNS,1,0,
LRD,1,0,
LSE,1,0,
MHT,1,0,
MMH,1,0,
MSN,1,0,
OAJ,1,0,
RNO,1,0,
SBA,1,0,
SBP,1,0,9
SYR,1,0,
TTN,1,0,7
TYR,1,0,
TYS,1,0,
