"code","seats"
"ABQ",5
"ACY",1
"AEX",1
"ALB",5
"ALO",1
"AMA",1
"ANC",2
"ASE",1
"ATL/BHM",328
"AUS",14
"AVL",1
"BDL",7
"BMI",2
"BNA",16
"BOS",67
"BPT",1
"BTR",3
"BUF",2
"CHS",8
"CID",1
"CLE",14
"CLT",116
"CMH/LCK",6
"CMI",1
"COS",1
"CRP",1
"CRW",2
"CVG",7
"DAL",4
"DAY",3
"DEN",51
"DFW",202
"DSM",1
"DTW",53
"ELP",5
"EVV",1
"EYW",3
"FAR",1
"FAT",1
"FNT",1
"FWA",1
"GCC",1
"GNV",2
"GPI",87
"GRK",1
"GRR",2
"GSO",1
"HND",8
"HNL",9
"HOB",1
"HOU",12
"IAD/DCA/BWI",246
"IAH",880
"ICT",3
"ILM",1
"IND",12
"ISP",7
"JAN",3
"JAX",15
"JFK/EWR/LGA/HPN",1259
"KOA",2
"LAS",50
"LAX",363
"LBB",3
"LBE",1
"LCH",3
"LEX",1
"LFT",1
"LGB",1
"LIH",1
"LIT",4
"LRD",1
"MCI",8
"MCO",354
"MDT",2
"MDW",22
"MEM",6
"MFE",3
"MHT",1
"MIA/FLL",3033
"MKE",5
"MLI",1
"MLU",2
"MOB",1
"MSP",24
"MSY",20
"MYR",2
"OGG",2
"OKC",5
"ONT",1
"ORD",155
"ORF",2
"PBI",2
"PDX",11
"PGA",1
"PHL",45
"PHX",28
"PIT",13
"PNS",3
"PSE",1
"PSP",1
"PVD",2
"PWM",2
"RDM",1
"RDU",7
"RIC",4
"RNO",2
"ROC",3
"RSW",5
"RUT",1
"SAN",13
"SAT",12
"SAV",1
"SAW",9
"SDF",6
"SEA",24
"SFB",1
"SHV",2
"SJC/OAK/SFO",121
"SJT",1
"SJU",107
"SLC",17
"SMF",8
"SNA",6
"STL",12
"STS",1
"STT",6
"SUX",1
"SWF",1
"SYR",5
"TLH",1
"TPA",32
"TTN",2
"TUL",7
"TUS",3
"TYR",3
"TYS",1
"VQS",1
"XNA",1
