code,seats,case_count
MIA/FLL,3382,18
JFK/EWR/LGA/HPN,1359,5
IAH,1079,6
LAX,416,4
IAD/DCA/BWI,358,6
MCO,347,10
DFW,318,4
HSV/BHM,258,3
ORD,198,3
SJC/OAK/SFO,167,5
CLT,108,4
SJU,80,0
BOS,71,1
LAS,70,0
GPI,63,0
DEN,62,2
DTW,62,0
PHL,59,5
MSP,42,1
PHX,30,1
TPA,26,2
SEA,25,1
HND,23,0
AUS,20,2
JAX,17,0
SAT,17,1
CLE,16,1
HOU,16,0
MSY,15,2
CVG,14,1
CHS,13,0
CMH/LCK,13,2
MCI,13,0
PIT,12,0
SLC,12,1
STL,12,1
RDU,11,1
BDL,10,0
BNA,10,1
SAN,10,1
ACY,9,0
HNL,9,0
MDW,9,0
PBI,9,0
SNA,9,1
OKC,7,2
SAW,7,0
SYR,7,0
BUF,6,0
IND,6,1
MOB,6,0
PDX,6,2
PVD,6,0
ROC,6,0
ACK,5,0
AMA,5,0
STT,5,0
TUL,5,0
TUS,5,0
ABQ,4,0
AEX,4,0
ALB,4,0
BTR,4,0
DAL,4,0
MEM,4,0
MFE,4,0
PNS,4,0
RSW,4,2
SAV,4,0
SDF,4,1
TYS,4,0
EYW,3,0
GRR,3,0
GSP,3,0
LFT,3,0
MAF,3,0
MDT,3,0
MKE,3,0
OGG,3,0
RIC,3,0
RNO,3,0
ASE,2,0
BTV,2,0
CRP,2,0
DAY,2,1
DSM,2,3
EUG,2,0
GNV,2,0
ICT,2,0
ISP,2,2
LBE,2,0
LCH,2,0
MLU,2,0
MSN,2,0
OMA,2,2
ONT,2,1
ORF,2,0
PSP,2,0
PWM,2,0
TLH,2,0
TTN,2,0
ACT,1,0
ANC,1,0
BOI,1,0
BRO,1,0
BZN,1,0
CAE,1,0
CAK,1,1
COU,1,0
CRW,1,1
EGE,1,0
ELM,1,0
FAT,1,0
FNT,1,0
FSD,1,0
FWA,1,0
GRB,1,0
GTF,1,0
HDN,1,0
HGR,1,0
HRL,1,0
HYA,1,0
ISN,1,0
JAC,1,0
JAN,1,0
LEX,1,0
LIT,1,0
LNS,1,0
LRD,1,0
MCE,1,0
MMH,1,0
OAJ,1,0
PSE,1,0
SBA,1,0
SMF,1,1
SUN,1,0
SWF,1,1
VPS,1,0
VQS,1,0
XNA,1,0
ABE,0,1
ATL/BHM,0,7
BHB,0,1
ECP,0,1
GCK,0,1
GEG,0,1
GSO,0,1
ILG,0,1
LAN,0,1
MGM/CSG,0,1
MLB,0,1
MSO,0,1
UST,0,1
