"code","seats","case_count"
"ABQ",4,0
"ACK",5,0
"ACT",1,0
"ACY",9,0
"AEX",4,0
"ALB",4,0
"AMA",5,0
"ANC",1,0
"ASE",2,0
"ATL",255,7
"AUS",20,2
"BDL",10,0
"BHM",3,2
"BNA",10,1
"BOI",1,0
"BOS",71,0
"BRO",1,0
"BTR",4,0
"BTV",2,0
"BUF",6,0
"BZN",1,0
"CAE",1,0
"CAK",1,1
"CHS",13,0
"CLE",16,1
"CLT",108,4
"CMH",13,1
"COU",1,0
"CRP",2,0
"CRW",1,1
"CVG",14,0
"DAL",4,0
"DAY",2,1
"DEN",62,2
"DFW",318,4
"DSM",2,3
"DTW",62,0
"EGE",1,0
"ELM",1,0
"EUG",2,0
"EYW",3,0
"FAT",1,0
"FNT",1,0
"FSD",1,0
"FWA",1,0
"GNV",2,0
"GPI",63,0
"GRB",1,0
"GRR",3,0
"GSP",3,0
"GTF",1,0
"HDN",1,0
"HGR",1,0
"HND",23,0
"HNL",9,0
"HOU",16,0
"HPN",4,1
"HRL",1,0
"HYA",1,0
"IAD/DCA/BWI",358,6
"IAH",1079,6
"ICT",2,0
"IND",6,1
"ISN",1,0
"ISP",2,2
"JAC",1,0
"JAN",1,0
"JAX",17,1
"JFK/EWR/LGA",1355,4
"LAS",70,0
"LAX",416,4
"LBE",2,0
"LCH",2,0
"LEX",1,0
"LFT",3,0
"LIT",1,0
"LNS",1,0
"LRD",1,0
"MAF",3,0
"MCE",1,0
"MCI",13,0
"MCO",347,10
"MDT",3,0
"MDW",9,0
"MEM",4,0
"MFE",4,0
"MIA/FLL",3382,18
"MKE",3,0
"MLU",2,0
"MMH",1,0
"MOB",6,0
"MSN",2,0
"MSP",42,1
"MSY",15,2
"OAJ",1,0
"OGG",3,0
"OKC",7,2
"OMA",2,2
"ONT",2,1
"ORD",198,3
"ORF",2,0
"PBI",9,0
"PDX",6,2
"PHL",59,5
"PHX",30,0
"PIT",12,0
"PNS",4,1
"PSE",1,0
"PSP",2,0
"PVD",6,0
"PWM",2,0
"RDU",11,1
"RIC",3,0
"RNO",3,0
"ROC",6,0
"RSW",4,2
"SAN",10,1
"SAT",17,1
"SAV",4,0
"SAW",7,0
"SBA",1,0
"SDF",4,1
"SEA",25,1
"SJC/OAK/SFO",167,5
"SJU",80,0
"SLC",12,1
"SMF",1,1
"SNA",9,1
"STL",12,1
"STT",5,0
"SUN",1,0
"SWF",1,1
"SYR",7,0
"TLH",2,0
"TPA",26,2
"TTN",2,0
"TUL",5,0
"TUS",5,1
"TYS",4,0
"VPS",1,0
"VQS",1,0
"XNA",1,0
"ABE",0,1
"BHB",0,1
"CSG",0,1
"GCK",0,1
"GEG",0,1
"GSO",0,1
"HSV",0,1
"ILG",0,1
"LAN",0,1
"LUK",0,1
"MFD",0,1
"MHT",0,1
"MLB",0,1
"MSO",0,1
