"code","seats","case_count"
"AK",2,0
"AL",23,2
"AR",12,1
"AZ",89,1
"CA",1490,11
"CO",118,2
"CT",20,0
"DC",549,3
"FL",7045,34
"GA",838,7
"HI",35,1
"IA",11,3
"IL",446,6
"IN",19,1
"KS",8,1
"KY",12,1
"LA",79,2
"MA",148,1
"MD",154,3
"ME",5,1
"MI",124,1
"MN",98,2
"MO",42,1
"MS",18,0
"MT",49,2
"NC",268,5
"ND",3,0
"NE",6,2
"NH",4,1
"NJ",588,2
"NM",17,0
"NV",162,0
"NY",1584,13
"OH",90,4
"OK",21,2
"OR",29,4
"PA",180,6
"PR",101,0
"RI",8,0
"SC",24,0
"SD",1,0
"TN",76,1
"TX",4197,15
"UT",33,1
"VA",20,1
"VI",4,0
"VT",1,0
"WA",58,2
"WI",26,0
"WV",3,1
"WY",3,0
"DE",0,1
"unknown",0,1
