"code","seats","case_count"
"AK",1,0
"AL",9,4
"AR",2,0
"AZ",35,1
"CA",611,13
"CO",66,2
"CT",10,0
"DC",314,3
"FL",3797,35
"GA",259,7
"HI",12,0
"IA",2,3
"ID",2,0
"IL",207,3
"IN",7,1
"KS",2,1
"KY",5,1
"LA",30,2
"MA",77,0
"MD",45,3
"ME",2,1
"MI",73,1
"MN",42,1
"MO",26,1
"MS",1,0
"MT",65,1
"NC",120,6
"ND",1,0
"NE",2,2
"NJ",283,1
"NM",4,0
"NV",96,0
"NY",1114,7
"OH",46,6
"OK",12,2
"OR",8,2
"PA",77,6
"PR",82,0
"RI",6,0
"SC",17,0
"SD",1,0
"TN",18,1
"TX",1472,13
"UT",12,1
"VA",5,0
"VI",5,0
"VT",2,0
"WA",25,2
"WI",6,0
"WV",1,1
"WY",1,0
"DE",0,1
"NH",0,1
"unknown",0,1
