code,seats
MIA,1473533
PTY,1441327
PMV,978155
IAH,973897
BOG,939970
MEX,848174
CTG,839239
CLO,820882
MAD,691742
MAR,677998
BAQ,670955
LIM,557241
CDG,521211
ATL,518767
GUA,512210
LAX,478874
PZO,438745
SJO,436301
CNF,412675
BLA,412031
BSB,401913
POA,390678
EZE,384805
SDU,354938
AUA,351626
JFK,328579
BRM,327712
VIG,324440
AEP,323047
GRU,313691
IAD,299723
TGU,296320
SSA,262655
CWB,262117
DFW,255823
BGA,252538
FOR,250908
MUN,247650
HAV,236940
STD,231133
SAL,223301
REC,221186
LHR,216192
MGA,215023
FLL,212868
YYZ,211988
LIS,200635
CGB,188848
GIG,188270
FLN,187994
ADZ,185484
EWR,179387
JNB,176694
ASU,172108
MDE,161701
ORD,156129
BCN,154829
UIO,148285
SCL,139980
VIX,139008
MTR,137642
IST,136328
GYN,132162
RTB,131085
CGR,126919
GYE,118746
LSP,117366
SDQ,116210
SFO,115895
BPS,111795
MCO,111217
SAP,110166
PUJ,102821
FCO,102439
CUR,102413
AXM,97578
MCZ,96145
NVT,94871
NAT,84753
POS,77973
AUH,77920
BZE,77579
EYP,76422
DOH,74872
DXB,73729
RAO,72454
NVA,66804
CCS,65963
FRA,58145
MZL,54505
LRV,50274
LET,49354
PSO,44702
JPA,44426
CUM,44229
COR,43835
VVI,43756
VUP,42245
MAO,41864
MVD,41864
IGU,40603
BEL,36621
LIR,35741
PPB,34453
BNS,30813
EOH,30327
THE,30235
UDI,28869
IBE,28593
CMN,28382
SOM,25965
CUC,25229
ADD,24835
PYH,23232
OPO,22942
CAC,22010
AGT,20262
PPN,19184
BLB,18816
RCH,18790
LAD,17411
CZE,16924
LFR,16885
CUN,16110
JOI,15873
FLA,14769
JDO,14507
DTW,14428
UIB,14191
JTC,12693
AUC,12614
LPB,12614
PFB,12614
PVH,10604
SFD,10512
LCE,8515
PUU,8515
MGF,8357
SJP,7043
VDC,7043
IZA,6439
FNC,6228
MDZ,5440
PCR,4993
BGI,3640
TCO,3574
PDA,2996
CZU,2917
LMC,2838
RVE,2838
SJE,2838
MVP,1997
PTX,1892
VLN,1892
SJU,1577
APO,946
BUN,946
VGZ,946
DOU,880
VLV,670
