"code","seats","case_count"
"DFW",123114,4
"DTW",1872.72,0
"HSV/BHM",290011.5,3
"IAD/DCA/BWI",150329.13,6
"IAH",565804.2,8
"JFK/EWR/LGA/HPN",208730.25,9
"LAX",252539.76,5
"MCO",69247.29,10
"MIA/FLL",861113.07,19
"ORD",50450.73,6
"SJC/OAK/SFO",88434,6
"SJU",1040.4,0
"ABE",0,1
"ATL/BHM",0,7
"AUS",0,2
"BHB",0,1
"BNA",0,1
"BOS",0,2
"CAK",0,1
"CHO",0,1
"CLE",0,1
"CLT",0,4
"CMH/LCK",0,2
"CRW",0,1
"CVG",0,1
"DAY",0,1
"DEN",0,2
"DSM",0,3
"ECP",0,1
"FCA",0,1
"GCK",0,1
"GEG",0,1
"GSO",0,1
"HNL",0,1
"ILG",0,1
"IND",0,1
"ISP",0,3
"LAN",0,1
"MGM/CSG",0,1
"MLB",0,1
"MSO",0,1
"MSP",0,2
"MSY",0,2
"OKC",0,2
"OMA",0,2
"ONT",0,1
"PDX",0,4
"PHL",0,5
"PHX",0,1
"RDU",0,1
"ROC",0,1
"RSW",0,2
"SAN",0,1
"SAT",0,1
"SDF",0,1
"SEA",0,1
"SLC",0,1
"SMF",0,1
"SNA",0,1
"STL",0,1
"SWF",0,2
"TPA",0,3
"UST",0,1
"XNA",0,1
