"code","seats","case_count"
"ATL",74939,7
"DFW",68318,4
"DTW",15935,1
"IAD/DCA/BWI",166628,6
"IAH",216151,8
"JFK/EWR/LGA",346552,12
"LAX",159814,5
"MCO",130464,10
"MIA/FLL",910848,19
"ORD",57262,6
"SJC/OAK/SFO",47670,6
"SJU",27970,0
"ABE",0,1
"ACK",0,1
"AUS",0,2
"BGR",0,1
"BHM",0,2
"BOS",0,1
"CHO",0,1
"CLE",0,1
"CLT",0,4
"CMH",0,2
"CRW",0,1
"CSG",0,1
"DAY",0,1
"DEN",0,2
"DSM",0,3
"GCK",0,1
"GEG",0,1
"GSO",0,1
"HNL",0,1
"HSV",0,1
"ILG",0,1
"IND",0,1
"JAX",0,1
"LIT",0,1
"LUK",0,1
"MHT",0,1
"MLB",0,1
"MSO",0,2
"MSP",0,2
"MSY",0,2
"OKC",0,2
"OMA",0,2
"ONT",0,1
"PDX",0,4
"PHL",0,5
"PNS",0,1
"RDU",0,1
"ROC",0,1
"RSW",0,2
"SAN",0,1
"SAT",0,1
"SDF",0,1
"SEA",0,1
"SLC",0,1
"SMF",0,1
"SNA",0,1
"STL",0,1
"SWF",0,2
"TPA",0,3
"TUS",0,1
"TYS",0,1
