"code","seats","case_count"
"ATL",71656,7
"DFW",62789,4
"DTW",13421,1
"IAD/DCA/BWI",123750,6
"IAH",188769,6
"JFK/EWR/LGA",276959,6
"LAX",137150,4
"MCO",102986,10
"MIA/FLL",719823,18
"ORD",47292,3
"SJC/OAK/SFO",35880,5
"SJU",28330,0
"ABE",0,1
"ACK",0,1
"AUS",0,2
"BGR",0,1
"BHM",0,2
"CLE",0,1
"CLT",0,4
"CMH",0,2
"CRW",0,1
"CSG",0,1
"DAY",0,1
"DEN",0,2
"DSM",0,3
"GCK",0,1
"GEG",0,1
"GSO",0,1
"HSV",0,1
"ILG",0,1
"IND",0,1
"JAX",0,1
"LUK",0,1
"MHT",0,1
"MLB",0,1
"MSO",0,1
"MSY",0,2
"OKC",0,2
"OMA",0,2
"ONT",0,1
"PDX",0,2
"PHL",0,5
"PNS",0,1
"RDU",0,1
"RSW",0,2
"SAN",0,1
"SAT",0,1
"SDF",0,1
"SEA",0,1
"SLC",0,1
"SMF",0,1
"SNA",0,1
"STL",0,1
"SWF",0,1
"TPA",0,2
"TUS",0,1
"TYS",0,1
