"code","seats","case_count"
"ATL",33450,7
"DFW",14200,4
"DTW",216,1
"IAD/DCA/BWI",17339,6
"IAH",65260,8
"JFK/EWR/LGA",24075,14
"LAX",29128,3
"MCO",7987,11
"MIA/FLL",99321,19
"ORD",5819,6
"SJC/OAK/SFO",10200,7
"SJU",120,0
"AUS",0,2
"BGR",0,1
"BHM",0,1
"BNA",0,1
"BOS",0,2
"CHO",0,1
"CLE",0,2
"CLT",0,4
"CMH",0,2
"CRW",0,1
"DEN",0,2
"DSM",0,3
"FCA",0,1
"GCK",0,1
"GEG",0,1
"HNL",0,1
"HSV",0,1
"ILG",0,1
"IND",0,1
"MSO",0,1
"MSP",0,2
"MSY",0,2
"OKC",0,2
"OMA",0,2
"PDX",0,4
"PHL",0,6
"PHX",0,1
"RDU",0,1
"ROC",0,1
"SAT",0,1
"SDF",0,1
"SEA",0,1
"SLC",0,1
"SNA",0,1
"STL",0,1
"TPA",0,4
"XNA",0,1
