"code","seats","case_count"
"DFW",169769.68,4
"DTW",9574.56,0
"HSV/BHM",344265.6,3
"IAD/DCA/BWI",198903.2,6
"IAH",646300.24,6
"JFK/EWR/LGA/HPN",337097.76,5
"LAX",317791.68,4
"MCO",73806.08,10
"MIA/FLL",1119133.52,18
"ORD",103611.04,3
"SJC/OAK/SFO",76910.4,5
"SJU",1046.4,0
"ABE",0,1
"ATL/BHM",0,7
"AUS",0,2
"BHB",0,1
"BNA",0,1
"BOS",0,1
"CAK",0,1
"CLE",0,1
"CLT",0,4
"CMH/LCK",0,2
"CRW",0,1
"CVG",0,1
"DAY",0,1
"DEN",0,2
"DSM",0,3
"ECP",0,1
"GCK",0,1
"GEG",0,1
"GSO",0,1
"ILG",0,1
"IND",0,1
"ISP",0,2
"LAN",0,1
"MGM/CSG",0,1
"MLB",0,1
"MSO",0,1
"MSP",0,1
"MSY",0,2
"OKC",0,2
"OMA",0,2
"ONT",0,1
"PDX",0,2
"PHL",0,5
"PHX",0,1
"RDU",0,1
"RSW",0,2
"SAN",0,1
"SAT",0,1
"SDF",0,1
"SEA",0,1
"SLC",0,1
"SMF",0,1
"SNA",0,1
"STL",0,1
"SWF",0,1
"TPA",0,2
"UST",0,1
