Origin,Terminal Desgination,Occurrances
SAP,ABE,2
GRU,ABJ,1
SAL,ABQ,10
CCS,ABQ,1
SAP,ABQ,2
SAL,ABY,1
GRU,ABZ,2
CCS,ABZ,1
BOG,ABZ,1
SAL,ACA,10
CCS,ACA,2
BOG,ACA,2
SAP,ACA,3
SAP,ACE,1
SAP,ACK,1
BOG,ACR,2
SAL,ACY,7
SAP,ACY,38
SAL,ADB,1
GRU,ADB,7
GRU,ADD,40
CCS,ADD,1
BOG,ADD,3
GRU,ADL,1
SAL,ADZ,9
GRU,ADZ,4
CCS,ADZ,22
BOG,ADZ,796
SAL,AEP,1
GRU,AEP,380
CCS,AEP,1
BOG,AEP,15
SAP,AER,2
SAP,AEX,2
GRU,AFA,2
GRU,AFL,15
GRU,AGP,5
CCS,AGP,1
BOG,AGP,2
SAL,AGS,2
GRU,AGS,1
SAP,AGS,1
GRU,AGT,45
BOG,AGT,1
SAL,AGU,5
GRU,AGU,1
CCS,AHO,1
GRU,AJU,212
CCS,AJU,1
SAL,AKL,2
GRU,AKL,29
CCS,AKL,3
SAP,AKL,1
SAL,ALB,3
CCS,ALB,1
BOG,ALB,2
SAP,ALB,3
SAL,ALC,2
GRU,ALC,1
BOG,ALC,2
SAL,ALG,1
GRU,ALG,1
CCS,ALG,2
BOG,ALG,1
SAL,AMA,1
GRU,AMD,1
GRU,AMM,1
BOG,AMM,2
SAL,AMS,24
GRU,AMS,69
CCS,AMS,26
BOG,AMS,10
SAP,AMS,42
SAL,ANC,1
SAL,ANF,2
GRU,ANF,14
CCS,ANF,1
BOG,ANF,19
SAP,ANF,1
SAL,ANS,1
BOG,ANS,1
SAL,ANU,3
GRU,ANU,2
CCS,ANU,5
SAL,APO,1
CCS,APO,1
BOG,APO,31
SAL,AQP,19
GRU,AQP,4
BOG,AQP,32
GRU,ARI,6
BOG,ARI,8
SAL,ARN,3
GRU,ARN,6
CCS,ARN,1
BOG,ARN,4
SAL,ASE,2
GRU,ASR,1
SAL,ASU,14
GRU,ASU,163
CCS,ASU,3
BOG,ASU,5
SAP,ASU,7
SAL,ATA,1
SAL,ATH,1
GRU,ATH,5
CCS,ATH,2
SAL,ATL,183
GRU,ATL,51
CCS,ATL,25
BOG,ATL,31
SAP,ATL,460
GRU,ATM,11
GRU,ATW,1
SAL,AUA,12
GRU,AUA,22
CCS,AUA,1294
BOG,AUA,47
SAP,AUA,11
SAL,AUC,1
BOG,AUC,137
SAL,AUH,17
GRU,AUH,63
CCS,AUH,4
BOG,AUH,2
SAP,AUH,1
SAL,AUS,7
GRU,AUS,1
CCS,AUS,2
BOG,AUS,1
SAP,AUS,9
SAL,AVL,1
SAP,AVP,1
CCS,AXA,1
SAL,AXM,4
GRU,AXM,2
CCS,AXM,2
BOG,AXM,238
SAL,AYP,3
GRU,AYT,4
SAL,BAH,1
GRU,BAH,5
BOG,BAH,1
GRU,BAL,1
SAL,BAQ,25
GRU,BAQ,4
CCS,BAQ,24
BOG,BAQ,935
SAP,BAQ,4
SAL,BBA,1
BOG,BBA,2
SAL,BCN,9
GRU,BCN,61
CCS,BCN,6
BOG,BCN,62
SAP,BCN,3
SAL,BCV,2
SAL,BDA,2
CCS,BDA,1
SAP,BDA,5
SAL,BDL,8
GRU,BDL,1
CCS,BDL,2
BOG,BDL,2
SAP,BDL,16
GRU,BEG,3
GRU,BEL,290
CCS,BEL,1
GRU,BEY,3
CCS,BEY,1
SAP,BFL,1
GRU,BFN,1
SAL,BGA,15
GRU,BGA,2
CCS,BGA,12
BOG,BGA,831
GRU,BGI,5
CCS,BGI,9
BOG,BGI,3
BOG,BGO,1
GRU,BGW,1
GRU,BGY,2
CCS,BGY,4
BOG,BGY,1
GRU,BHD,1
BOG,BHD,3
GRU,BHI,3
SAL,BHM,2
GRU,BHM,4
SAP,BHM,4
GRU,BHX,2
SAP,BIM,2
GRU,BIO,1
BOG,BIO,3
SAL,BJX,4
GRU,BJX,2
BOG,BJX,4
SAP,BJX,6
GRU,BKK,8
CCS,BKK,1
BOG,BKK,1
SAP,BKK,1
SAL,BLA,4
GRU,BLA,2
CCS,BLA,1114
BOG,BLA,16
SAP,BLA,4
SAL,BLB,3
CCS,BLB,3
BOG,BLB,82
GRU,BLL,2
SAL,BLQ,1
GRU,BLQ,3
CCS,BLQ,1
BOG,BLQ,2
GRU,BLR,3
SAL,BMI,1
SAL,BNA,14
GRU,BNA,2
BOG,BNA,1
SAP,BNA,16
SAL,BNE,5
GRU,BNE,1
CCS,BNS,80
SAL,BOC,2
GRU,BOD,4
CCS,BOD,1
SAL,BOG,664
GRU,BOG,275
CCS,BOG,931
SAP,BOG,124
SAP,BOI,1
SAL,BOM,2
GRU,BOM,10
BOG,BOM,1
SAP,BOM,1
GRU,BON,1
CCS,BON,55
BOG,BON,3
SAL,BOS,49
GRU,BOS,12
CCS,BOS,12
BOG,BOS,9
SAP,BOS,78
GRU,BPS,155
GRU,BRA,11
GRU,BRC,8
BOG,BRC,2
CCS,BRM,600
BOG,BRM,12
SAL,BRO,1
BOG,BRO,1
GRU,BRS,2
SAL,BRU,5
GRU,BRU,9
CCS,BRU,2
BOG,BRU,4
SAP,BRU,3
SAL,BSB,3
GRU,BSB,485
CCS,BSB,8
BOG,BSB,1
BOG,BSC,6
GRU,BSL,2
CCS,BSL,1
SAL,BTR,4
SAP,BTR,3
SAL,BTV,1
GRU,BTV,1
BOG,BTV,1
GRU,BUD,2
CCS,BUD,1
BOG,BUD,2
SAL,BUF,5
GRU,BUF,2
BOG,BUF,1
