"code","sum_occur","case_count"
"ABE",1,1
"ABQ",14,0
"ACK",1,0
"ACY",32,0
"AEX",4,0
"AGS",2,0
"ALB",6,0
"AMA",3,0
"ANC",2,0
"ASE",7,0
"ATL",829,7
"AUS",30,2
"AVP",2,0
"AZO",1,0
"BDL",20,0
"BGM",2,0
"BHM",12,0
"BIS",1,0
"BLI",1,0
"BMI",1,0
"BNA",55,1
"BOS",147,1
"BRO",1,0
"BTR",6,0
"BTV",1,0
"BUF",15,0
"BZN",1,0
"CAE",4,0
"CAK",3,1
"CHA",1,0
"CHS",14,0
"CID",6,0
"CLE",35,1
"CLL",3,0
"CLT",232,4
"CMH",18,1
"CMI",2,0
"COS",8,0
"CRP",6,0
"CRW",3,1
"CVG",29,1
"CWA",1,0
"DAB",4,0
"DAL",24,0
"DAY",3,0
"DBQ",1,0
"DEC",1,0
"DEN",96,2
"DFW",578,4
"DSM",4,3
"DTW",99,0
"EGE",3,0
"ELP",5,0
"ESC",1,0
"EUG",1,0
"EVV",1,0
"EYW",11,0
"FAR",1,0
"FAT",1,0
"FNT",2,0
"FSD",1,0
"GCK",1,1
"GJT",2,0
"GNV",4,0
"GPI",48,0
"GPT",3,0
"GRK",1,0
"GRR",11,0
"GSO",6,0
"GSP",4,0
"GTR",1,0
"HND",49,0
"HNL",26,0
"HOB",2,0
"HOT",1,0
"HOU",12,0
"HRL",4,0
"HSV",6,0
"IAD/DCA/BWI",703,6
"IAH",3460,6
"ICT",6,0
"ILM",1,0
"IND",15,1
"ISN",1,0
"ISP",4,2
"JAC",3,0
"JAN",14,0
"JAX",36,0
"JFK/EWR/LGA/HPN",2093,4
"LAS",108,0
"LAX",969,2
"LBB",6,0
"LBE",10,0
"LCH",4,0
"LCK",2,0
"LEX",6,0
"LFT",8,0
"LGB",2,0
"LIH",1,0
"LIT",8,0
"LNY",1,0
"LRD",5,0
"MAF",9,0
"MCI",20,0
"MCO",331,9
"MDT",3,0
"MDW",33,0
"MEM",13,0
"MFE",10,0
"MFR",2,0
"MHK",1,0
"MHT",3,0
"MIA/FLL",6529,16
"MKE",23,0
"MKG",1,0
"MKK",1,0
"MLB",1,1
"MLI",1,0
"MLU",9,0
"MMH",2,0
"MOB",5,0
"MRY",2,0
"MSN",2,0
"MSP",97,1
"MSS",1,0
"MSY",40,2
"MTJ",2,0
"MYR",2,0
"OGG",6,0
"OKC",14,2
"OMA",6,2
"ONT",4,0
"ORD",406,3
"ORF",10,0
"PBI",16,0
"PDX",25,2
"PHF",1,0
"PHL",145,5
"PHX",77,1
"PIA",2,0
"PIT",19,0
"PNS",6,0
"PQI",1,0
"PSM",1,0
"PSP",7,0
"PVD",8,0
"PVU",1,0
"PWM",4,0
"RDM",1,0
"RDU",29,1
"RIC",6,0
"RNO",5,0
"ROA",2,0
"ROC",6,0
"RST",1,0
"RSW",18,2
"SAF",1,0
"SAN",22,0
"SAT",37,1
"SAV",7,0
"SAW",7,0
"SBN",3,0
"SDF",6,1
"SEA",56,1
"SGF",1,0
"SHD",1,0
"SHV",8,0
"SJC/OAK/SFO",441,5
"SJU",100,0
"SLC",32,1
"SMF",19,1
"SNA",21,1
"SRQ",1,0
"STL",21,1
"STT",3,0
"STX",1,0
"SYR",11,0
"TLH",5,0
"TPA",81,2
"TTN",2,0
"TUL",7,0
"TUS",12,0
"TVC",2,0
"TYR",2,0
"TYS",7,0
"VCT",1,0
"VPS",2,0
"VQS",1,0
"XNA",3,0
"YKM",1,0
"BHB",0,1
"CSG",0,1
"ECP",0,1
"GEG",0,1
"HPN",0,1
"HSV/BHM",0,1
"ILG",0,1
"LAN",0,1
"MSO",0,1
"SWF",0,1
"UST",0,1
