Code,sum_occur
PTY,5323
IAH,4053
GUA,3986
FLL,3234
MIA,3199
TGU,3173
SAL,3069
PMV,3034
LIM,2789
BOG,2222
MDE,2059
PZO,1818
CLO,1785
MAR,1696
RTB,1557
SJO,1505
MEX,1465
AUA,1423
CTG,1402
SCL,1314
BLA,1093
SSA,1071
BAQ,1053
POA,1035
ATL,996
JFK,970
EZE,920
BGA,884
MGA,880
CUR,843
FOR,840
REC,835
ADZ,821
VIG,817
SMR,750
LAX,737
CNF,720
GYE,693
CUC,659
CWB,642
CCS,641
MUN,640
BRM,614
MAD,610
UIO,590
BSB,561
LCE,556
STD,530
GIG,518
DFW,508
SAP,468
PEI,463
YYZ,455
SDQ,424
FLN,422
SDU,405
EWR,390
MTR,389
VIX,384
MCZ,380
CGB,364
LSP,352
AEP,345
CUN,342
LHR,342
GRU,326
EYP,323
MAO,322
CDG,312
MCO,302
BEL,300
PUJ,298
DOH,283
ORD,283
BZE,279
NAT,279
AXM,271
HAV,269
IAD,268
IGU,268
SFO,266
FRA,260
VUP,258
NVA,254
GYN,249
EOH,245
IST,245
SLZ,245
MZL,242
LIS,238
DXB,228
LGA,225
CLT,222
AJU,211
POS,206
CGR,200
PSO,191
LRV,190
MVD,188
JPA,174
ASU,170
CUM,169
CUZ,168
SJU,165
PVA,162
BWI,149
BPS,147
PHL,147
BOS,145
SOM,139
NVT,132
LIR,130
DEN,123
EJA,123
FRS,123
AUC,122
MGF,118
LDB,117
FCO,113
LET,113
BCN,110
VVI,109
BLB,107
DCA,106
AMS,105
RCH,104
TCO,103
BNS,102
DTW,102
LAS,102
SFD,101
UIB,99
PPN,96
MXP,95
IBE,91
MSP,91
COR,88
GDL,83
MTY,83
THE,81
IQT,79
TPA,78
GEO,77
JNB,73
RAO,73
VVC,73
AQP,71
PYH,70
LPB,69
MUC,69
CZE,67
CAJ,66
ROS,66
JOI,65
PPB,65
AGT,64
PUU,63
BON,61
PVH,59
UDI,59
XAP,59
YUL,59
CAC,56
FLA,56
JDO,55
PAC,54
AUH,52
ADD,50
ZRH,50
PET,49
AUS,47
RIA,47
ANF,46
BNA,46
VLN,46
CMN,45
MDW,45
IOS,44
RVE,44
SEA,44
HPN,43
MSY,43
PHX,43
PLU,42
JAX,41
KIN,41
NRT,40
RDU,40
VDC,40
GPI,39
LQM,39
SAT,38
DOU,37
NAS,36
BDL,35
MCP,35
LFR,34
MDZ,34
SYQ,34
CLE,33
PMW,33
TPE,33
TZA,33
DAV,32
PAP,32
JTC,31
MVP,31
PEU,31
SLC,31
DUS,28
GCM,28
IND,28
PIU,28
SXM,28
YYC,28
BRC,27
CJA,27
HKG,27
LGW,27
MBJ,27
PMC,27
STL,27
TXL,27
PCR,26
PEK,26
CJC,25
CZU,25
GND,25
PIT,25
YVR,25
CVG,24
DME,24
ESM,24
VGZ,24
JUL,23
BGI,23
IMP,23
LOH,23
SJD,23
SMF,23
PVG,22
TRU,22
UII,22
BUN,21
HNL,21
IQQ,21
LAD,21
PNS,21
TAB,21
TPP,21
AKL,20
ICN,20
MCI,20
PDA,20
BRU,19
CHS,19
ORY,19
SAN,19
SVO,19
TIJ,19
VIE,19
APO,18
CRD,18
DEL,18
OMA,18
PDX,18
TUL,18
ACY,17
BJX,17
CCP,17
CIX,17
EYW,17
SJC,17
SJP,17
CBB,16
DAL,16
ELP,16
LIT,16
PMI,16
ABQ,15
ARI,15
CMH,15
DUB,15
HND,15
MAN,15
MEC,15
OKC,15
PVR,15
VER,15
BHM,14
CMG,14
ORF,14
PTX,14
SJE,14
ZCO,14
ARN,13
BVB,13
FTE,13
MAF,13
SLA,13
SYD,13
FEN,12
GVA,12
LFT,12
MFE,12
PNZ,12
ROC,12
RSW,12
SLP,12
SNA,12
STM,12
JAN,11
ACA,11
AFL,11
BOM,11
BTR,11
CUE,11
HOU,11
MKE,11
NQN,11
PBM,11
PJM,11
PLJ,11
SDF,11
SHV,11
STI,11
SYR,11
TAM,11
TLV,11
YEG,11
YOW,11
ALB,10
ALG,10
ATH,10
BUF,10
CPH,10
CPO,10
CUK,10
CUU,10
DMM,10
FPO,10
ICT,10
JED,10
LSC,10
MEM,10
MID,10
OAK,10
PCL,10
PFB,10
PRG,10
RGA,10
FNC,9
HAM,9
LIN,9
LPA,9
SID,9
TYS,9
VSA,9
WAW,9
AGU,8
ANU,8
EDI,8
GSO,8
LTX,8
LYS,8
MCT,8
MOC,8
MZT,8
NTE,8
OPS,8
PLS,8
SIN,8
SPR,8
TTN,8
ZAL,8
ADB,7
AMM,7
AYP,7
BDA,7
BHX,7
COS,7
CUL,7
GSP,7
GVR,7
HMO,7
IXE,7
IZA,7
KWI,7
MAB,7
MNL,7
NBO,7
NCE,7
OSL,7
PDP,7
RBR,7
SAV,7
SAW,7
TFN,7
TFS,7
TRC,7
TUC,7
VKO,7
AGP,6
ATM,6
BEY,6
BLQ,6
BRA,6
BUD,6
CPV,6
ESB,6
HOG,6
IPC,6
IPN,6
ISB,6
ISP,6
KEF,6
LBE,6
LEC,6
LUX,6
MTT,6
OAX,6
PAV,6
PER,6
PVD,6
PXM,6
RGL,6
RUH,6
TFF,6
TMU,6
UBA,6
USH,6
VCE,6
VLC,6
ACR,5
ATA,5
BOC,5
CAN,5
CAW,5
CJS,5
CMW,5
CTA,5
ELQ,5
HEL,5
HUU,5
HUX,5
JPR,5
KBP,5
LMC,5
LTN,5
LUO,5
MHT,5
NAP,5
ONT,5
OPO,5
PBG,5
QRO,5
REL,5
REX,5
ROO,5
TCQ,5
TJL,5
TUN,5
VPS,5
XRY,5
AEX,4
BIO,4
BKK,4
BRO,4
BZV,4
CAI,4
CAK,4
CCJ,4
CME,4
CPT,4
CVM,4
DGA,4
DGO,4
DPS,4
DSM,4
GAO,4
GJA,4
GJT,4
GLA,4
GPT,4
IBZ,4
KUL,4
LAP,4
LBB,4
LED,4
LPD,4
MED,4
MII,4
OTP,4
PBI,4
PHF,4
RAI,4
RES,4
RIC,4
RNO,4
SCY,4
SDR,4
SLU,4
STR,4
STX,4
TJA,4
TLH,4
VGO,4
XNA,4
YHZ,4
YQB,4
YQT,4
YWG,4
ZLO,4
ACK,3
AGS,3
AMA,3
BAH,3
BHI,3
BLR,3
BOD,3
BTV,3
CAB,3
CFB,3
CGH,3
CIA,3
DAY,3
ECP,3
ELH,3
ETR,3
FLR,3
FON,3
GER,3
GGT,3
GNV,3
GYD,3
IGR,3
IKA,3
JAU,3
JBQ,3
JUJ,3
KHI,3
LCA,3
LCG,3
LEX,3
MLE,3
MLM,3
MOB,3
MRS,3
MYR,3
NOB,3
OAL,3
PEW,3
PMO,3
PNA,3
PSS,3
PUQ,3
PWM,3
RAK,3
RNG,3
SCQ,3
SCU,3
SNU,3
SOF,3
STN,3
STT,3
SXF,3
TAP,3
TBS,3
TGI,3
TPQ,3
TUS,3
URG,3
VLD,3
XQP,3
YLW,3
YTS,3
YXE,3
ZCL,3
AAX,2
ACC,2
ATW,2
AYT,2
AZO,2
BIM,2
BSL,2
CHA,2
CMB,2
COK,2
CPC,2
CRP,2
CYB,2
CZM,2
DAC,2
DKR,2
FMA,2
FSD,2
FUE,2
GPS,2
GRR,2
GZT,2
HAJ,2
HBE,2
HRE,2
HSV,2
HYD,2
KIX,2
LCH,2
LEI,2
LIH,2
LMM,2
LNZ,2
LOS,2
MAH,2
MEA,2
MEL,2
MHH,2
MMH,2
MXL,2
NSB,2
OAJ,2
OCC,2
OVD,2
PDL,2
PLZ,2
PMY,2
PPT,2
PRA,2
PSP,2
RAR,2
RIX,2
SBA,2
SBN,2
SGN,2
SKB,2
SKG,2
SKT,2
SPC,2
SRQ,2
SSH,2
STS,2
SVG,2
TBP,2
TGZ,2
TIA,2
TLS,2
TME,2
TRN,2
TYR,2
UAQ,2
VNO,2
VRN,2
XIY,2
YAM,2
YMM,2
ZIH,2
NOV,1
AAL,1
ABE,1
ABJ,1
ABZ,1
ACE,1
ACT,1
ADA,1
ADL,1
AHB,1
AHO,1
AJI,1
ALA,1
ALC,1
AMD,1
ANC,1
ANS,1
AQJ,1
ASB,1
ASE,1
ASR,1
AUX,1
AVL,1
BCM,1
BEG,1
BES,1
BFL,1
BFS,1
BGR,1
BGW,1
BHD,1
BJL,1
BJV,1
BNE,1
BOI,1
BQK,1
BRI,1
BRQ,1
BRS,1
BSC,1
BUQ,1
BUR,1
BVA,1
BVH,1
CAE,1
CAG,1
CAP,1
CAY,1
CCF,1
CEN,1
CFU,1
CGK,1
CGN,1
CGQ,1
CHO,1
CHX,1
CID,1
CKS,1
CLL,1
CPE,1
CRW,1
CTS,1
CTU,1
CYD,1
DAB,1
DAR,1
DBV,1
DNZ,1
DRK,1
DRO,1
DUR,1
DWC,1
DYU,1
EBL,1
ECN,1
EGE,1
EQS,1
ETH,1
EVV,1
EXT,1
FAO,1
FAT,1
FAY,1
FBM,1
FDF,1
FSM,1
FWA,1
GBE,1
GRB,1
GRJ,1
GRK,1
GRX,1
GTF,1
GZP,1
HAN,1
HDN,1
HER,1
HGH,1
HGR,1
HMB,1
HRG,1
IEV,1
IFN,1
ILG,1
ITB,1
JAC,1
JIB,1
KBL,1
KGD,1
KGL,1
KIM,1
KIV,1
KOA,1
KRT,1
KTM,1
KTW,1
KWE,1
KYA,1
LBA,1
LBV,1
LCY,1
LGQ,1
LJU,1
LNK,1
LPL,1
LRD,1
LXR,1
LYP,1
LZC,1
MAA,1
MBS,1
MFM,1
MFR,1
MGM,1
MLA,1
MLB,1
MLI,1
MLU,1
MMB,1
MPM,1
MRU,1
MSN,1
MSQ,1
MUB,1
MUX,1
NKG,1
NSI,1
NUE,1
NWI,1
OGG,1
OGZ,1
OKJ,1
OUA,1
OZC,1
PAZ,1
PBC,1
PBL,1
PBP,1
PEM,1
PGD,1
PIA,1
PIN,1
PNQ,1
PSR,1
PTP,1
PZB,1
RBA,1
RDM,1
REG,1
RNS,1
RTM,1
RUN,1
SDE,1
SFB,1
SGF,1
SJJ,1
SJW,1
SKP,1
SLL,1
SNC,1
SNN,1
SPP,1
SSG,1
SVI,1
SVQ,1
SWF,1
SZG,1
TAS,1
TBT,1
TER,1
THR,1
TIF,1
TLC,1
TLL,1
TNG,1
TNO,1
TUK,1
TXF,1
TYL,1
USA,1
VAL,1
VCT,1
VIL,1
VLL,1
VLV,1
VXE,1
WDH,1
WRO,1
XMN,1
YFC,1
YHM,1
YQM,1
YTZ,1
YXU,1
YXX,1
YYB,1
YYJ,1
YYT,1
ZAG,1
