"","Code","sum_occur","State"
"1","JAN","6","MS"
"2","SUN","1","ID"
"3","SAT","28","TX"
"4","DEC","1","IL"
"5","ABE","2","PA"
"6","ABQ","13","NM"
"7","ABY","1","GA"
"8","ACK","1","MA"
"9","ACY","45","NJ"
"10","AEX","2","LA"
"11","AGS","4","GA"
"12","ALB","9","NY"
"13","AMA","1","TX"
"14","ANC","1","AK"
"15","ASE","2","CO"
"16","ATL","750","GA"
"17","ATW","1","WI"
"18","AUS","20","TX"
"19","AVL","1","NC"
"20","AVP","1","PA"
"21","BDL","29","CT"
"22","BFL","1","CA"
"23","BHM","10","AL"
"24","BMI","1","IL"
"25","BNA","33","TN"
"26","BOI","1","ID"
"27","BOS","160","MA"
"28","BRO","2","TX"
"29","BTR","7","LA"
"30","BTV","3","VT"
"31","BUF","14","NY"
"32","BUR","2","CA"
"33","BWI","149","MD"
"34","CAE","4","SC"
"35","CAK","5","OH"
"36","CHA","2","TN"
"37","CHO","2","VA"
"38","CHS","9","SC"
"39","CID","1","IA"
"40","CLE","26","OH"
"41","CLL","1","TX"
"42","CLT","228","NC"
"43","CMH","14","OH"
"44","COS","1","CO"
"45","CRP","2","TX"
"46","CRW","3","WV"
"47","CVG","16","OH"
"48","CWA","1","WI"
"49","DAB","2","FL"
"50","DAL","15","TX"
"51","DAY","2","OH"
"52","DBQ","1","IA"
"53","DCA","90","DC"
"54","DEN","109","CO"
"55","DFW","540","TX"
"56","DRO","1","CO"
"57","DSM","3","IA"
"58","DTW","100","MI"
"59","EGE","8","CO"
"60","ELP","7","TX"
"61","EUG","1","OR"
"62","EWR","534","NJ"
"63","EYW","10","FL"
"64","FAR","1","ND"
"65","FAT","2","CA"
"66","FLL","3716","FL"
"67","FNT","2","MI"
"68","FSM","3","AR"
"69","GEG","1","WA"
"70","GJT","1","CO"
"71","GNV","3","FL"
"72","GPI","32","MT"
"73","GRB","1","WI"
"74","GRK","4","TX"
"75","GRR","6","MI"
"76","GSO","7","NC"
"77","GSP","2","SC"
"78","HND","42","NV"
"79","HNL","31","HI"
"80","HOB","2","NM"
"81","HOU","13","TX"
"82","HPN","25","NY"
"83","HRL","2","TX"
"84","HSV","3","AL"
"85","IAD","494","DC"
"86","IAH","3433","TX"
"87","ICT","7","KS"
"88","ILM","3","NC"
"89","IND","20","IN"
"90","ISN","3","ND"
"91","ISP","18","NY"
"92","ITH","1","NY"
"93","ITO","2","HI"
"94","JAC","2","WY"
"95","JAX","43","FL"
"96","JFK","1180","NY"
"97","LAS","109","NV"
"98","LAX","997","CA"
"99","LBB","2","TX"
"100","LBE","4","PA"
"101","LCH","3","LA"
"102","LCK","1","OH"
"103","LEX","1","KY"
"104","LFT","6","LA"
"105","LGA","242","NY"
"106","LGB","1","CA"
"107","LIH","3","HI"
"108","LIT","7","AR"
"109","LNK","1","NE"
"110","LRD","3","TX"
"111","MAF","13","TX"
"112","MBS","1","MI"
"113","MCI","14","MO"
"114","MCO","320","FL"
"115","MDT","2","PA"
"116","MDW","25","IL"
"117","MEM","13","TN"
"118","MFE","13","TX"
"119","MGM","1","AL"
"120","MHT","4","NH"
"121","MIA","2836","FL"
"122","MKE","16","WI"
"123","MLI","1","IL"
"124","MLU","1","LA"
"125","MRY","1","CA"
"126","MSN","2","WI"
"127","MSP","53","MN"
"128","MSY","42","LA"
"129","MTJ","1","CO"
"130","MYR","2","SC"
"131","OAJ","2","NC"
"132","OAK","11","CA"
"133","OGG","2","HI"
"134","OKC","11","OK"
"135","OMA","8","NE"
"136","ONT","1","CA"
"137","ORD","398","IL"
"138","ORF","13","VA"
"139","PBI","17","FL"
"140","PDX","13","OR"
"141","PHL","157","PA"
"142","PHX","52","AZ"
"143","PIA","1","IL"
"144","PIT","15","PA"
"145","PNS","8","FL"
"146","PSE","1","PR"
"147","PSP","8","CA"
"148","PVD","9","RI"
"149","PWM","6","ME"
"150","RAP","1","SD"
"151","RDU","31","NC"
"152","RIC","11","VA"
"153","RNO","4","NV"
"154","ROA","1","VA"
"155","ROC","10","NY"
"156","RST","1","MN"
"157","RSW","10","FL"
"158","SAN","25","CA"
"159","SAV","11","GA"
"160","SAW","9","MI"
"161","SBA","1","CA"
"162","SBN","4","IN"
"163","SDF","12","KY"
"164","SEA","54","WA"
"165","SFO","384","CA"
"166","SGF","2","MO"
"167","SHV","3","LA"
"168","SJC","22","CA"
"169","SJU","119","PR"
"170","SLC","21","UT"
"171","SMF","22","CA"
"172","SNA","12","CA"
"173","SPI","1","IL"
"174","STL","22","MO"
"175","STT","3","VI"
"176","STX","1","VI"
"177","SYR","9","NY"
"178","TLH","1","FL"
"179","TPA","88","FL"
"180","TRI","1","TN"
"181","TTN","5","NJ"
"182","TUL","14","OK"
"183","TUS","8","AZ"
"184","TYR","1","TX"
"185","TYS","9","TN"
"186","VPS","4","FL"
"187","VQS","1","PR"
"188","XNA","6","AR"
