Origin,"Terminal Destination",Occurrences
BOG,MDE,772
BOG,CLO,646
BOG,CTG,541
BOG,PTY,449
BOG,BAQ,387
CCS,PMV,379
GRU,SSA,378
BOG,BGA,377
BOG,ADZ,362
BOG,SMR,346
BOG,LIM,326
GRU,REC,310
GRU,POA,269
GRU,FOR,264
BOG,CUC,257
CCS,PZO,251
BOG,MIA,247
GRU,CNF,218
GRU,SCL,218
CCS,MAR,217
CCS,PTY,214
BOG,MEX,213
GRU,CWB,204
BOG,PEI,191
GRU,GIG,190
BOG,SCL,190
BOG,MTR,169
GRU,LIM,164
CCS,BLA,161
GRU,FLN,159
GRU,BSB,156
CCS,AUA,156
GRU,MIA,154
BOG,CCS,152
GRU,EZE,150
GRU,MCZ,144
BOG,JFK,143
BOG,EYP,141
GRU,PTY,133
CCS,BOG,128
GRU,VIX,125
GRU,AEP,125
GRU,IGU,117
GRU,IST,111
BOG,AXM,109
GRU,CGB,108
BOG,VUP,105
SAL,IAH,105
BOG,NVA,101
SAL,SJO,101
GRU,SDU,100
BOG,EOH,95
BOG,MZL,94
CCS,VIG,94
BOG,GYE,93
GRU,BEL,91
BOG,MAD,90
BOG,CUN,89
GRU,NAT,89
BOG,FLL,88
GRU,MAO,87
BOG,PSO,85
GRU,AJU,84
CCS,BRM,84
CCS,MIA,83
GRU,GYN,82
GRU,DXB,81
CCS,CUR,81
GRU,MAD,80
BOG,UIO,77
GRU,SLZ,74
GRU,LHR,74
GRU,BOG,73
SAL,GUA,72
BOG,AUC,71
CCS,MUN,71
BOG,GRU,70
GRU,CGR,69
CCS,STD,69
SAL,PTY,68
GRU,BPS,66
GRU,MVD,66
BOG,PVA,64
BOG,LHR,64
SAL,LIM,63
SAL,FLL,61
GRU,ASU,60
GRU,DOH,57
GRU,CDG,57
SAL,LAX,56
GRU,JFK,54
BOG,SAL,54
GRU,JPA,54
GRU,LIS,53
GRU,MCO,53
GRU,NVT,53
BOG,EZE,51
BOG,IAH,51
CCS,MAD,49
BOG,BCN,48
GRU,LDB,47
BOG,TCO,46
GRU,UIO,44
BOG,SJO,44
GRU,FRA,42
GRU,MGF,42
BOG,EJA,41
BOG,IBE,41
BOG,RCH,40
