Origin,Terminal Destination,Occurrences
GRU,SSA,1098
GRU,POA,912
GRU,REC,899
GRU,FOR,819
GRU,SCL,673
GRU,CNF,599
GRU,CWB,529
GRU,GIG,511
GRU,EZE,492
GRU,BSB,477
GRU,LIM,458
GRU,MIA,441
GRU,FLN,416
GRU,AEP,386
GRU,MCZ,352
GRU,PTY,352
GRU,VIX,344
GRU,IST,327
GRU,CGB,323
GRU,SDU,306
GRU,BEL,299
GRU,IGU,278
GRU,NAT,258
GRU,BOG,248
GRU,GYN,243
GRU,DOH,217
GRU,MAD,216
GRU,MVD,216
GRU,CDG,205
GRU,MAO,204
GRU,AJU,202
GRU,CGR,199
GRU,SLZ,197
GRU,BPS,183
GRU,LHR,180
GRU,DXB,179
GRU,ASU,177
GRU,JPA,173
GRU,MCO,170
GRU,LIS,156
GRU,FRA,152
GRU,JFK,151
GRU,UIO,139
GRU,NVT,109
GRU,MEX,106
GRU,LDB,101
GRU,IAD,95
GRU,THE,93
GRU,RAO,90
GRU,AMS,89
GRU,MGF,89
GRU,FCO,85
GRU,EWR,78
GRU,AGT,75
GRU,CAC,72
GRU,IAH,68
GRU,AUH,68
GRU,PET,67
GRU,ZRH,67
GRU,VVI,65
GRU,COR,62
GRU,JDO,61
GRU,ATL,58
GRU,ADD,55
GRU,LAX,54
GRU,JNB,54
GRU,MXP,52
GRU,BCN,51
GRU,UDI,51
GRU,ORD,50
GRU,MUC,46
GRU,PMW,46
GRU,DFW,43
GRU,XAP,43
GRU,ROS,43
GRU,PPB,41
GRU,VDC,40
GRU,JOI,39
GRU,GYE,37
GRU,PLU,37
GRU,CMN,36
GRU,CUN,33
GRU,MCP,33
GRU,PVH,33
GRU,CUZ,31
GRU,YYZ,29
GRU,IOS,29
GRU,LAD,29
GRU,IMP,29
GRU,DOU,27
GRU,FEN,27
GRU,JTC,27
GRU,ANF,26
GRU,RIA,26
GRU,CCS,24
GRU,MDZ,23
GRU,SJP,22
GRU,PNZ,21
GRU,OPO,20
GRU,PUJ,20
GRU,SFO,19
GRU,CLT,18
GRU,AKL,18
GRU,BRA,18
GRU,BVB,18
GRU,DTW,17
GRU,CRD,17
GRU,PMC,16
GRU,LGA,16
GRU,MDE,16
GRU,CJC,15
GRU,LPB,15
GRU,BKK,15
GRU,BRC,15
GRU,MAB,14
GRU,OPS,14
GRU,AUA,14
GRU,NQN,14
GRU,BOS,14
GRU,LGW,13
GRU,SAL,13
GRU,SID,13
GRU,CBB,13
GRU,DEN,13
GRU,IQQ,13
GRU,CTG,13
GRU,AFL,13
GRU,DEL,12
