Origin,Terminal Destination,Occurrences
BOG,MDE,774
BOG,CLO,692
BOG,CTG,582
BOG,PTY,562
BOG,BAQ,506
CCS,PMV,468
BOG,LIM,420
BOG,ADZ,398
BOG,BGA,387
BOG,SMR,386
BOG,CUC,314
CCS,MAR,286
GRU,SSA,283
GRU,POA,277
CCS,PZO,270
GRU,FOR,257
BOG,SCL,237
BOG,CCS,221
CCS,PTY,218
GRU,CNF,217
GRU,REC,217
CCS,AUA,215
BOG,PEI,202
BOG,MIA,190
GRU,CWB,188
BOG,MEX,182
BOG,MTR,176
GRU,BSB,164
GRU,SCL,161
CCS,BLA,160
CCS,BOG,149
GRU,PTY,149
GRU,GIG,149
BOG,EYP,145
GRU,FLN,139
BOG,AXM,136
BOG,GYE,134
BOG,MZL,134
CCS,CUR,130
BOG,VUP,129
CCS,VIG,122
GRU,SDU,120
CCS,MUN,118
BOG,EOH,116
GRU,VIX,116
BOG,NVA,115
GRU,MCZ,114
GRU,EZE,113
GRU,LIM,111
BOG,FLL,109
GRU,CGB,106
BOG,JFK,105
GRU,MIA,102
BOG,PSO,99
CCS,BRM,98
SAL,IAH,92
GRU,NAT,88
BOG,UIO,87
GRU,BEL,87
SAL,GUA,86
BOG,PVA,84
BOG,CUN,84
CCS,STD,81
GRU,AEP,81
GRU,DOH,75
SAL,LIM,72
SAL,PTY,70
SAL,SJO,70
BOG,SAL,68
BOG,GRU,68
GRU,DXB,68
GRU,JFK,67
GRU,IGU,67
BOG,EZE,66
GRU,GYN,66
GRU,SLZ,62
GRU,MAO,61
GRU,MAD,60
GRU,LIS,60
GRU,BOG,58
GRU,LHR,58
GRU,CDG,57
SAL,TGU,56
GRU,AJU,56
BOG,AUC,55
SAL,FLL,54
BOG,TCO,54
BOG,CUZ,54
GRU,CGR,54
GRU,JPA,54
SAL,BOG,53
CCS,MIA,51
BOG,SJO,50
BOG,PPN,49
BOG,MAD,48
CCS,LSP,48
GRU,FRA,48
BOG,PUJ,46
BOG,IBE,46
GRU,NVT,46
BOG,EJA,45
GRU,IST,45
BOG,BLB,44
BOG,UIB,44
GRU,MVD,43
CCS,SDQ,42
GRU,BPS,39
BOG,RCH,38
CCS,MAD,38
GRU,ASU,38
SAL,MGA,37
SAP,SAL,37
CCS,EZE,37
SAL,MIA,36
BOG,LET,36
SAP,GUA,36
GRU,MGF,36
BOG,MCO,35
BOG,SDQ,35
GRU,LDB,35
CCS,LRV,34
CCS,LIM,34
SAL,LAX,32
SAP,FLL,31
CCS,POS,31
BOG,VVC,30
BOG,PUU,30
GRU,MCO,30
SAP,TGU,29
SAL,MEX,28
BOG,FLA,28
GRU,MEX,28
SAP,IAH,27
BOG,GUA,26
CCS,SOM,26
BOG,CDG,25
BOG,AUA,25
BOG,IAH,25
CCS,GYE,25
BOG,CUR,24
GRU,THE,24
SAL,SAP,23
BOG,ATL,23
GRU,PMW,23
BOG,LAX,22
BOG,AQP,21
BOG,LQM,21
BOG,LHR,21
SAP,MIA,21
CCS,CUM,21
GRU,LAX,21
BOG,MVP,20
BOG,RVE,20
CCS,JFK,20
CCS,FLL,20
GRU,MXP,20
GRU,VVI,20
SAL,ATL,19
BOG,BCN,19
BOG,PMV,19
GRU,CCS,19
SAL,YYZ,18
BOG,IQT,18
CCS,HAV,18
CCS,GRU,18
GRU,JTC,18
GRU,PET,18
GRU,JNB,18
GRU,BCN,18
SAL,RTB,17
BOG,GIG,17
BOG,APO,17
CCS,SCL,17
GRU,CAC,17
GRU,DOU,17
GRU,ATL,17
GRU,RAO,17
GRU,DFW,17
GRU,ROS,17
SAL,GYE,16
BOG,GPI,16
BOG,ANF,16
SAP,RTB,16
CCS,PUJ,16
CCS,BNS,16
GRU,ORD,16
GRU,PVH,16
GRU,COR,16
GRU,RIA,16
GRU,EWR,16
BOG,DFW,15
BOG,MAR,15
BOG,SJU,15
CCS,CAJ,15
CCS,SAL,15
GRU,IAH,15
GRU,JOI,15
SAL,BZE,14
BOG,FRA,14
SAP,LCE,14
BOG,CLT,13
BOG,AEP,13
BOG,PAC,13
BOG,VLN,13
CCS,SFD,13
CCS,CUN,13
GRU,AGT,13
GRU,YYZ,13
GRU,AMS,13
SAL,FRS,12
SAL,DFW,12
SAL,MDE,12
BOG,CZU,12
BOG,EWR,12
CCS,GEO,12
GRU,ZRH,12
GRU,PPB,12
GRU,XAP,12
SAL,CLO,11
BOG,MGA,11
BOG,COR,11
CCS,PYH,11
CCS,FCO,11
CCS,MDE,11
GRU,PUJ,11
GRU,GUA,11
GRU,IOS,11
GRU,UDI,11
SAL,IAD,10
SAL,LIR,10
SAL,HAV,10
BOG,PMC,10
BOG,VGZ,10
BOG,BUN,10
BOG,MVD,10
BOG,MTY,10
CCS,CLO,10
CCS,MAO,10
GRU,JDO,10
GRU,CUN,10
GRU,DTW,10
GRU,AUH,10
GRU,AUA,10
BOG,PTX,9
BOG,TGU,9
SAP,MEX,9
BOG,IAD,9
CCS,MEX,9
BOG,PZO,9
CCS,CDG,9
BOG,PDA,9
GRU,MDZ,9
GRU,MUC,9
GRU,UIO,9
SAL,JFK,8
SAL,SFO,8
SAL,EWR,8
SAL,CCS,8
SAL,CUZ,8
SAL,UIO,8
BOG,HAV,8
SAP,PTY,8
CCS,CTG,8
CCS,UIO,8
GRU,ADD,8
GRU,AKL,8
GRU,CMN,8
SAL,ORD,7
SAL,EZE,7
BOG,PIU,7
BOG,LPB,7
CCS,CZE,7
CCS,FRA,7
CCS,ATL,7
BOG,LGW,7
GRU,LAD,7
GRU,PLU,7
GRU,CJC,7
GRU,VDC,7
GRU,IMP,7
GRU,FCO,7
GRU,IAD,7
GRU,OPO,7
SAL,LGA,6
BOG,SJE,6
BOG,FOR,6
BOG,YYZ,6
BOG,TPP,6
BOG,LAS,6
BOG,ZCO,6
CCS,IAH,6
CCS,EWR,6
BOG,CJC,6
CCS,SJO,6
GRU,MAN,6
GRU,RGA,6
GRU,BAQ,6
GRU,MAB,6
GRU,LPB,6
GRU,CCP,6
GRU,SFO,6
SAL,MAD,5
BOG,PCR,5
SAL,CLT,5
BOG,IST,5
SAL,SCL,5
BOG,IQQ,5
BOG,LRV,5
BOG,TRU,5
BOG,LTX,5
BOG,POA,5
BOG,MUN,5
BOG,ORD,5
CCS,SXM,5
CCS,LIS,5
CCS,BAQ,5
BOG,JUL,5
BOG,BWI,5
CCS,BON,5
GRU,MDE,5
GRU,CLO,5
GRU,SJP,5
BOG,LSP,5
GRU,CUZ,5
GRU,PDP,5
GRU,BRA,5
GRU,SDQ,5
GRU,OPS,5
GRU,HAV,5
GRU,CPV,5
GRU,TFF,5
SAL,PUJ,4
SAL,PEI,4
SAL,PIT,4
BOG,FLN,4
BOG,AMS,4
BOG,MDZ,4
BOG,BSC,4
BOG,LOH,4
BOG,YUL,4
BOG,PHL,4
BOG,DCA,4
SAP,ATL,4
SAP,JFK,4
BOG,ESM,4
BOG,LPD,4
BOG,FRS,4
CCS,CLT,4
BOG,BLA,4
BOG,CWB,4
BOG,SFO,4
CCS,PEI,4
