Origin,"Terminal Destination",Occurrences
BOG,MDE,811
BOG,CLO,687
BOG,CTG,629
BOG,PTY,495
BOG,BAQ,470
CCS,PMV,465
BOG,LIM,446
BOG,BGA,404
BOG,SMR,401
BOG,ADZ,352
CCS,PZO,313
BOG,CUC,311
GRU,SSA,294
CCS,MAR,280
GRU,FOR,267
GRU,POA,265
CCS,PTY,249
GRU,REC,237
GRU,CNF,220
BOG,PEI,215
BOG,SCL,210
CCS,AUA,209
BOG,CCS,207
BOG,MTR,204
GRU,CWB,199
BOG,MEX,187
GRU,SCL,180
CCS,BLA,178
GRU,BSB,170
BOG,MIA,169
BOG,EYP,162
GRU,GIG,155
CCS,BOG,154
GRU,EZE,144
GRU,PTY,141
BOG,GYE,134
BOG,AXM,134
CCS,VIG,133
GRU,FLN,128
BOG,NVA,120
GRU,SDU,120
GRU,VIX,120
BOG,FLL,119
GRU,BEL,116
CCS,CUR,115
BOG,MZL,113
GRU,MCZ,113
BOG,JFK,112
BOG,UIO,108
BOG,VUP,107
GRU,CGB,106
BOG,EOH,102
GRU,MIA,96
CCS,MUN,95
SAL,GUA,95
GRU,AEP,95
CCS,BRM,94
BOG,CUN,92
GRU,LIM,90
BOG,SAL,89
BOG,PVA,88
GRU,IGU,85
SAL,PTY,83
BOG,EZE,81
SAL,IAH,79
BOG,PSO,76
GRU,GYN,76
GRU,NAT,76
BOG,GRU,74
GRU,BOG,73
SAL,LIM,71
CCS,STD,69
SAL,SJO,65
GRU,LHR,64
BOG,TCO,63
GRU,IST,62
GRU,AJU,61
GRU,CGR,60
BOG,EJA,59
GRU,SLZ,59
BOG,AUC,58
SAL,FLL,57
GRU,CDG,57
BOG,CUZ,56
GRU,DOH,56
GRU,JFK,55
GRU,FRA,55
CCS,LSP,54
SAL,TGU,54
GRU,DXB,53
BOG,SJO,48
BOG,RCH,47
BOG,PPN,47
GRU,LIS,47
CCS,SDQ,46
BOG,LET,45
BOG,PUJ,44
SAL,BOG,44
GRU,MAO,44
GRU,MAD,44
BOG,PUU,43
SAL,MIA,43
SAP,SAL,43
CCS,MIA,42
