Origin,Terminal Destination,Occurrences
BOG,MDE,1638
BOG,CLO,1458
BOG,CTG,1276
BOG,PTY,1115
BOG,BAQ,976
BOG,LIM,861
BOG,BGA,852
BOG,ADZ,790
BOG,SMR,723
BOG,CUC,612
BOG,SCL,494
BOG,CCS,445
BOG,PEI,434
BOG,MIA,403
BOG,MTR,380
BOG,MEX,339
BOG,EYP,310
BOG,GYE,298
BOG,AXM,257
BOG,NVA,246
BOG,VUP,242
BOG,EOH,241
BOG,MZL,233
BOG,FLL,230
BOG,JFK,209
BOG,PSO,185
BOG,UIO,173
BOG,CUN,172
BOG,PVA,162
BOG,SAL,154
BOG,GRU,154
BOG,EZE,143
BOG,AUC,118
BOG,EJA,116
BOG,MAD,112
BOG,LET,108
BOG,SJO,105
BOG,BLB,100
BOG,RCH,99
BOG,TCO,98
BOG,PPN,95
BOG,UIB,92
BOG,CUZ,88
BOG,IBE,85
BOG,IAH,81
BOG,PUJ,80
BOG,SDQ,76
BOG,GUA,70
BOG,VVC,69
BOG,MCO,62
BOG,LHR,62
BOG,PUU,59
BOG,CUR,56
BOG,FLA,53
BOG,AUA,47
BOG,LAX,46
BOG,IQT,44
BOG,RVE,44
BOG,ATL,43
BOG,SJU,41
BOG,PMV,40
BOG,AQP,40
BOG,LQM,39
BOG,GPI,39
BOG,MAR,34
BOG,DFW,32
BOG,HAV,31
BOG,VLN,30
BOG,MVP,30
BOG,CDG,30
BOG,BCN,28
BOG,PAC,27
BOG,BLA,26
BOG,ANF,26
BOG,PCR,25
BOG,FRA,25
BOG,ESM,24
BOG,CZU,24
BOG,EWR,23
BOG,VGZ,23
BOG,YYZ,22
BOG,GIG,22
BOG,BUN,20
BOG,PDA,20
BOG,LPB,20
BOG,MGA,19
BOG,APO,18
BOG,PZO,18
BOG,TPP,17
BOG,MUN,17
BOG,MTY,17
BOG,JUL,16
BOG,AEP,16
BOG,IAD,16
BOG,SFO,16
BOG,MVD,15
BOG,PIU,14
BOG,PTX,14
BOG,SJE,14
BOG,CLT,14
BOG,TGU,14
BOG,PMC,13
BOG,GDL,11
BOG,COR,11
BOG,LSP,11
BOG,BWI,10
BOG,ORD,10
BOG,DXB,10
BOG,ASU,10
BOG,IQQ,9
BOG,AMS,9
BOG,TIJ,9
BOG,DEN,9
BOG,LOH,8
BOG,CJA,8
BOG,BRM,8
BOG,TRU,7
BOG,SAP,7
BOG,CJC,7
BOG,ARI,7
BOG,LGW,7
BOG,PHL,7
BOG,IST,6
BOG,CIX,6
BOG,MDW,6
BOG,BSB,6
BOG,LSC,6
BOG,PBM,6
BOG,CUE,6
BOG,VSA,6
BOG,MDZ,6
BOG,CCP,6
BOG,LMC,5
BOG,DCA,5
BOG,DTW,5
BOG,VVI,5
BOG,LRV,5
BOG,CBB,5
BOG,ACR,5
BOG,MID,5
BOG,CPO,5
BOG,ZCO,5
BOG,IPC,5
BOG,LGA,5
BOG,BRU,5
BOG,NRT,4
BOG,BZE,4
BOG,SLP,4
BOG,POA,4
BOG,STL,4
BOG,VER,4
BOG,YUL,4
BOG,REX,4
BOG,TRC,4
BOG,LPD,4
BOG,SCY,4
BOG,NAS,4
BOG,TAM,3
BOG,PVG,3
BOG,CME,3
BOG,USH,3
BOG,LTX,3
BOG,ACA,3
BOG,MSY,3
BOG,MBJ,3
BOG,BDL,3
BOG,TCQ,3
BOG,DUS,3
BOG,TPA,3
BOG,DOH,3
BOG,BGI,3
BOG,AYP,3
BOG,PUQ,3
BOG,BON,3
BOG,RNG,3
BOG,HUU,3
BOG,GCM,3
BOG,MEC,3
BOG,KIN,3
BOG,AGT,3
BOG,ARN,3
BOG,MUC,3
BOG,ROS,3
BOG,TGI,3
BOG,IGU,3
BOG,CNF,3
BOG,IGR,3
BOG,YYC,3
BOG,GVA,3
BOG,BHM,2
BOG,WAW,2
BOG,REC,2
BOG,PNA,2
BOG,CUU,2
BOG,MTT,2
BOG,PHX,2
BOG,ZRH,2
BOG,SFD,2
BOG,CUL,2
BOG,HAM,2
BOG,EYW,2
BOG,TXL,2
BOG,AUS,2
BOG,HMO,2
BOG,CWB,2
BOG,OMA,2
BOG,GSP,2
BOG,MAN,2
BOG,CJS,2
BOG,STI,2
BOG,TBP,2
BOG,PEK,2
BOG,MKE,2
BOG,XRY,2
BOG,VKO,2
BOG,FCO,2
BOG,BHX,2
BOG,CMH,2
BOG,TAP,2
BOG,LPA,2
BOG,MCZ,2
BOG,PRG,2
BOG,RTB,2
BOG,BOS,2
BOG,CGH,2
BOG,LYS,2
BOG,TME,2
BOG,CMN,2
BOG,CVM,2
BOG,LUX,2
BOG,CLE,2
BOG,RSW,2
BOG,OAX,2
BOG,LAS,2
BOG,DAV,2
BOG,SLC,2
BOG,TPQ,2
BOG,SOM,2
BOG,MXP,2
BOG,SVO,2
BOG,MSP,2
BOG,BRO,1
BOG,OSL,1
BOG,ISP,1
BOG,HNL,1
BOG,SEA,1
BOG,KEF,1
BOG,FNC,1
BOG,BZV,1
BOG,ATH,1
BOG,ACC,1
BOG,SJD,1
BOG,HKG,1
BOG,MHH,1
BOG,VIE,1
BOG,CVG,1
BOG,SXF,1
BOG,SMF,1
BOG,TUL,1
BOG,CAC,1
BOG,RIC,1
BOG,CGR,1
BOG,VLL,1
BOG,PVD,1
BOG,ZCL,1
BOG,PYH,1
BOG,GLA,1
BOG,ACY,1
BOG,CPE,1
BOG,ORY,1
BOG,BRC,1
BOG,RTM,1
BOG,TLV,1
BOG,LIT,1
BOG,SSA,1
BOG,NAP,1
BOG,BTR,1
BOG,OTP,1
BOG,DEL,1
BOG,ICT,1
BOG,SPC,1
BOG,ICN,1
BOG,BES,1
BOG,FLN,1
