Origin,"Terminal Destination",Occurrences
GRU,SSA,1065
GRU,POA,1016
GRU,FOR,838
GRU,REC,828
GRU,CNF,712
GRU,CWB,639
GRU,SCL,595
GRU,BSB,547
GRU,PTY,496
GRU,GIG,467
GRU,EZE,453
GRU,FLN,420
GRU,SDU,405
GRU,VIX,381
GRU,MCZ,374
GRU,CGB,361
GRU,LIM,340
GRU,MIA,333
GRU,AEP,326
GRU,BEL,300
GRU,NAT,278
GRU,IGU,265
GRU,BOG,263
GRU,DOH,261
GRU,MAO,253
GRU,GYN,249
GRU,SLZ,244
GRU,IST,228
GRU,LHR,211
GRU,LIS,210
GRU,AJU,209
GRU,CGR,199
GRU,DXB,184
GRU,MAD,174
GRU,CDG,173
GRU,JPA,172
GRU,JFK,171
GRU,FRA,165
GRU,BPS,147
GRU,MVD,146
GRU,ASU,141
GRU,MEX,130
GRU,NVT,130
GRU,MGF,118
GRU,LDB,117
GRU,MCO,107
GRU,LAX,97
GRU,THE,81
GRU,MXP,80
GRU,IAH,73
GRU,RAO,72
GRU,JNB,71
GRU,VVI,71
GRU,PPB,65
GRU,JOI,64
GRU,AGT,60
GRU,UDI,59
GRU,XAP,59
GRU,PVH,59
GRU,BCN,57
GRU,COR,57
GRU,ATL,55
GRU,JDO,55
GRU,CAC,55
GRU,PUJ,54
GRU,MUC,51
GRU,AUH,49
GRU,PET,49
GRU,ADD,49
GRU,DFW,48
GRU,CUN,48
GRU,ROS,48
GRU,RIA,47
GRU,CCS,45
GRU,IOS,43
GRU,IAD,42
GRU,FCO,42
GRU,ZRH,42
GRU,ORD,42
GRU,PLU,42
GRU,CMN,41
GRU,AMS,41
GRU,VDC,40
GRU,EWR,39
GRU,UIO,39
GRU,YYZ,37
GRU,DOU,36
GRU,MCP,35
GRU,PMW,33
GRU,JTC,31
GRU,GYE,31
GRU,CUZ,26
GRU,BRC,23
GRU,IMP,23
GRU,DTW,23
GRU,LAD,21
GRU,MDZ,21
GRU,AUA,18
GRU,CRD,18
GRU,LAS,17
GRU,AKL,17
GRU,SJP,17
GRU,MDE,17
GRU,LPB,17
GRU,ANF,17
GRU,CJC,16
GRU,CTG,16
GRU,SJU,15
GRU,SJO,15
GRU,FLL,14
GRU,CMG,14
GRU,SFO,14
GRU,CLT,13
GRU,FTE,13
GRU,BVB,13
GRU,DEL,13
GRU,SAL,12
GRU,PMC,12
GRU,PNZ,12
GRU,SLA,12
GRU,STM,12
GRU,FEN,12
GRU,HKG,11
GRU,PMI,11
GRU,VIE,11
GRU,NRT,11
GRU,YUL,11
GRU,MGA,11
GRU,CBB,11
GRU,BOS,11
GRU,CCP,11
GRU,IQQ,11
GRU,CLO,11
GRU,AFL,11
GRU,PFB,10
GRU,NQN,10
GRU,DMM,10
GRU,ORY,10
GRU,RGA,10
GRU,SDQ,10
GRU,BOM,10
GRU,LGA,9
GRU,ICN,9
GRU,LGW,9
GRU,TXL,9
GRU,CUR,9
GRU,SID,9
GRU,SYD,9
GRU,HAV,9
GRU,GVA,8
GRU,DUS,8
GRU,DCA,8
GRU,SIN,8
GRU,ZCO,8
GRU,DEN,8
GRU,OPS,8
GRU,ARI,8
GRU,MAN,8
GRU,MOC,8
GRU,HNL,8
GRU,KIN,8
GRU,PVG,8
GRU,MAB,7
GRU,TUC,7
GRU,ZAL,7
GRU,BLA,7
GRU,IXE,7
GRU,DUB,7
GRU,GVR,7
GRU,ADB,7
GRU,ALG,7
GRU,PDP,7
GRU,MCT,7
GRU,ATH,7
GRU,NBO,7
GRU,RBR,7
GRU,IZA,7
GRU,JED,7
GRU,GUA,6
GRU,BGI,6
GRU,LEC,6
GRU,ATM,6
GRU,ISB,6
GRU,PEK,6
GRU,BAQ,6
GRU,PER,6
GRU,RGL,6
GRU,CPV,6
GRU,BRU,6
GRU,PAV,6
GRU,ESB,6
GRU,VCE,6
GRU,IPN,6
GRU,KWI,6
GRU,BRA,6
GRU,SAW,6
GRU,PHL,6
GRU,CUC,5
GRU,TFN,5
GRU,CAW,5
GRU,ARN,5
GRU,RUH,5
GRU,TJL,5
GRU,RDU,5
GRU,PAP,5
GRU,HAM,5
GRU,ELQ,5
GRU,UBA,5
GRU,CPO,5
GRU,JPR,5
GRU,HEL,5
GRU,OSL,5
GRU,VUP,5
GRU,CAN,5
GRU,TFF,5
GRU,BWI,5
GRU,TUN,5
GRU,PMV,5
GRU,NTE,5
GRU,REL,5
GRU,PHX,5
GRU,ROO,5
GRU,LUO,5
GRU,EDI,5
GRU,AMM,5
GRU,TGU,4
GRU,RES,4
GRU,PRG,4
GRU,YEG,4
GRU,RAI,4
GRU,TFS,4
GRU,DPS,4
GRU,KEF,4
GRU,LYS,4
GRU,MED,4
GRU,MTY,4
GRU,LIN,4
GRU,VLC,4
GRU,CVG,4
GRU,CCJ,4
GRU,LUX,4
GRU,GDL,4
GRU,LED,4
GRU,MZT,4
GRU,WAW,4
GRU,LSC,4
GRU,CPT,4
GRU,TJA,4
GRU,BUD,4
GRU,MII,4
GRU,ADZ,4
GRU,NCE,4
GRU,VLN,4
GRU,CPH,4
GRU,CLE,4
GRU,PBM,4
GRU,JUJ,3
GRU,SVO,3
GRU,AQP,3
GRU,MSP,3
GRU,PIU,3
GRU,URG,3
GRU,OPO,3
GRU,DME,3
GRU,BLQ,3
GRU,MRS,3
GRU,MLE,3
GRU,JAX,3
GRU,SMR,3
GRU,PEW,3
GRU,GLA,3
GRU,RSW,3
GRU,PSS,3
GRU,SEA,3
GRU,TBS,3
GRU,BHI,3
GRU,CAB,3
GRU,KUL,3
GRU,CFB,3
GRU,STR,3
GRU,OAL,3
GRU,TPP,3
GRU,USH,3
GRU,BKK,3
GRU,BEY,3
GRU,KHI,3
GRU,MNL,3
GRU,TPA,3
GRU,BAH,3
GRU,OTP,3
GRU,CAI,3
GRU,IKA,3
GRU,EJA,2
GRU,SAP,2
GRU,JUL,2
GRU,HBE,2
GRU,VKO,2
GRU,DKR,2
GRU,CPC,2
GRU,TLV,2
GRU,RCH,2
GRU,CJA,2
GRU,PUU,2
GRU,PVD,2
GRU,LIR,2
GRU,XRY,2
GRU,VSA,2
GRU,PMY,2
GRU,SSH,2
GRU,CTA,2
GRU,HYD,2
GRU,GCM,2
GRU,LNZ,2
GRU,NVA,2
GRU,SDR,2
GRU,HRE,2
GRU,IBE,2
GRU,LCA,2
GRU,POS,2
GRU,SLC,2
GRU,PLZ,2
GRU,GZT,2
GRU,EYP,2
GRU,SKG,2
GRU,LTN,2
GRU,MMH,2
GRU,YOW,2
GRU,HAJ,2
GRU,DAC,2
GRU,MAR,2
GRU,AAX,2
GRU,YVR,2
GRU,PRA,2
GRU,LCG,2
GRU,MFE,2
GRU,MEL,2
GRU,BIO,2
GRU,COK,2
GRU,MCI,2
GRU,NAS,2
GRU,SAN,2
GRU,LPA,2
GRU,TIA,2
GRU,PXM,2
GRU,PVR,2
GRU,VNO,2
GRU,SKT,2
GRU,CIX,2
GRU,UAQ,2
GRU,BHX,2
GRU,MTR,2
GRU,LOH,2
GRU,CZM,2
GRU,SJC,2
GRU,BZV,2
GRU,BJX,2
GRU,DAV,2
GRU,MDW,2
GRU,ACK,2
GRU,IND,2
GRU,MEA,2
GRU,BGA,2
GRU,BNA,2
GRU,TCQ,2
GRU,KBP,2
GRU,AYT,2
GRU,BOD,2
GRU,TAM,2
GRU,GYD,2
GRU,IBZ,1
GRU,NOV,1
GRU,DAL,1
GRU,AGP,1
GRU,DNZ,1
GRU,YYC,1
GRU,GZP,1
GRU,BLR,1
GRU,AQJ,1
GRU,LOS,1
GRU,HMB,1
GRU,NAP,1
GRU,PIT,1
GRU,AUX,1
GRU,KBL,1
GRU,LEI,1
GRU,MFR,1
GRU,OUA,1
GRU,GND,1
GRU,RTB,1
GRU,CIA,1
GRU,HOG,1
GRU,MRU,1
GRU,BVA,1
GRU,ZAG,1
GRU,TTN,1
GRU,GBE,1
GRU,PPN,1
GRU,BRS,1
GRU,MEM,1
GRU,HGH,1
GRU,UIB,1
GRU,STI,1
GRU,TYL,1
GRU,LYP,1
GRU,FMA,1
GRU,DYU,1
GRU,TUK,1
GRU,YAM,1
GRU,LZC,1
GRU,SXM,1
GRU,TLS,1
GRU,RAK,1
GRU,SAT,1
GRU,BUQ,1
GRU,MID,1
GRU,ABJ,1
GRU,BZE,1
GRU,DGO,1
GRU,FLA,1
GRU,CME,1
GRU,EOH,1
GRU,IFN,1
GRU,HOU,1
GRU,TRN,1
GRU,JAU,1
GRU,SXF,1
GRU,SOF,1
GRU,SYR,1
GRU,ITB,1
GRU,KIM,1
GRU,BVH,1
GRU,FUE,1
GRU,YFC,1
GRU,PZO,1
GRU,ACA,1
GRU,CFU,1
GRU,MBJ,1
GRU,STL,1
GRU,TXF,1
