Rank,Code,sum_occur
1,MIA/FLL,6433
2,IAH,4053
3,JFK/EWR/LGA,1585
4,ATL,996
5,LAX,737
6,DFW,508
7,IAD/DCA,374
8,MCO,302
9,ORD,283
10,SFO,266
11,CLT,222
12,SJU,165
13,BWI,149
14,PHL,147
15,BOS,145
16,DEN,123
17,DTW,102
17,LAS,102
18,MSP,91
19,TPA,78
20,AUS,47
,BNA,46
,MDW,45
,SEA,44
,HPN,43
,MSY,43
,PHX,43
,JAX,41
,RDU,40
,GPI,39
,SAT,38
,BDL,35
,CLE,33
,SLC,31
,IND,28
,STL,27
,PIT,25
,CVG,24
,SMF,23
,HNL,21
,PNS,21
,MCI,20
,CHS,19
,SAN,19
,OMA,18
,PDX,18
,TUL,18
,ACY,17
,EYW,17
,SJC,17
,DAL,16
,ELP,16
,LIT,16
,ABQ,15
,CMH,15
,HND,15
,OKC,15
,BHM,14
,ORF,14
,MAF,13
,LFT,12
,MFE,12
,ROC,12
,RSW,12
,SNA,12
,BTR,11
,HOU,11
,JAN,11
,MKE,11
,SDF,11
,SHV,11
,SYR,11
,ALB,10
,BUF,10
,ICT,10
,MEM,10
,OAK,10
,TYS,9
,GSO,8
,TTN,8
,COS,7
,GSP,7
,SAV,7
,SAW,7
,ISP,6
,LBE,6
,PVD,6
,MHT,5
,ONT,5
,VPS,5
,AEX,4
,BRO,4
,CAK,4
,DSM,4
,GJT,4
,GPT,4
,LBB,4
,PBI,4
,PHF,4
,RIC,4
,RNO,4
,STX,4
,TLH,4
,XNA,4
,ACK,3
,AGS,3
,AMA,3
,BTV,3
,DAY,3
,GNV,3
,LEX,3
,MOB,3
,MYR,3
,PWM,3
,STT,3
,TUS,3
,VLD,3
,ATW,2
,AZO,2
,CHA,2
,CRP,2
,FSD,2
,GRR,2
,HSV,2
,LCH,2
,LIH,2
,MMH,2
,OAJ,2
,PSP,2
,SBA,2
,SBN,2
,SRQ,2
,STS,2
,TYR,2
,ABE,1
,ACT,1
,ANC,1
,ASE,1
,AVL,1
,BFL,1
,BGR,1
,BOI,1
,BQK,1
,BUR,1
,CAE,1
,CHO,1
,CID,1
,CLL,1
,CRW,1
,DAB,1
,DRO,1
,EGE,1
,EVV,1
,FAT,1
,FAY,1
,FSM,1
,FWA,1
,GRB,1
,GRK,1
,GTF,1
,HDN,1
,HGR,1
,ILG,1
,JAC,1
,KOA,1
,LNK,1
,LRD,1
,MBS,1
,MFR,1
,MGM,1
,MLB,1
,MLI,1
,MLU,1
,MSN,1
,OGG,1
,PGD,1
,PIA,1
,RDM,1
,SFB,1
,SGF,1
,SWF,1
,VCT,1
