Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country",Occurrences,"Total Seats"
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SCL,"Arturo M Benitez",Santiago,,Chile,87,75666
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",40,44080
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MIA,"Miami International",Miami,FL,"United States",23,32961
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MEX,"Benito Juarez Intl","Mexico City",,Mexico,28,30038
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LIM,"Jorge Chavez Intl",Lima,,Peru,26,26466
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MXP,Malpensa,Milan-Malpensa,,Italy,24,24781
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,13,23071
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,POA,"Salgado Filho Intl","Porto Alegre",RS,Brazil,34,22879
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AEP,"Jorge Newbery","Buenos Aires-Newbery",BA,Argentina,72,19616
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SSA,"Luis E. Magalhaes Intl",Salvador,BA,Brazil,27,19090
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,21,18896
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JNB,"O.R. Tambo International Airport",Johannesburg,,"South Africa",36,18867
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,GIG,"Galeao-A.C.Jobim Intl","Rio De Janeiro",RJ,Brazil,24,18729
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CWB,"Afonso Pena International",Curitiba,PR,Brazil,36,18503
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FLN,"Hercilio Luz International",Florianopolis,SC,Brazil,17,15411
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CNF,"Tancredo Never International","Belo Horizonte",MG,Brazil,29,14562
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FOR,"Pinto Martins International",Fortaleza,CE,Brazil,19,13773
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,16,13065
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MCO,"Orlando Intl",Orlando,FL,"United States",13,12325
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",12,12297
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ASU,"Silvio Pettirossi Intl",Asuncion,,Paraguay,22,12067
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,REC,"Guararapes International",Recife,PE,Brazil,14,10838
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BSB,"J. Kubitschek Intl",Brasilia,DF,Brazil,17,10766
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FRA,"Frankfurt International Airport",Frankfurt,,Germany,5,9460
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",11,9337
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SDU,"Santos Dumont","Rio de Janeiro-Santos",RJ,Brazil,21,9330
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MVD,Carrasco,Montevideo,,Uruguay,18,9316
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BOG,"El Dorado Intl",Bogota,,Colombia,16,9198
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MCZ,"Zumbi dos Palmares Int",Maceio,AL,Brazil,11,8305
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,8,8220
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LIS,Lisboa,Lisbon,,Portugal,13,7939
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BEL,"Val de Cans Intl",Belem,PA,Brazil,10,7858
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IGU,"Cataratas International","Foz do Iguacu",PR,Brazil,10,7797
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGB,"Marechal Rondon Intl",Cuiaba,MT,Brazil,14,7753
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IAD,"Dulles International",Washington-Dulles,VA,"United States",5,7564
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",5,7510
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAO,"Eduardo Gomes Intl",Manaus,AM,Brazil,8,6944
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,GYN,"Santa Genoveva",Goiania,GO,Brazil,13,6817
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",6,6570
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,VIX,"E. de Aguiar Salles",Vitoria,ES,Brazil,10,6064
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IST,Ataturk,Istanbul,,Turkey,5,5797
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,NAT,"Natal International",Natal,RN,Brazil,8,5409
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DFW,"Dallas/Ft Worth Intl","Dallas/Fort Worth",TX,"United States",4,4815
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,5,4348
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MUC,"Franz Josef Strauss International",Munich,,Germany,6,4270
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,EWR,"Newark Intl",Newark,NJ,"United States",4,4114
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DOH,"Hamad International Airport",Doha,,Qatar,3,3885
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ZRH,Zurich,Zurich,,Switzerland,4,3504
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BPS,"Porto Seguro","Porto Seguro",BA,Brazil,10,3495
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,NVT,"Victor Konder Intl",Navegantes,SC,Brazil,6,3334
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AMS,Schiphol,Amsterdam,,Netherlands,3,3276
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BCN,Barcelona,Barcelona,,Spain,5,3254
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AJU,"Santa Maria",Aracaju,SE,Brazil,6,3153
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DXB,"Dubai International",Dubai,,"United Arab Emirates",2,3000
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LDB,"Jose Richa",Londrina,PR,Brazil,5,2961
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,RAO,"Leite Lopes","Ribeirao Preto",SP,Brazil,10,2868
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AUH,"Abu Dhabi Intl","Abu Dhabi",,"United Arab Emirates",2,2780
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FCO,Fiumicino,"Rome-Da Vinci",,Italy,3,2637
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGR,"Campo Grande International","Campo Grande",MS,Brazil,4,2138
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DTW,"Metropolitan Wayne County",Detroit,MI,"United States",5,1527
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CMN,"Mohammed V",Casablanca,,Morocco,3,1440
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JOI,"Lauro Carneiro Loyola",Joinville,SC,Brazil,6,1436
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,COR,"Pajas Blancas",Cordoba,CD,Argentina,3,1356
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,OPO,Porto,Porto,,Portugal,3,1330
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MGF,"Silvio Name Jr.",Maringa,PR,Brazil,3,1306
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JPA,"Castro Pinto International","Joao Pessoa",PB,Brazil,3,1170
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ADD,"Bole International","Addis Ababa",,Ethiopia,2,1080
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,THE,"Petronio Portella",Teresina,PI,Brazil,2,1047
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PPB,"Presidente Prudente","Presidente Prudente",SP,Brazil,2,966
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PLU,Pampulha,"Belo Horizonte",MG,Brazil,3,910
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",2,678
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CUN,"Cancun International",Cancun,,Mexico,2,661
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ROS,"Islas Malvinas",Rosario,SF,Argentina,2,660
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CCS,"Simon Bolivar International",Caracas,,Venezuela,3,525
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PDP,"Punta Del Este-Arpt","Punta Del Este",,Uruguay,2,522
