Origin,Terminal Destination,Occurrences,,
BOG,MDE,821,,
BOG,CLO,697,,
BOG,CTG,595,,
BOG,PTY,481,Sum,19999
BOG,BAQ,479,,
CCS,PMV,443,,
BOG,ADZ,385,,
BOG,SMR,372,,
BOG,BGA,366,,
BOG,LIM,356,,
GRU,SSA,313,,
BOG,CUC,300,,
BOG,MEX,275,,
GRU,POA,266,,
CCS,PZO,251,,
GRU,REC,247,,
CCS,MAR,244,,
BOG,MIA,216,,
GRU,FOR,209,,
CCS,PTY,209,,
BOG,PEI,208,,
CCS,AUA,205,,
GRU,CNF,198,,
BOG,SCL,193,,
BOG,MTR,190,,
GRU,SCL,179,,
BOG,CCS,174,,
CCS,BLA,166,,
GRU,BSB,164,,
GRU,EZE,155,,
GRU,CWB,154,,
GRU,GIG,153,,
BOG,EYP,150,,
CCS,BOG,142,,
CCS,CUR,140,,
GRU,LIM,139,,
BOG,GYE,129,,
GRU,PTY,128,,
BOG,AXM,125,,
BOG,MZL,121,,
BOG,JFK,121,,
GRU,AEP,117,,
BOG,VUP,117,,
GRU,FLN,112,,
CCS,MUN,110,,
BOG,FLL,109,,
BOG,MAD,106,,
BOG,CUN,106,,
GRU,VIX,105,,
BOG,NVA,105,,
SAL,IAH,103,,
GRU,SDU,99,,
CCS,STD,99,,
GRU,CGB,98,,
BOG,EOH,96,,
CCS,VIG,95,,
GRU,MCZ,94,,
GRU,IST,94,,
GRU,MIA,90,,
BOG,PSO,90,,
GRU,BEL,87,,
CCS,BRM,87,,
BOG,SAL,85,,
CCS,MIA,83,,
SAL,GUA,82,,
GRU,NAT,81,,
SAL,PTY,80,,
SAL,SJO,79,,
GRU,IGU,78,,
BOG,UIO,75,,
BOG,LHR,74,,
BOG,PVA,72,,
BOG,EZE,69,,
GRU,GYN,68,,
GRU,MAO,66,,
BOG,AUC,66,,
GRU,DXB,62,,
SAL,LIM,61,,
BOG,GRU,60,,
GRU,CGR,59,,
GRU,MAD,58,,
CCS,LSP,57,,
SAL,FLL,57,,
GRU,AJU,56,,
GRU,DOH,56,,
SAL,TGU,56,,
BOG,IBE,56,,
GRU,BOG,55,,
GRU,UIO,54,,
CCS,SDQ,52,,
BOG,PUJ,52,,
BOG,TCO,51,,
SAL,LAX,50,,
BOG,EJA,50,,
BOG,RCH,50,,
GRU,MVD,49,,
GRU,ASU,49,,
BOG,IAH,49,,
BOG,CUZ,46,,
GRU,BPS,45,,
SAL,MIA,44,,
BOG,PPN,44,,
BOG,SJO,44,,
GRU,JPA,43,,
SAP,SAL,43,,
GRU,FRA,42,,
BOG,LET,42,,
GRU,LIS,41,,
BOG,BCN,41,,
GRU,CDG,40,,
CCS,MAD,40,,
BOG,VVC,40,,
GRU,SLZ,39,,
CCS,LIM,39,,
SAP,TGU,38,,
SAL,BOG,37,,
GRU,THE,36,,
BOG,UIB,36,,
GRU,LHR,35,,
GRU,JFK,35,,
GRU,MEX,35,,
SAP,FLL,35,,
BOG,FLA,35,,
GRU,EWR,34,,
GRU,RAO,33,,
GRU,LDB,31,,
SAL,MGA,31,,
CCS,LRV,30,,
BOG,SDQ,30,,
SAP,GUA,29,,
BOG,GUA,29,,
GRU,MCO,28,,
GRU,NVT,28,,
SAL,MEX,28,,
BOG,PUU,27,,
BOG,CUR,27,,
BOG,DFW,26,,
BOG,MAR,26,,
BOG,LAX,26,,
