Origin,Terminal Destination,Occurrences
BOG,MDE,814
BOG,CLO,662
BOG,CTG,586
BOG,PTY,499
BOG,BAQ,448
CCS,PMV,447
BOG,BGA,441
BOG,ADZ,401
BOG,SMR,396
BOG,LIM,327
BOG,CUC,312
GRU,SSA,310
CCS,MAR,286
CCS,PZO,286
GRU,REC,274
BOG,MEX,273
GRU,POA,256
BOG,MIA,238
GRU,FOR,232
CCS,PTY,230
CCS,AUA,205
GRU,SCL,202
BOG,PEI,191
BOG,SCL,191
BOG,CCS,180
CCS,BLA,174
GRU,CNF,168
GRU,BSB,157
GRU,EZE,155
BOG,MTR,146
GRU,CWB,145
CCS,BOG,141
BOG,EYP,138
CCS,VIG,136
GRU,GIG,136
BOG,AXM,134
GRU,LIM,134
BOG,MZL,128
BOG,JFK,124
GRU,FLN,123
BOG,NVA,120
BOG,GYE,120
GRU,MIA,112
BOG,EOH,110
SAL,IAH,110
GRU,AEP,108
BOG,MAD,107
GRU,PTY,107
GRU,VIX,105
GRU,MCZ,105
BOG,FLL,102
BOG,VUP,101
GRU,IST,101
BOG,CUN,96
GRU,CGB,96
CCS,BRM,95
CCS,CUR,95
BOG,PSO,91
GRU,SDU,87
CCS,STD,85
BOG,UIO,85
CCS,MUN,83
SAL,GUA,83
GRU,IGU,82
BOG,EZE,78
GRU,BEL,78
SAL,LIM,76
SAL,SJO,75
SAL,PTY,75
GRU,MAO,75
GRU,GYN,74
GRU,BOG,74
CCS,MIA,73
GRU,MAD,71
BOG,AUC,69
BOG,PVA,69
BOG,SAL,67
BOG,LHR,66
GRU,NAT,66
SAL,FLL,64
GRU,DOH,64
GRU,CDG,63
GRU,SLZ,62
BOG,IAH,61
BOG,GRU,60
GRU,CGR,60
GRU,DXB,59
GRU,LHR,56
BOG,IBE,55
SAL,BOG,53
BOG,TCO,51
GRU,MVD,51
GRU,FRA,51
BOG,EJA,50
BOG,CUZ,50
BOG,PPN,50
GRU,JFK,50
SAL,LAX,47
CCS,LSP,46
GRU,JPA,46
GRU,ASU,46
BOG,SJO,45
GRU,AJU,45
SAP,SAL,45
BOG,LET,44
BOG,RCH,43
BOG,BCN,43
BOG,SDQ,43
GRU,LIS,43
CCS,SDQ,41
GRU,MEX,41
GRU,BPS,39
BOG,BLB,38
GRU,MGF,37
SAP,FLL,36
BOG,MCO,35
SAL,TGU,35
CCS,LIM,33
CCS,EZE,33
CCS,MAD,32
GRU,THE,32
BOG,VVC,31
BOG,PUJ,30
GRU,IAH,30
SAL,MGA,29
CCS,POS,27
BOG,FLA,27
SAL,MEX,27
GRU,NVT,27
GRU,LDB,27
CCS,FLL,26
BOG,GUA,26
BOG,UIB,26
SAL,MDE,26
GRU,MCO,26
SAP,IAH,26
CCS,LRV,25
BOG,LQM,24
SAL,SAP,24
GRU,UDI,24
GRU,UIO,24
BOG,DFW,23
GRU,VVI,23
BOG,VGZ,22
BOG,CDG,22
SAL,MIA,22
GRU,EWR,22
SAP,TGU,22
CCS,HAV,21
BOG,CUR,21
SAL,SFO,21
GRU,ATL,21
GRU,RAO,21
SAP,RTB,21
SAP,GUA,21
CCS,MEX,20
BOG,FRA,20
GRU,AUH,20
BOG,IQT,19
BOG,LAX,19
GRU,ZRH,19
GRU,IAD,19
BOG,PUU,18
SAL,IAD,18
SAL,DFW,18
GRU,CAC,18
GRU,LAX,18
GRU,PLU,18
CCS,GRU,17
BOG,APO,17
BOG,MAR,17
BOG,RVE,17
SAL,ORD,17
BOG,ESM,17
GRU,MXP,17
GRU,COR,17
CCS,SAL,16
CCS,CUM,16
BOG,GPI,16
GRU,MUC,16
GRU,BCN,16
CCS,SCL,15
BOG,PMV,15
BOG,MVP,15
BOG,GIG,15
SAL,YYZ,15
GRU,PVH,15
GRU,AGT,15
GRU,JNB,15
SAP,PTY,15
CCS,SFD,14
CCS,CDG,14
BOG,ATL,14
BOG,SJU,14
BOG,AQP,14
SAL,ATL,14
SAL,GYE,14
GRU,FCO,14
GRU,IOS,14
GRU,ORD,14
GRU,DFW,14
GRU,ADD,14
SAP,MIA,14
CCS,UIO,13
CCS,IAH,13
BOG,AUA,13
BOG,HAV,13
BOG,BLA,13
BOG,YYZ,13
SAL,UIO,13
BOG,LPB,13
GRU,JOI,13
GRU,GYE,13
GRU,CUN,13
CCS,CUN,12
CCS,JFK,12
CCS,FCO,12
BOG,GDL,12
BOG,EWR,12
BOG,PZO,12
BOG,VLN,12
GRU,XAP,12
GRU,MCP,12
GRU,PUJ,12
CCS,GYE,11
CCS,SOM,11
BOG,PAC,11
BOG,IAD,11
GRU,RIA,11
GRU,PET,11
GRU,IMP,11
GRU,DOU,11
CCS,BNS,10
CCS,PUJ,10
CCS,CZE,10
BOG,PDA,10
BOG,PCR,10
BOG,MTY,10
BOG,TGU,10
SAL,FRS,10
GRU,CMN,10
GRU,FEN,10
GRU,JTC,10
GRU,AMS,10
GRU,PMW,10
SAL,RTB,9
BOG,AEP,9
GRU,ROS,9
GRU,DTW,9
GRU,CUZ,9
GRU,LAD,9
BOG,CZU,8
BOG,MUN,8
BOG,BOS,8
BOG,ANF,8
BOG,YUL,8
SAL,LIR,8
SAL,DEN,8
SAL,HAV,8
SAL,EWR,8
SAL,JFK,8
SAL,CCS,8
BOG,LAS,8
GRU,MDZ,8
GRU,JDO,8
SAP,LCE,8
CCS,MDE,7
CCS,MCO,7
CCS,GEO,7
BOG,PHL,7
CCS,CAJ,7
BOG,ORD,7
BOG,BUN,7
SAL,MAD,7
BOG,SFO,7
BOG,LGW,7
SAL,BZE,7
