Origin,"Terminal Destination",Occurrences
BOG,MDE,801
BOG,CLO,719
BOG,CTG,606
CCS,PMV,468
BOG,PTY,458
BOG,BAQ,457
BOG,BGA,421
BOG,ADZ,391
BOG,SMR,382
BOG,LIM,369
BOG,CUC,308
GRU,POA,289
GRU,SSA,287
GRU,REC,267
CCS,MAR,262
CCS,PZO,260
BOG,MEX,258
BOG,MIA,235
GRU,SCL,220
GRU,FOR,218
BOG,SCL,206
GRU,CNF,202
BOG,CCS,200
CCS,PTY,199
BOG,PEI,193
GRU,CWB,184
CCS,AUA,183
BOG,MTR,177
CCS,BOG,174
CCS,BLA,152
GRU,EZE,148
GRU,BSB,139
BOG,JFK,136
GRU,GIG,134
BOG,AXM,133
GRU,FLN,131
BOG,NVA,129
BOG,MZL,128
BOG,EYP,127
GRU,PTY,121
GRU,MIA,120
GRU,LIM,118
BOG,MAD,115
CCS,CUR,111
CCS,VIG,108
GRU,SDU,107
GRU,AEP,106
CCS,MUN,105
BOG,FLL,103
BOG,GYE,103
GRU,MCZ,102
GRU,VIX,101
GRU,IST,100
BOG,CUN,100
BOG,VUP,98
GRU,CGB,95
BOG,EOH,94
CCS,BRM,92
SAL,IAH,92
SAL,SJO,89
CCS,STD,86
BOG,UIO,84
BOG,PSO,82
CCS,MIA,81
GRU,NAT,79
BOG,PVA,79
SAL,GUA,79
SAL,PTY,76
GRU,BEL,74
GRU,GYN,73
GRU,IGU,71
BOG,LHR,69
GRU,MAO,68
BOG,GRU,68
BOG,SAL,68
SAL,LIM,68
BOG,EZE,67
BOG,AUC,63
GRU,BOG,62
GRU,JPA,59
BOG,EJA,59
GRU,MAD,58
BOG,IBE,58
GRU,DOH,57
GRU,SLZ,56
GRU,CGR,53
SAL,FLL,52
BOG,TCO,51
GRU,AJU,49
BOG,IAH,49
SAP,SAL,48
CCS,MAD,47
GRU,JFK,46
GRU,DXB,46
GRU,BPS,46
GRU,ASU,46
GRU,LIS,45
SAL,LAX,45
SAL,TGU,45
GRU,CDG,44
GRU,LHR,44
BOG,BLB,44
GRU,MCO,43
BOG,RCH,43
BOG,PUJ,42
GRU,FRA,41
CCS,LSP,41
GRU,MVD,40
BOG,CUZ,40
SAL,MIA,40
BOG,LET,39
BOG,PPN,39
BOG,SJO,39
CCS,EZE,37
GRU,UIO,36
GRU,MEX,36
SAL,BOG,36
SAL,MEX,35
SAP,TGU,35
GRU,NVT,34
BOG,SDQ,33
CCS,POS,33
BOG,BCN,32
CCS,LIM,32
SAL,MGA,32
BOG,VVC,31
BOG,DFW,31
SAP,GUA,31
GRU,IAH,30
GRU,VVI,30
BOG,PUU,30
GRU,MGF,29
CCS,SDQ,29
CCS,HAV,29
SAP,FLL,29
SAL,SAP,29
BOG,GUA,28
GRU,AUH,28
CCS,LRV,28
BOG,FLA,27
GRU,THE,26
SAL,MDE,26
BOG,AUA,24
BOG,CUR,24
GRU,COR,23
GRU,RAO,22
GRU,JNB,22
BOG,UIB,22
BOG,CDG,22
BOG,MCO,22
GRU,AMS,21
BOG,PMV,21
GRU,LDB,21
BOG,GIG,21
BOG,MAR,21
BOG,AQP,21
BOG,LPB,21
CCS,CUM,20
CCS,MEX,20
SAL,GYE,20
GRU,UDI,19
GRU,MXP,19
BOG,EWR,19
CCS,BNS,19
GRU,JDO,18
GRU,MUC,18
GRU,LAX,18
GRU,IAD,18
BOG,SJU,18
CCS,FLL,18
CCS,GRU,18
GRU,DOU,17
BOG,IQT,17
BOG,LQM,17
SAL,DFW,17
SAL,EWR,17
SAL,UIO,17
SAP,RTB,17
GRU,PET,16
GRU,DFW,16
GRU,FCO,16
BOG,IAD,16
BOG,ATL,16
BOG,PCR,16
BOG,LAX,16
CCS,IAH,16
SAP,IAH,16
SAL,RTB,16
BOG,BUN,15
GRU,ORD,15
BOG,HAV,15
BOG,VGZ,15
BOG,RVE,15
CCS,JFK,15
CCS,SOM,15
GRU,PMW,14
GRU,AGT,14
GRU,EWR,14
GRU,PPB,14
GRU,ATL,14
BOG,MVD,14
CCS,GEO,14
CCS,SCL,14
CCS,SAL,14
BOG,ESM,13
GRU,PLU,13
GRU,CAC,13
BOG,PDA,13
GRU,ADD,13
BOG,LGA,13
GRU,PUJ,13
BOG,APO,13
CCS,CUN,13
CCS,BON,13
SAL,JFK,13
SAL,SFO,13
SAL,YYZ,13
GRU,ZRH,12
GRU,JOI,12
GRU,IOS,12
GRU,CUZ,12
BOG,ANF,12
SAL,BZE,12
SAL,IAD,12
SAL,FRS,12
SAL,ATL,12
BOG,CBB,11
GRU,CMN,11
BOG,GPI,11
GRU,BCN,11
BOG,CZU,11
BOG,BLA,11
CCS,PUJ,11
SAL,CLO,11
SAP,MIA,11
SAP,JFK,11
GRU,PVH,10
GRU,YYZ,10
BOG,FRA,10
GRU,GYE,10
BOG,YYZ,10
BOG,MTY,10
BOG,VLN,10
CCS,CZE,10
CCS,LFR,10
CCS,GYE,10
GRU,ROS,9
GRU,AKL,9
BOG,IQQ,9
GRU,JTC,9
BOG,MVP,9
BOG,PMC,9
CCS,CTG,9
SAL,ORD,9
SAP,PTY,9
SAL,MAD,9
GRU,IMP,8
GRU,MDZ,8
GRU,CCS,8
GRU,CUN,8
GRU,LPB,8
BOG,CLT,8
BOG,GDL,8
BOG,SFO,8
CCS,CLO,8
CCS,CAJ,8
CCS,SFD,8
SAP,MEX,8
GRU,PMC,7
GRU,SJO,7
GRU,SJP,7
GRU,AUA,7
BOG,PZO,7
BOG,AEP,7
BOG,PAC,7
BOG,AMS,7
GRU,XAP,7
BOG,COR,7
GRU,SLA,7
BOG,LAS,7
BOG,ZCO,7
CCS,PYH,7
CCS,CDG,7
CCS,MDE,7
CCS,FCO,7
SAL,EZE,7
GRU,RIA,6
BOG,BOS,6
BOG,CCP,6
BOG,MUN,6
GRU,FEN,6
BOG,DEN,6
CCS,ATL,6
CCS,UIO,6
CCS,SJO,6
CCS,MAO,6
SAL,DEN,6
SAL,AQP,6
SAL,TPE,6
SAL,HAV,6
GRU,CJC,5
GRU,CLO,5
GRU,BOS,5
GRU,SID,5
BOG,ORD,5
BOG,ARI,5
GRU,FLL,5
GRU,PNZ,5
GRU,MDE,5
GRU,CCP,5
GRU,HKG,5
BOG,MDZ,5
GRU,MCP,5
GRU,BLA,5
BOG,DCA,5
GRU,VDC,5
BOG,IST,5
BOG,DXB,5
BOG,MGA,5
CCS,ADZ,5
CCS,CLT,5
CCS,LGA,5
CCS,BAQ,5
SAL,SCL,5
SAP,SJO,5
SAL,BWI,5
GRU,HAV,4
GRU,LGA,4
GRU,SAL,4
BOG,CJC,4
GRU,CRD,4
GRU,RGA,4
GRU,CLT,4
GRU,DEN,4
GRU,BKK,4
GRU,BVB,4
BOG,MXP,4
BOG,TIJ,4
GRU,ATH,4
BOG,TGU,4
GRU,SVO,4
GRU,LAD,4
BOG,DAV,4
GRU,ICN,4
GRU,MAB,4
GRU,PHL,4
GRU,ATM,4
BOG,DME,4
BOG,YUL,4
BOG,DTW,4
BOG,SVI,4
BOG,BSC,4
BOG,LGW,4
BOG,REX,4
BOG,LSP,4
BOG,CUE,4
CCS,MCO,4
CCS,LIS,4
CCS,FRA,4
CCS,AMS,4
CCS,MGA,4
SAP,LCE,4
SAL,LHR,4
SAL,YUL,4
SAL,CTG,4
GRU,CPT,3
GRU,YUL,3
GRU,SIN,3
GRU,LYS,3
GRU,IPC,3
GRU,ARI,3
BOG,NAS,3
BOG,HOU,3
BOG,LSC,3
GRU,IZA,3
GRU,LAS,3
GRU,URG,3
GRU,PMI,3
GRU,BEY,3
BOG,AGP,3
BOG,RNG,3
BOG,VVI,3
GRU,CPO,3
BOG,LPD,3
GRU,IQQ,3
BOG,AUS,3
BOG,TRU,3
BOG,BZE,3
BOG,PEK,3
GRU,ORY,3
BOG,FOR,3
BOG,BGI,3
GRU,DTW,3
BOG,SSA,3
BOG,CVG,3
BOG,BRM,3
BOG,TPP,3
BOG,CJA,3
BOG,CWB,3
GRU,OPS,3
BOG,MID,3
GRU,IPN,3
GRU,MNL,3
BOG,MUC,3
GRU,ANF,3
GRU,TFF,3
BOG,ZRH,3
BOG,CIX,3
BOG,HMO,3
BOG,CJS,3
BOG,SJE,3
CCS,EWR,3
CCS,FNC,3
CCS,TAB,3
CCS,YYZ,3
