code,seats
MIA,1329992.26
PTY,1300923.4
PMV,882870.26
IAH,879027.62
BOG,848405.1
MEX,765551.14
CTG,757486.34
CLO,740917.92
MAD,624357.84
MAR,611952.28
BAQ,605595.32
LIM,502958.88
CDG,470438.76
ATL,468232.8
GUA,462314.66
LAX,432225.84
PZO,396005.4
SJO,393799.44
CNF,372475.16
BLA,371894.02
BSB,362761.82
POA,352621.52
EZE,347320.1
SDU,320362.32
AUA,317373.6
JFK,296571.16
BRM,295788.4
VIG,292835.26
AEP,291578.1
GRU,283133.78
IAD,270526.6
TGU,267454.86
SSA,237069.54
CWB,236583.28
DFW,230902.34
BGA,227937.34
FOR,226466.7
MUN,223525.42
HAV,213859.52
STD,208617.4
SAL,201548.84
REC,199639.38
LHR,195132.58
MGA,194077.04
FLL,192132
YYZ,191337.38
LIS,181090.34
CGB,170451.92
GIG,169930.08
FLN,169681.02
ADZ,167415.76
EWR,161912.72
JNB,159481.42
ASU,155342.28
MDE,145949.16
ORD,140920.52
BCN,139746.38
UIO,133840.1
SCL,126344.58
VIX,125466.94
MTR,124233.5
IST,123047.5
GYN,119287.88
RTB,118315.36
CGR,114555.74
GYE,107178.82
LSP,105933.52
SDQ,104889.84
SFO,104605.2
BPS,100904.88
MCO,100383.04
SAP,99434.24
PUJ,92804.5
FCO,92460.56
CUR,92436.84
AXM,88072.36
MCZ,86779.62
NVT,85629.2
NAT,76497
POS,70377.24
AUH,70329.8
BZE,70021.44
EYP,68977.76
DOH,67578.28
DXB,66546.46
RAO,65396.04
NVA,60296.24
CCS,59537.2
FRA,52480.5
MZL,49195.28
LRV,45376.36
LET,44546.16
PSO,40347.72
JPA,40098.66
CUM,39920.76
COR,39564.96
VVI,39493.8
VUP,38129.9
MAO,37785.96
MVD,37785.96
IGU,36647.4
BEL,33053.82
LIR,32259.2
PPB,31096.92
BNS,27811.7
EOH,27372.88
THE,27289.86
UDI,26056.42
IBE,25807.36
CMN,25617.6
SOM,23435.36
CUC,22771.2
ADD,22415.4
PYH,20968.48
OPO,20707.56
CAC,19865.5
AGT,18288.12
PPN,17315.6
BLB,16983.52
RCH,16959.8
LAD,15714.5
CZE,15275.68
LFR,15240.1
CUN,14540.36
JOI,14326.88
FLA,13330.64
JDO,13093.44
DTW,13022.28
UIB,12808.8
JTC,11456.76
AUC,11385.6
LPB,11385.6
PFB,11385.6
PVH,9571.02
SFD,9488
LCE,7685.28
PUU,7685.28
MGF,7542.96
SJP,6356.96
VDC,6356.96
IZA,5811.4
FNC,5621.64
MDZ,4910.04
PCR,4506.8
BGI,3285.22
TCO,3225.92
PDA,2704.08
CZU,2632.92
LMC,2561.76
RVE,2561.76
SJE,2561.76
MVP,1802.72
PTX,1707.84
VLN,1707.84
SJU,1423.2
APO,853.92
BUN,853.92
VGZ,853.92
DOU,794.62
VLV,604.86
