"code","seats","case_count"
"ATL",39480,7
"DFW",19469,4
"DTW",1098,1
"IAD/DCA/BWI",22810,6
"IAH",74117,6
"JFK/EWR/LGA",38658,8
"LAX",36444,2
"MCO",8464,11
"MIA/FLL",128341,18
"ORD",11882,3
"SJC/OAK/SFO",8820,6
"SJU",120,0
"AUS",0,2
"BGR",0,1
"BHM",0,1
"BNA",0,1
"BOS",0,1
"CLE",0,2
"CLT",0,4
"CMH",0,2
"CRW",0,1
"DEN",0,2
"DSM",0,3
"GCK",0,1
"GEG",0,1
"HSV",0,1
"ILG",0,1
"IND",0,1
"MSO",0,1
"MSP",0,1
"MSY",0,2
"OKC",0,2
"OMA",0,2
"PDX",0,2
"PHL",0,6
"PHX",0,1
"RDU",0,1
"SAT",0,1
"SDF",0,1
"SEA",0,1
"SLC",0,1
"SNA",0,1
"STL",0,1
"TPA",0,3
