Destination,Destination State,Total Seats
IAH,TX,35889
MIA,FL,25747
LAX,CA,24932
MIA,FL,20270
MIA,FL,19394
MIA,FL,13821
IAD,VA,12706
DFW,TX,11482
IAH,TX,10907
ATL,GA,10609
SFO,CA,10200
IAH,TX,8902
ATL,GA,8497
IAH,TX,7810
ATL,GA,7710
MIA,FL,7222
JFK,NY,5728
ATL,GA,5727
FLL,FL,5716
MCO,FL,5400
FLL,FL,4607
IAD,VA,4513
JFK,NY,3656
EWR,NJ,3630
JFK,NY,3552
ORD,IL,3540
EWR,NJ,3175
MCO,FL,2587
DFW,TX,2568
FLL,FL,2544
LAX,CA,2388
ORD,IL,2279
JFK,NY,2054
LAX,CA,1808
IAH,TX,1752
JFK,NY,1230
ATL,GA,907
EWR,NJ,602
EWR,NJ,448
DTW,MI,216
DFW,TX,150
SJU,PR,120
IAD,VA,120
