code,seats
PTY,4948
MDE,4199
CLO,3598
CTG,3155
LIM,3148
PMV,2497
BAQ,2429
SCL,2086
BGA,1994
SMR,1964
ADZ,1927
MIA,1923
CUC,1550
SSA,1512
PZO,1485
MAR,1481
POA,1440
BOG,1346
FOR,1301
AUA,1237
MEX,1236
EZE,1151
FLL,1110
REC,1102
CCS,1096
PEI,1087
CNF,1071
CWB,995
JFK,985
MTR,955
BSB,880
GYE,880
IAH,880
BLA,866
EYP,800
GIG,800
GUA,784
CUR,743
MAD,684
SAL,681
SJO,658
UIO,654
FLN,643
AXM,640
NVA,639
VUP,630
MZL,620
VIG,619
SDU,612
CUN,585
VIX,566
MUN,557
EOH,555
CGB,533
MCZ,527
BRM,511
AEP,498
BEL,468
TGU,468
CDG,460
PSO,460
GRU,458
SDQ,453
NAT,423
PVA,416
LHR,404
IGU,393
PUJ,389
STD,383
GYN,378
LAX,363
FRA,362
MCO,354
DOH,350
MAO,341
SLZ,338
ATL,327
DXB,322
AUC,317
CUZ,306
LIS,297
AJU,295
LSP,290
TCO,289
EJA,286
IST,282
CGR,280
MGA,261
MVD,254
PPN,246
JPA,228
YYZ,227
LET,226
UIB,212
BLB,209
RCH,209
IBE,205
DFW,202
RTB,198
EWR,195
ASU,191
HAV,191
BPS,180
NVT,177
LRV,174
VVC,169
LDB,167
BCN,165
PUU,163
MGF,161
ORD,155
IAD,147
FLA,145
SAP,142
POS,139
THE,130
COR,125
CUM,120
FCO,120
AQP,118
MXP,117
CLT,116
AMS,114
SFO,113
VVI,113
SOM,111
SJU,107
XAP,105
RAO,101
BNS,99
LQM,94
RVE,93
MVP,92
IQT,90
GPI,87
JNB,84
PET,82
LPB,81
CAC,80
PLU,79
PPB,77
PVH,76
MDZ,75
PMW,74
AGT,73
MUC,73
IOS,72
RIA,72
ROS,72
VLN,71
UDI,70
CZU,69
VGZ,69
JDO,68
JTC,68
BOS,67
LGA,67
SFD,67
JOI,66
LCE,65
ANF,64
APO,64
CAJ,64
BUN,62
BZE,62
MTY,62
DOU,61
FRS,61
ZRH,61
BWI,58
PAC,58
PYH,58
ADD,54
AUH,53
DTW,53
ESM,53
PMC,52
DEN,51
GDL,51
LAS,50
GEO,49
BON,48
CMN,47
PCR,47
PHL,45
CCP,43
MCP,43
TPP,43
YUL,42
DCA,41
IMP,41
PIU,41
CZE,39
LAD,39
PDA,39
LIR,37
VDC,36
BRC,35
DUS,35
IQQ,34
CJC,33
SJE,33
TRU,33
BGI,32
TPA,32
LGW,31
OPO,31
PTX,31
AKL,28
PHX,28
SJP,28
JUL,27
CBB,27
PFB,27
FEN,25
ORY,25
CIX,24
LSC,24
MSP,24
SEA,24
MAN,23
CRD,22
IPC,22
MDW,22
ZCO,22
AFL,21
CPO,21
CUE,21
DAV,21
GVA,21
HKG,21
LFR,21
PVG,21
BRA,20
CMG,20
MBJ,20
MOC,20
MSY,20
TXL,20
ARI,19
KIN,19
LOH,19
TAB,19
YVR,19
DME,18
ICN,18
LPD,18
UBA,18
VIE,18
CPH,17
FTE,17
GND,17
MAB,17
OPS,17
SLC,17
TIJ,17
BNA,16
CPV,16
PCL,16
PDP,16
STM,16
SXM,16
TPE,16
CJA,15
GCM,15
JAX,15
NRT,15
PVR,15
RGA,15
TLV,15
YYC,15
ATM,14
AUS,14
BAH,14
BJX,14
CLE,14
FNC,14
HAM,14
IKA,14
LMC,14
MID,14
NAS,14
PNZ,14
BOM,13
CUL,13
PIT,13
PMI,13
SAN,13
SID,13
SLA,13
TFF,13
VSA,13
SAT,12
ATH,12
BRU,12
BSC,12
DUB,12
HOU,12
HPN,12
IND,12
MCT,12
STL,12
TZA,12
WAW,12
ANU,11
ARN,11
CAI,11
CUU,11
IZA,11
PDX,11
RAI,11
TCQ,11
HEL,10
MEC,10
NAP,10
NQN,10
PEK,10
PUQ,10
SCY,10
SVO,10
TFN,10
TUN,10
VCE,10
VER,10
AYT,9
CAW,9
EDI,9
HNL,9
LPA,9
LUO,9
OTP,9
RGL,9
RNG,9
SAW,9
SVQ,9
URG,9
USH,9
VGO,9
BHI,8
BLQ,8
CHS,8
CMB,8
DEL,8
DGO,8
GPS,8
GRX,8
GVR,8
HND,8
LIN,8
MCI,8
MNL,8
MXL,8
OAX,8
PAP,8
RBR,8
RUH,8
SIN,8
SLU,8
SMF,8
TLS,8
ADB,7
AGP,7
AGU,7
AYP,7
BDL,7
CAN,7
CPT,7
CTA,7
CVG,7
HMO,7
IGR,7
IPN,7
ISP,7
JED,7
KWI,7
LTX,7
LYS,7
MRU,7
OCC,7
PAV,7
PLS,7
RDU,7
SCQ,7
STI,7
STR,7
SYQ,7
TUL,7
BSL,6
CMH,6
JAU,6
KHI,6
LCG,6
MEM,6
MZT,6
NTE,6
PBM,6
PER,6
PMY,6
PRG,6
SDF,6
SNA,6
STT,6
SVI,6
TAP,6
TGZ,6
VKO,6
ABQ,5
ACA,5
ACR,5
ALB,5
AUX,5
BKK,5
BOD,5
BUD,5
BVB,5
CFB,5
CGN,5
CKS,5
DMM,5
DUR,5
EBL,5
ELP,5
FPO,5
GYD,5
HUU,5
IBZ,5
KBL,5
MED,5
MEL,5
MII,5
MKE,5
MLE,5
NCE,5
OAL,5
OKC,5
RSW,5
SFN,5
SJD,5
SNU,5
SYD,5
SYR,5
TBP,5
TBS,5
TJL,5
TRC,5
TUC,5
YEG,5
YHZ,5
ZAL,5
ALG,4
AMM,4
ATA,4
BEY,4
BGY,4
BIO,4
BVH,4
CAB,4
CGK,4
CLQ,4
COK,4
CPE,4
CUK,4
DAC,4
DAL,4
ELQ,4
EQS,4
ETR,4
GLA,4
HAJ,4
ISB,4
KBP,4
KEF,4
LBA,4
LED,4
LIT,4
LTN,4
MLM,4
MRS,4
MTT,4
NQU,4
OAK,4
PEM,4
PXM,4
RAK,4
RES,4
REX,4
RIC,4
SJC,4
SOF,4
SXF,4
TAM,4
TLC,4
VLV,4
XRY,4
YOW,4
YQB,4
YWG,4
JAN,3
AGA,3
ALC,3
ANS,3
ASR,3
BBA,3
BDA,3
BJV,3
BTR,3
CCJ,3
CME,3
CTU,3
CZM,3
DAY,3
EVN,3
EYW,3
FLR,3
GAO,3
HOG,3
HOR,3
ICT,3
IEV,3
JPR,3
KRK,3
KUL,3
LAP,3
LBB,3
LCH,3
LCY,3
LHE,3
LUX,3
MAH,3
MFE,3
OSL,3
PBC,3
PJM,3
PMO,3
PNS,3
REL,3
ROC,3
SDR,3
SEZ,3
SKT,3
SRE,3
SSH,3
TJA,3
TUS,3
TYR,3
TZX,3
UAQ,3
YAM,3
YMM,3
YQR,3
ZAG,3
ZCL,3
ZIH,3
AAL,2
ABJ,2
ABZ,2
ADA,2
AHB,2
ALA,2
ANC,2
BES,2
BFS,2
BHD,2
BHX,2
BMI,2
BNE,2
BOC,2
BUF,2
CAY,2
CFE,2
CJS,2
CPC,2
CRW,2
CTM,2
DAR,2
DNZ,2
DRS,2
DWC,2
ESB,2
EZS,2
FMA,2
FUE,2
GNV,2
GOT,2
GRJ,2
GRR,2
KIM,2
KIX,2
KOA,2
KRT,2
KTM,2
KTW,2
KYA,2
LMM,2
LOS,2
LUN,2
MAA,2
MDT,2
MLN,2
MLU,2
MPL,2
MSQ,2
MYR,2
NCL,2
NLD,2
OGG,2
ORF,2
PAZ,2
PBI,2
PEW,2
PLJ,2
PSS,2
PVD,2
PWM,2
QRO,2
RNO,2
ROO,2
SCU,2
SHV,2
SLL,2
SLP,2
SNC,2
SNN,2
SSG,2
STN,2
SVD,2
TAS,2
TBT,2
TER,2
TGI,2
TIA,2
TLL,2
TME,2
TMU,2
TNG,2
TSF,2
TTN,2
TXF,2
UII,2
USA,2
VCP,2
VLC,2
XQP,2
YTZ,2
YYT,2
ZLO,2
NOV,1
ACC,1
ACY,1
ADL,1
AEX,1
AFA,1
AHO,1
ALO,1
AMA,1
ASB,1
ASE,1
AVL,1
BGW,1
BHM,1
BIA,1
BIM,1
BLR,1
BOB,1
BPT,1
BQS,1
BRI,1
BTH,1
CAG,1
CCU,1
CEN,1
CFU,1
CGH,1
CGP,1
CGY,1
CHX,1
CIA,1
CID,1
CMI,1
CMW,1
COS,1
CRL,1
CRP,1
CVM,1
CYO,1
CZL,1
DIY,1
DKR,1
DMK,1
DPS,1
DRK,1
DSM,1
EAS,1
EBB,1
ECN,1
EIN,1
ELH,1
EVV,1
FAO,1
FAR,1
FAT,1
FNT,1
FOC,1
FSC,1
FUK,1
FWA,1
GBE,1
GCC,1
GDN,1
GGT,1
GJA,1
GOA,1
GRK,1
GRZ,1
GSO,1
HDS,1
HER,1
HGH,1
HOB,1
HOF,1
HRE,1
HTY,1
HUX,1
ILM,1
ISU,1
ITM,1
IXB,1
IXE,1
JAI,1
JBQ,1
JTR,1
JUJ,1
KGL,1
KHH,1
KIV,1
KUT,1
LBE,1
LBV,1
LCA,1
LEC,1
LEJ,1
LEX,1
LFT,1
LGB,1
LGQ,1
LIH,1
LJU,1
LPL,1
LRD,1
LRM,1
LVI,1
LWO,1
LYP,1
LZC,1
MAM,1
MEA,1
MHD,1
MHH,1
MHT,1
MIG,1
MLA,1
MLI,1
MMX,1
MOB,1
MPM,1
MQP,1
MUB,1
MUX,1
NBO,1
NEV,1
NGO,1
NKC,1
NKG,1
NLA,1
NOB,1
NRN,1
NSB,1
NUE,1
OGL,1
OLB,1
ONT,1
ORK,1
OVD,1
PBG,1
PDL,1
PDS,1
PGA,1
PLZ,1
POP,1
POZ,1
PSA,1
PSE,1
PSP,1
RBA,1
RDM,1
RHO,1
RIX,1
RNS,1
RTM,1
RUT,1
SAV,1
SFB,1
SGN,1
SHJ,1
SJJ,1
SJT,1
SKG,1
SOU,1
SPR,1
STS,1
STW,1
SUF,1
SUX,1
SVG,1
SWF,1
SZF,1
TAO,1
TFS,1
TLH,1
TMR,1
TNR,1
TRD,1
TRN,1
TSA,1
TSE,1
TUU,1
TYS,1
UEL,1
UFA,1
UVF,1
VNO,1
VQS,1
VRA,1
VRN,1
XNA,1
YHM,1
YQM,1
YXE,1
YXU,1
YYG,1
