code,seats
PTY,4545
MDE,4301
CLO,3610
CTG,3037
LIM,2953
PMV,2384
BAQ,2329
MIA,2284
SCL,2158
BGA,2048
ADZ,1990
SMR,1929
MEX,1814
SSA,1560
CUC,1558
PZO,1400
MAR,1369
POA,1296
BOG,1290
EZE,1290
REC,1268
AUA,1129
FLL,1098
MAD,1094
FOR,1082
IAH,1079
PEI,1054
CCS,1006
JFK,988
CNF,924
BLA,911
MTR,850
CWB,825
BSB,785
GIG,766
GYE,753
UIO,726
EYP,713
GUA,707
CUR,689
SJO,685
SAL,653
CUN,629
NVA,621
FLN,619
MZL,615
AXM,614
LHR,605
AEP,593
VIG,587
MUN,531
VUP,528
VIX,525
IST,522
SDU,520
CGB,511
MCZ,506
EOH,502
BRM,468
STD,443
PSO,440
CDG,439
GRU,416
LAX,416
TGU,415
BEL,397
SDQ,389
IGU,383
MAO,374
NAT,369
PVA,364
GYN,357
MCO,347
DOH,341
AUC,330
DFW,318
PUJ,315
FRA,314
MVD,303
DXB,300
EJA,288
CGR,286
EWR,272
ASU,271
BCN,271
AJU,270
IAD,269
HAV,265
IBE,264
CUZ,261
ATL,255
SLZ,254
LIS,252
LSP,247
TCO,237
YYZ,233
PPN,231
MGA,230
JPA,225
RCH,218
LET,210
BPS,208
ORD,198
RTB,188
BLB,182
VVC,171
NVT,159
POS,158
AMS,157
SAP,155
SFO,154
FLA,150
UIB,148
FCO,147
MGF,144
COR,139
LRV,136
VVI,134
RAO,132
THE,131
PUU,128
LDB,127
LPB,117
AUH,116
CUM,116
CLT,108
MXP,102
JNB,96
CAC,95
LGA,95
IQT,94
ZRH,93
AQP,92
LQM,91
MUC,89
RVE,87
SOM,81
SJU,80
UDI,79
APO,77
VGZ,76
ADD,75
BNS,73
JDO,73
MTY,73
BOS,71
DOU,71
GDL,71
PMW,71
LAS,70
IOS,69
BZE,68
JOI,67
MVP,67
AGT,66
PET,66
PLU,66
ANF,65
GPI,63
SFD,63
DEN,62
DTW,62
ROS,62
XAP,61
CZU,60
MDZ,59
PHL,59
PCR,57
CMN,56
PPB,56
PYH,56
GEO,55
BUN,53
PAC,53
PVH,53
CZE,51
ESM,50
RIA,50
YUL,50
PDA,49
PMC,49
VLN,49
CCP,47
CBB,46
DCA,45
FRS,45
BWI,44
CAJ,44
IQQ,44
JTC,42
LCE,42
MCP,42
MSP,42
AKL,40
IMP,40
BRU,39
LIR,38
VDC,38
ORY,37
ICN,36
FEN,35
OPO,35
BON,33
CJC,33
LAD,33
BRC,31
LSC,31
PIU,31
ARI,30
NAS,30
PHX,30
LGW,29
SVO,29
HKG,28
MID,28
PEK,28
SJP,28
TIJ,28
CPH,27
LFR,27
NRT,27
PTX,27
PNZ,26
TPA,26
TPP,26
BKK,25
CIX,25
SEA,25
SJE,25
LPA,24
MAN,24
TRU,24
ZCO,24
CPO,23
CRD,23
CUE,23
HND,23
PMI,23
PVG,22
TFN,22
TPE,22
ARN,21
GVA,21
PFB,21
JUL,20
AUS,20
DAV,20
UBA,20
DUB,19
DUS,19
FNC,19
IZA,19
LMC,19
LOH,19
MNL,19
OPS,19
SID,19
SLA,19
VSA,19
ATM,18
BGI,18
BOM,18
DME,18
GND,18
MBJ,18
TAB,18
SAT,17
BSC,17
IPC,17
JAX,17
VIE,17
AFL,16
CJA,16
CLE,16
DEL,16
HMO,16
HOU,16
MEC,16
PAP,16
SXM,16
TXL,16
YVR,16
AGP,15
KIN,15
MSY,15
REX,15
YYC,15
ATH,14
CMG,14
CVG,14
HAM,14
IPN,14
LYS,14
TFF,14
TGZ,14
CHS,13
CMH,13
MCI,13
