Origin,"Terminal Destination",Occurrences
BOG,MDE,749
BOG,CLO,671
BOG,CTG,573
BOG,PTY,459
BOG,BAQ,393
GRU,SSA,381
CCS,PMV,377
BOG,BGA,367
BOG,ADZ,340
GRU,REC,334
BOG,SMR,331
BOG,LIM,321
GRU,FOR,286
BOG,CUC,285
GRU,POA,282
BOG,MIA,239
CCS,MAR,238
GRU,SCL,234
CCS,PZO,216
BOG,MEX,213
GRU,CNF,206
CCS,PTY,201
BOG,PEI,197
BOG,SCL,189
GRU,CWB,184
GRU,MIA,163
GRU,BSB,162
GRU,EZE,159
GRU,GIG,158
BOG,CCS,157
BOG,MTR,149
CCS,AUA,149
GRU,LIM,140
GRU,MCZ,135
CCS,BLA,134
GRU,VIX,132
BOG,AXM,131
GRU,FLN,131
BOG,EYP,128
CCS,BOG,123
BOG,JFK,120
GRU,AEP,120
GRU,SDU,117
GRU,PTY,114
BOG,NVA,112
GRU,CGB,112
GRU,IST,111
GRU,BEL,108
CCS,VIG,104
GRU,IGU,100
BOG,MZL,97
GRU,MAD,97
BOG,CUN,96
BOG,FLL,96
BOG,MAD,96
CCS,BRM,96
SAL,IAH,94
GRU,MAO,92
CCS,MUN,92
BOG,GYE,90
CCS,CUR,86
BOG,EOH,85
GRU,GYN,84
GRU,NAT,84
GRU,DXB,83
GRU,BOG,83
CCS,STD,82
SAL,SJO,80
CCS,MIA,80
BOG,UIO,79
BOG,LHR,79
BOG,VUP,75
SAL,GUA,71
GRU,SLZ,70
GRU,MVD,70
GRU,AJU,69
BOG,PSO,67
BOG,GRU,67
GRU,ASU,67
SAL,PTY,66
GRU,BPS,64
GRU,DOH,63
SAL,LIM,62
GRU,JFK,62
BOG,AUC,61
GRU,CGR,61
GRU,JPA,60
GRU,LIS,59
SAL,LAX,57
BOG,PVA,57
GRU,LHR,57
GRU,FRA,56
BOG,EZE,54
BOG,SAL,54
SAL,FLL,53
GRU,CDG,51
BOG,EJA,50
BOG,PPN,50
GRU,MCO,49
GRU,MEX,47
BOG,BCN,45
CCS,MAD,45
SAP,SAL,43
SAL,MGA,43
BOG,IAH,42
BOG,LET,40
GRU,UIO,40
BOG,PUJ,39
GRU,AMS,39
BOG,SJO,37
BOG,TCO,37
BOG,RCH,37
CCS,LSP,37
SAL,MEX,36
BOG,CUZ,36
GRU,THE,36
CCS,SDQ,35
GRU,EWR,34
BOG,UIB,33
BOG,BLB,33
SAL,TGU,31
SAL,BOG,30
BOG,LAX,30
GRU,RAO,30
GRU,IAD,30
CCS,EZE,30
SAP,GUA,29
SAP,TGU,29
SAL,MIA,29
GRU,AUH,29
GRU,MGF,29
CCS,HAV,29
BOG,CDG,28
SAL,SFO,28
CCS,LIM,28
SAP,FLL,27
BOG,FLA,27
BOG,DFW,27
GRU,IOS,27
BOG,SDQ,26
BOG,IBE,26
GRU,NVT,26
GRU,COR,26
BOG,CUR,25
SAL,IAD,24
GRU,BCN,24
GRU,JNB,24
CCS,FLL,24
BOG,MCO,23
GRU,LDB,23
CCS,LRV,23
BOG,PUU,22
SAL,SAP,22
BOG,VVC,22
BOG,ATL,22
GRU,DFW,22
GRU,PET,22
CCS,POS,22
SAL,ORD,21
BOG,IAD,21
SAL,YYZ,21
BOG,LPB,21
GRU,LAX,21
GRU,ADD,21
BOG,PMV,20
SAL,ATL,20
BOG,MAR,20
GRU,VDC,20
GRU,FCO,20
CCS,CDG,20
CCS,MEX,20
BOG,GIG,19
GRU,UDI,19
GRU,VVI,19
GRU,CMN,19
SAP,IAH,18
SAL,DFW,18
BOG,HAV,18
GRU,PPB,18
GRU,CAC,18
GRU,IAH,18
GRU,ROS,18
CCS,SOM,18
GRU,ZRH,17
CCS,CUM,17
BOG,YYZ,16
BOG,AUA,16
BOG,RVE,16
GRU,AGT,16
GRU,GYE,16
GRU,JDO,16
GRU,ATL,16
SAP,MIA,15
SAL,MDE,15
BOG,MVP,15
GRU,MXP,15
GRU,PVH,15
GRU,CUN,15
SAP,RTB,14
SAL,GYE,14
SAL,JFK,14
SAL,HAV,14
BOG,CZU,14
GRU,PLU,14
GRU,ORD,14
GRU,OPO,14
GRU,PMW,14
SAL,UIO,13
BOG,ESM,13
BOG,GUA,13
GRU,XAP,13
GRU,FEN,13
GRU,CCS,13
BOG,VGZ,12
BOG,VLN,12
BOG,MTY,12
BOG,GPI,12
GRU,PUJ,12
GRU,LAD,12
CCS,SCL,12
CCS,CAJ,12
CCS,CUN,12
BOG,APO,11
BOG,PCR,11
BOG,CLT,11
BOG,EWR,11
BOG,LQM,11
GRU,MUC,11
GRU,JOI,11
GRU,MCP,11
CCS,GYE,11
CCS,JFK,11
CCS,IAH,11
CCS,SFD,11
SAP,MEX,10
BOG,YUL,10
SAL,RTB,10
BOG,SFO,10
BOG,LGA,10
BOG,FRA,10
BOG,IQT,10
BOG,AQP,10
GRU,JTC,10
GRU,AKL,10
GRU,LPB,10
CCS,GEO,10
CCS,CZE,10
CCS,FCO,10
CCS,LIS,10
CCS,PUJ,10
SAL,LIR,9
SAL,CLO,9
BOG,PAC,9
BOG,GDL,9
GRU,YYZ,9
GRU,DOU,9
GRU,OPS,9
GRU,IMP,9
GRU,CUZ,9
GRU,CTG,9
GRU,RIA,9
CCS,MGA,9
CCS,GRU,9
CCS,TAB,9
CCS,CLO,9
SAP,ATL,8
BOG,SJU,8
GRU,IQQ,8
GRU,PFB,8
GRU,AUA,8
GRU,CBB,8
GRU,SJP,8
GRU,DTW,8
CCS,BNS,8
CCS,MDE,8
CCS,BON,8
SAL,FRS,7
BOG,PZO,7
BOG,ORD,7
BOG,BOS,7
BOG,PDA,7
BOG,PTX,7
GRU,DEL,7
GRU,MDZ,7
GRU,ICN,7
GRU,MDE,7
GRU,SFO,7
GRU,SJO,7
CCS,FRA,7
SAP,PTY,6
SAL,LGA,6
BOG,VSA,6
SAL,EWR,6
BOG,PIU,6
SAL,DEN,6
SAL,BWI,6
BOG,BLA,6
SAL,LAS,6
BOG,BUN,6
GRU,MTY,6
GRU,STM,6
BOG,IPC,6
BOG,SJE,6
GRU,ADB,6
GRU,FTE,6
GRU,IKA,6
GRU,FLL,6
CCS,ATL,6
CCS,CTG,6
CCS,MAO,6
CCS,UIO,6
CCS,PYH,6
BOG,AEP,5
SAP,JFK,5
SAP,LCE,5
BOG,PMC,5
BOG,YVR,5
SAL,MAD,5
BOG,SSA,5
SAL,LHR,5
SAL,BOS,5
BOG,LSC,5
SAL,MCO,5
BOG,MID,5
BOG,ANF,5
BOG,CCP,5
BOG,DEN,5
BOG,MVD,5
BOG,CUU,5
GRU,SVO,5
GRU,BOM,5
GRU,GUA,5
GRU,NRT,5
GRU,MAB,5
GRU,MOC,5
GRU,TLV,5
GRU,PVG,5
BOG,GVA,5
GRU,PHL,5
GRU,URG,5
GRU,LGA,5
CCS,SVO,5
CCS,MCO,5
CCS,GND,5
CCS,BOS,5
CCS,BAQ,5
SAP,SJO,4
BOG,LPD,4
BOG,YYC,4
BOG,BWI,4
BOG,CUE,4
BOG,SVI,4
SAL,CUZ,4
SAL,TZA,4
BOG,CJA,4
SAL,CCS,4
BOG,IST,4
SAL,MSP,4
BOG,LMC,4
BOG,VVI,4
BOG,TGU,4
BOG,NRT,4
BOG,PHX,4
BOG,MGA,4
BOG,TFN,4
BOG,OSL,4
BOG,ORY,4
GRU,CMH,4
GRU,CCP,4
GRU,BLQ,4
GRU,LSC,4
GRU,PMC,4
GRU,CLO,4
BOG,POA,4
GRU,HKG,4
GRU,BKK,4
GRU,CJC,4
GRU,BRU,4
GRU,DEN,4
GRU,IZA,4
GRU,BWI,4
GRU,BOS,4
GRU,RGL,4
GRU,BRC,4
BOG,LRV,4
GRU,CGK,4
GRU,USH,4
GRU,TJL,4
GRU,LAS,4
GRU,ZCO,4
BOG,PEK,4
GRU,ADZ,4
BOG,ZCO,4
GRU,CRD,4
GRU,ESB,4
GRU,RUH,4
GRU,OAL,4
GRU,MEL,4
GRU,PNZ,4
CCS,LFR,4
CCS,YYZ,4
CCS,SJO,4
CCS,LAX,4
CCS,HOG,4
CCS,AMS,4
CCS,SAL,4
CCS,CLT,4
CCS,SXM,4
CCS,DFW,4
CCS,LHR,4
SAP,FRA,3
SAP,EWR,3
BOG,PIT,3
BOG,BZE,3
SAL,CTG,3
SAL,HND,3
SAL,GRU,3
SAL,PAP,3
BOG,ARN,3
SAL,SCL,3
SAL,MCI,3
SAL,BZE,3
BOG,ICN,3
BOG,TXL,3
SAL,ICN,3
SAL,DTW,3
SAL,CLT,3
BOG,IQQ,3
BOG,TAM,3
BOG,BUF,3
BOG,DAV,3
BOG,YHZ,3
BOG,LOH,3
BOG,CVG,3
BOG,DUS,3
BOG,ASU,3
BOG,DCA,3
BOG,BRM,3
BOG,LSP,3
BOG,MDZ,3
BOG,COR,3
BOG,TIJ,3
GRU,LIN,3
BOG,HKG,3
BOG,MXL,3
GRU,PEI,3
GRU,IPN,3
BOG,LGW,3
GRU,SLA,3
GRU,CKS,3
BOG,BRU,3
GRU,CPV,3
GRU,MAA,3
GRU,AYT,3
GRU,BRA,3
BOG,VIX,3
GRU,ANF,3
GRU,DCA,3
BOG,DXB,3
GRU,ORY,3
GRU,UAQ,3
GRU,SIN,3
BOG,SOM,3
GRU,CLT,3
GRU,GDL,3
GRU,SJU,3
GRU,SAL,3
GRU,LGW,3
GRU,NQN,3
BOG,MUC,3
GRU,WAW,3
GRU,ARN,3
GRU,PEK,3
GRU,CMG,3
GRU,JED,3
CCS,EOH,3
CCS,PHL,3
CCS,SMR,3
CCS,FNC,3
CCS,SLU,3
CCS,GCM,3
CCS,LPB,3
CCS,LGA,3
CCS,LAS,3
CCS,IST,3
BOG,PBI,2
SAP,DFW,2
SAP,MCO,2
SAP,BWI,2
SAL,HSV,2
BOG,PHL,2
SAL,CVG,2
SAL,CUC,2
BOG,PVG,2
BOG,TCQ,2
BOG,MSP,2
SAL,OMA,2
BOG,ROC,2
SAL,BDA,2
SAL,EZE,2
SAL,FRA,2
SAL,PHX,2
BOG,TPA,2
SAL,LCE,2
BOG,DOH,2
BOG,MLU,2
BOG,BSC,2
SAL,SEA,2
SAL,SMR,2
BOG,HND,2
BOG,MEC,2
SAL,NRT,2
BOG,TME,2
SAL,YUL,2
BOG,HAM,2
SAL,OKC,2
SAL,SJC,2
BOG,BKK,2
BOG,BJX,2
SAL,AUH,2
BOG,TPP,2
SAL,YYC,2
SAL,ZIH,2
BOG,TRC,2
SAL,LPB,2
SAL,MSY,2
BOG,DUB,2
GRU,PZO,2
BOG,CIX,2
BOG,BGI,2
BOG,IGU,2
BOG,HMO,2
GRU,AFL,2
BOG,DTW,2
GRU,PAV,2
BOG,SAT,2
BOG,PCL,2
GRU,JUJ,2
GRU,RIX,2
BOG,LPA,2
BOG,REC,2
GRU,TUC,2
BOG,MUN,2
GRU,BZE,2
BOG,CBB,2
GRU,ARI,2
GRU,CMB,2
BOG,STI,2
BOG,BON,2
GRU,CPH,2
BOG,LAS,2
GRU,NOV,2
GRU,TXF,2
GRU,FNC,2
GRU,GVA,2
BOG,TGZ,2
BOG,BIO,2
GRU,TFF,2
BOG,BDA,2
BOG,VIE,2
GRU,BGI,2
GRU,BGA,2
BOG,SDR,2
