Origin,"Terminal Destination",Occurrences
BOG,MDE,746
BOG,CLO,621
BOG,CTG,528
BOG,PTY,459
BOG,BGA,400
BOG,BAQ,391
GRU,SSA,387
CCS,PMV,375
BOG,ADZ,347
BOG,LIM,312
GRU,REC,310
BOG,SMR,306
GRU,POA,302
GRU,FOR,301
BOG,CUC,253
BOG,MIA,251
GRU,SCL,234
GRU,CNF,225
BOG,MEX,221
CCS,PZO,217
CCS,MAR,216
BOG,PEI,204
CCS,PTY,203
GRU,EZE,192
GRU,BSB,185
GRU,CWB,183
BOG,SCL,182
CCS,BLA,164
GRU,FLN,162
GRU,GIG,162
CCS,AUA,159
GRU,MIA,158
BOG,MTR,153
GRU,VIX,149
GRU,LIM,143
BOG,JFK,139
CCS,BOG,127
BOG,CCS,124
BOG,EYP,122
GRU,IST,119
GRU,AEP,119
GRU,PTY,112
BOG,FLL,111
GRU,CGB,109
BOG,CUN,109
BOG,GYE,106
CCS,VIG,103
GRU,IGU,102
BOG,NVA,101
GRU,SDU,101
GRU,MCZ,100
CCS,STD,99
SAL,IAH,98
BOG,AXM,98
GRU,BEL,98
BOG,MZL,98
CCS,CUR,93
SAL,SJO,92
BOG,VUP,92
BOG,MAD,92
BOG,EOH,92
GRU,AJU,90
GRU,DXB,87
GRU,MVD,87
BOG,GRU,86
GRU,NAT,86
GRU,GYN,86
GRU,BOG,85
GRU,MAD,79
GRU,MAO,79
BOG,LHR,78
CCS,MUN,77
GRU,CGR,77
CCS,BRM,76
CCS,MIA,75
BOG,PSO,73
SAL,PTY,72
BOG,PVA,69
BOG,EZE,68
GRU,DOH,67
GRU,SLZ,65
SAL,FLL,63
GRU,LHR,61
GRU,CDG,60
SAL,GUA,59
GRU,MCO,57
BOG,UIO,57
GRU,BPS,56
GRU,JFK,56
SAL,LAX,54
GRU,FRA,54
SAL,LIM,53
BOG,AUC,53
GRU,JPA,53
BOG,TCO,52
GRU,MEX,51
BOG,EJA,50
BOG,LET,49
CCS,LSP,48
GRU,LIS,47
GRU,LDB,46
BOG,IAH,46
GRU,UIO,45
BOG,BCN,45
CCS,MAD,44
GRU,THE,44
CCS,LIM,42
GRU,NVT,42
BOG,SJO,41
BOG,RCH,40
GRU,ASU,40
BOG,SAL,40
SAP,FLL,38
SAL,BOG,38
SAL,MGA,38
BOG,UIB,36
SAP,SAL,34
SAL,MEX,34
GRU,AMS,34
BOG,PPN,34
BOG,IBE,34
BOG,CDG,34
SAP,TGU,33
CCS,SDQ,33
BOG,SDQ,33
BOG,MCO,33
BOG,BLB,32
BOG,LAX,32
SAL,TGU,31
CCS,EZE,31
BOG,DFW,31
GRU,IAD,31
BOG,PUJ,31
SAP,GUA,30
BOG,CUZ,30
BOG,PUU,29
SAL,SFO,28
CCS,LRV,28
GRU,EWR,28
SAL,SAP,27
GRU,VVI,27
BOG,FLA,27
GRU,MGF,27
GRU,AGT,26
CCS,IAH,25
CCS,HAV,25
SAL,IAD,24
GRU,FCO,24
GRU,PPB,23
BOG,HAV,23
BOG,CUR,23
CCS,MEX,22
BOG,GUA,22
GRU,ADD,22
GRU,RAO,22
GRU,LAX,22
GRU,JDO,21
BOG,RVE,21
BOG,VVC,21
SAL,MIA,20
SAL,ORD,20
CCS,CDG,20
GRU,BCN,20
GRU,IOS,20
BOG,LPB,20
GRU,MXP,20
BOG,GIG,20
BOG,MAR,20
BOG,AUA,20
GRU,GYE,20
CCS,POS,19
BOG,IAD,19
GRU,CAC,19
GRU,JOI,19
GRU,XAP,19
SAL,YYZ,18
BOG,SJU,18
CCS,BNS,17
GRU,CUN,17
