Origin,Terminal Destination,Occurrences
BOG,MDE,1698
BOG,CLO,1435
BOG,CTG,1214
BOG,PTY,921
BOG,BAQ,915
BOG,BGA,886
BOG,ADZ,735
BOG,SMR,709
BOG,LIM,697
BOG,CUC,583
BOG,MIA,534
BOG,MEX,489
BOG,SCL,437
BOG,PEI,402
BOG,MTR,392
BOG,CCS,361
BOG,JFK,316
BOG,EYP,269
BOG,AXM,260
BOG,FLL,227
BOG,MZL,227
BOG,NVA,225
BOG,CUN,220
BOG,MAD,214
BOG,EOH,212
BOG,GRU,200
BOG,GYE,198
BOG,VUP,198
BOG,PSO,173
BOG,PVA,173
BOG,UIO,172
BOG,LHR,142
BOG,SAL,134
BOG,AUC,132
BOG,EZE,123
BOG,EJA,121
BOG,BCN,91
BOG,IAH,91
BOG,LET,91
BOG,IBE,90
BOG,PUJ,87
BOG,SJO,85
BOG,RCH,85
BOG,CUZ,85
BOG,TCO,82
BOG,UIB,81
BOG,PPN,76
BOG,MCO,73
BOG,BLB,69
BOG,LAX,67
BOG,SDQ,64
BOG,FLA,61
BOG,DFW,57
BOG,CDG,56
BOG,ATL,55
BOG,IAD,55
BOG,PUU,54
BOG,VVC,52
BOG,GUA,48
BOG,GIG,46
BOG,CUR,45
BOG,YYZ,44
BOG,IQT,44
BOG,EWR,44
BOG,LPB,43
BOG,AUA,43
BOG,RVE,39
BOG,GPI,38
BOG,PMV,35
BOG,MVP,34
BOG,LQM,34
BOG,HAV,32
BOG,AQP,31
BOG,MAR,28
BOG,VGZ,27
BOG,MTY,26
BOG,VLN,26
BOG,FRA,25
BOG,YUL,24
BOG,BLA,23
BOG,SJU,23
BOG,APO,22
BOG,GDL,22
BOG,CZU,22
BOG,ORD,20
BOG,SFO,19
BOG,PZO,19
BOG,LAS,18
BOG,AEP,18
BOG,PCR,18
BOG,CLT,17
BOG,PDA,16
BOG,PAC,16
BOG,ESM,15
BOG,ANF,14
BOG,BUN,14
BOG,ORY,14
BOG,DXB,14
BOG,SJE,13
BOG,CCP,12
BOG,LGA,12
BOG,TPP,12
BOG,MVD,12
BOG,LGW,12
BOG,CIX,11
BOG,VSA,11
BOG,DCA,10
BOG,TIJ,10
BOG,FOR,10
BOG,PIU,10
BOG,MGA,9
BOG,BOS,9
BOG,AMS,9
BOG,BWI,9
BOG,CBB,9
BOG,PMC,8
BOG,LSP,8
BOG,COR,8
BOG,BRM,8
BOG,MID,8
BOG,MUC,8
BOG,POA,8
BOG,PMI,8
BOG,ASU,8
BOG,BSB,8
BOG,SSA,7
BOG,LMC,7
BOG,ARI,7
BOG,TGZ,7
BOG,MDZ,7
BOG,IPC,7
BOG,DUS,7
BOG,LPD,7
BOG,ZCO,7
BOG,HKG,7
BOG,LSC,7
BOG,MXP,7
BOG,LIS,6
BOG,TPA,6
BOG,BIO,6
BOG,JUL,6
BOG,PHX,6
BOG,LPA,6
BOG,MUN,6
BOG,AUS,6
BOG,TFN,6
BOG,BSC,6
BOG,NAS,6
BOG,MAN,6
BOG,CPO,6
BOG,IST,6
BOG,CUE,6
BOG,TGU,6
BOG,TRU,5
BOG,BDL,5
BOG,CUU,5
BOG,OSL,5
BOG,IQQ,5
BOG,PHL,5
BOG,DEN,5
BOG,JAX,5
BOG,REC,5
BOG,MSP,5
BOG,DOH,5
BOG,PUQ,4
BOG,LOH,4
BOG,CAI,4
BOG,MBJ,4
BOG,SOM,4
BOG,SAP,4
BOG,CJS,4
BOG,ICN,4
BOG,CJC,4
BOG,NRT,4
BOG,ROC,4
BOG,CPH,4
BOG,TLV,4
BOG,SAW,4
BOG,PTX,4
BOG,ACR,4
BOG,FCO,4
BOG,TAM,4
BOG,VER,4
BOG,VVI,4
BOG,MZT,4
BOG,ADD,4
BOG,SVI,4
BOG,VGO,4
BOG,SVO,4
BOG,CJA,3
BOG,IGR,3
BOG,HNL,3
BOG,BNS,3
BOG,NQU,3
BOG,PVG,3
BOG,SAT,3
BOG,AMM,3
BOG,MXL,3
BOG,ZRH,3
BOG,LCG,3
BOG,HUU,3
BOG,YEG,3
BOG,PEK,3
BOG,CME,3
BOG,SXF,3
BOG,SAN,3
BOG,RDU,3
BOG,FUE,3
BOG,OTP,3
BOG,BGI,3
BOG,ATH,3
BOG,CVG,3
BOG,YVR,3
BOG,ROS,3
BOG,BON,3
BOG,VLC,3
BOG,EDI,3
BOG,REX,3
BOG,FRS,3
BOG,HMO,3
BOG,SDR,2
BOG,PWM,2
BOG,NSI,2
BOG,BHX,2
BOG,FLR,2
BOG,VIX,2
BOG,NLD,2
BOG,PCL,2
BOG,PAP,2
BOG,BTR,2
BOG,LIN,2
BOG,TAP,2
BOG,DME,2
BOG,DTW,2
BOG,DUB,2
BOG,RTB,2
BOG,HAM,2
BOG,SDU,2
BOG,YQB,2
BOG,LRV,2
BOG,KEF,2
BOG,VIE,2
BOG,CMN,2
BOG,FLN,2
BOG,MEC,2
BOG,TBP,2
BOG,ACA,2
BOG,MKE,2
BOG,PRG,2
BOG,TNG,2
BOG,BJX,2
BOG,AJU,2
BOG,CUL,2
BOG,LYS,2
BOG,GVA,2
BOG,PNS,2
BOG,PIT,2
BOG,DEL,2
BOG,HND,2
BOG,TXL,2
BOG,SJD,2
BOG,NCL,2
BOG,YOW,2
BOG,CPT,2
BOG,HOU,2
BOG,ASE,2
BOG,CVM,2
BOG,VKO,2
BOG,BRC,2
BOG,VCE,2
BOG,FPO,2
BOG,YWG,2
BOG,AUH,2
BOG,MLM,2
BOG,BDA,2
BOG,ARN,2
BOG,LDB,2
BOG,CWB,2
BOG,ZCL,2
BOG,STN,2
BOG,STL,2
BOG,MSY,2
BOG,IGU,2
BOG,CPE,2
BOG,TCQ,2
BOG,JNB,2
BOG,ABZ,2
BOG,MTT,2
BOG,DAV,2
BOG,CMH,2
BOG,SBY,1
BOG,BZE,1
BOG,CIA,1
BOG,SAV,1
BOG,NUE,1
BOG,SMF,1
BOG,RIC,1
BOG,OVD,1
BOG,RIX,1
BOG,ALB,1
BOG,POS,1
BOG,PXM,1
BOG,TPE,1
BOG,IBZ,1
BOG,AHO,1
BOG,RAK,1
BOG,JED,1
BOG,SXB,1
BOG,EGE,1
BOG,BRU,1
BOG,KUH,1
BOG,RTM,1
BOG,BNA,1
BOG,YQG,1
BOG,YLW,1
BOG,DGO,1
BOG,TLS,1
BOG,WAW,1
BOG,LAP,1
BOG,CLE,1
BOG,PBI,1
BOG,RUH,1
BOG,RNO,1
BOG,NAT,1
BOG,STI,1
BOG,AGU,1
BOG,WMI,1
BOG,CNF,1
BOG,MRS,1
BOG,OKC,1
BOG,CNX,1
BOG,ABQ,1
BOG,TPQ,1
BOG,HUX,1
BOG,SEA,1
BOG,YSJ,1
BOG,BOC,1
