Origin,Terminal Destination,Occurrences
SAL,IAH,1726
SAL,SJO,1414
SAL,PTY,1297
SAL,GUA,1231
SAL,LIM,1093
SAL,FLL,1056
SAL,LAX,990
SAL,TGU,634
SAL,BOG,624
SAL,MEX,610
SAL,MGA,582
SAL,MIA,506
SAL,IAD,459
SAL,SFO,428
SAL,DFW,367
SAL,SAP,365
SAL,EWR,327
SAL,YYZ,314
SAL,MDE,296
SAL,ORD,258
SAL,UIO,253
SAL,JFK,233
SAL,CLO,214
SAL,ATL,212
SAL,GYE,198
SAL,MAD,197
SAL,HAV,179
SAL,RTB,160
SAL,BZE,151
SAL,CCS,104
SAL,FRS,100
SAL,LIR,97
SAL,LGA,82
SAL,CLT,81
SAL,SCL,77
SAL,LAS,75
SAL,DEN,73
SAL,EZE,68
SAL,LHR,61
SAL,HND,58
SAL,TPE,55
SAL,MCO,54
SAL,GRU,51
SAL,BWI,49
SAL,LCE,47
SAL,PHL,41
SAL,CUZ,40
SAL,BOS,39
SAL,MTY,38
SAL,MSP,37
SAL,ICN,37
SAL,PHX,35
SAL,YYC,34
SAL,YUL,33
SAL,NRT,33
SAL,AMS,32
SAL,TPA,32
SAL,BAQ,31
SAL,HKG,30
SAL,PAP,27
SAL,SEA,26
SAL,DTW,26
SAL,FRA,25
SAL,DCA,24
SAL,SDQ,24
SAL,SAT,24
SAL,GDL,24
SAL,PEK,24
SAL,LPB,23
SAL,PAC,23
SAL,HNL,22
SAL,CUC,22
SAL,IST,22
SAL,SJU,22
SAL,CTG,22
SAL,CUN,22
SAL,BNA,22
SAL,BGA,21
SAL,SVO,21
SAL,ASU,21
SAL,AUA,20
SAL,CDG,19
SAL,CLE,18
SAL,AUH,18
SAL,COR,18
SAL,CJA,18
SAL,MSY,18
SAL,DXB,17
SAL,DOH,17
SAL,POS,17
SAL,YVR,17
SAL,PUJ,16
SAL,IQT,15
SAL,TZA,15
SAL,LOH,15
SAL,PDX,15
SAL,SYD,15
SAL,AQP,15
SAL,BLA,14
SAL,MEM,14
SAL,PVG,14
SAL,MBJ,14
SAL,TRU,13
SAL,GIG,13
SAL,SMF,13
SAL,MCI,13
SAL,VLN,12
SAL,PIU,12
SAL,DAV,12
SAL,MUC,12
SAL,SYQ,12
SAL,SJC,12
SAL,NAS,12
SAL,CVG,11
SAL,LGW,11
SAL,MDW,11
SAL,MXP,10
SAL,MKE,10
SAL,AUS,10
SAL,PIT,10
SAL,ACY,10
SAL,MVD,10
SAL,SLC,10
SAL,MNL,10
SAL,JAN,10
SAL,CMH,9
SAL,ABQ,9
SAL,SMR,9
SAL,CPH,9
SAL,IND,9
SAL,RDU,9
SAL,GCM,9
SAL,POA,9
SAL,OAK,9
SAL,OKC,8
SAL,CIX,8
SAL,MEC,8
SAL,YEG,8
SAL,STL,8
SAL,ADZ,7
SAL,BUF,7
SAL,PLJ,7
SAL,CUK,7
