Origin,Terminal Destination,Occurrences
SAP,SAL,3059
SAP,FLL,2361
SAP,TGU,2128
SAP,GUA,2061
SAP,IAH,1397
SAP,RTB,1232
SAP,MIA,999
SAP,PTY,800
SAP,MEX,697
SAP,JFK,645
SAP,ATL,509
SAP,LCE,480
SAP,SJO,279
SAP,LIM,155
SAP,LGA,136
SAP,MGA,122
SAP,EWR,109
SAP,ORD,105
SAP,CLT,100
SAP,BWI,98
SAP,DFW,97
SAP,BOG,91
SAP,MCO,88
SAP,SFO,84
SAP,FRA,79
SAP,LHR,68
SAP,PHL,65
SAP,YYZ,63
SAP,GDL,62
SAP,BOS,57
SAP,PAP,54
SAP,BZE,53
SAP,LAX,52
SAP,YUL,46
SAP,TPA,43
SAP,DCA,43
SAP,MDE,38
SAP,LAS,37
SAP,DEN,34
SAP,CDG,33
SAP,SJU,32
SAP,HAV,31
SAP,GYE,31
SAP,MSP,31
SAP,ACY,31
SAP,UIO,30
SAP,SCL,27
SAP,PEU,26
SAP,MTY,25
SAP,AMS,25
SAP,CLO,24
SAP,DTW,24
SAP,DXB,21
SAP,SDQ,20
SAP,NRT,18
SAP,HPN,17
SAP,SEA,17
SAP,DOH,17
SAP,TIJ,15
SAP,UII,15
SAP,JAX,15
SAP,CCS,14
SAP,DAL,14
SAP,MSY,14
SAP,PHX,14
SAP,MBJ,13
SAP,MAD,13
SAP,CLE,13
SAP,AUA,12
SAP,BJX,12
SAP,IAD,12
SAP,YYC,12
SAP,BNA,12
SAP,CUR,12
SAP,CHS,12
SAP,BDL,11
SAP,MDW,11
SAP,SLC,11
SAP,KIN,11
SAP,GCM,11
SAP,LIR,11
SAP,PIT,11
SAP,SAN,10
SAP,IND,10
SAP,MKE,10
SAP,RDU,9
SAP,PDX,9
SAP,AUS,9
SAP,DME,9
SAP,SYR,9
SAP,NAS,9
SAP,SMF,8
SAP,LIS,8
SAP,SAT,8
SAP,GRR,8
SAP,ZRH,8
SAP,PUJ,8
SAP,CVG,7
SAP,ASU,7
SAP,GJA,6
SAP,LBE,6
SAP,MUC,6
SAP,DUS,6
SAP,CUK,6
SAP,BUF,6
SAP,HKG,6
SAP,MXP,6
SAP,POS,5
SAP,VIE,5
SAP,PVR,5
SAP,PVD,5
SAP,MEM,5
SAP,GRU,5
SAP,STL,5
SAP,SAV,5
SAP,MCI,5
SAP,BLA,5
SAP,PLJ,5
SAP,PBG,5
SAP,DGO,5
SAP,CMH,5
SAP,ALB,5
SAP,BHM,5
SAP,SDF,4
SAP,ROC,4
SAP,ICN,4
SAP,MAF,4
SAP,SXM,4
SAP,MFE,4
SAP,MLM,4
SAP,BDA,4
SAP,IST,4
SAP,HUX,4
SAP,TAM,4
SAP,OMA,4
SAP,SJD,4
SAP,ABQ,4
SAP,SHV,4
SAP,ACA,4
SAP,ORF,4
SAP,CUC,4
SAP,PLS,4
SAP,HMO,4
SAP,MYR,3
SAP,OKC,3
SAP,EYW,3
SAP,TZA,3
SAP,TRC,3
SAP,TYS,3
SAP,TUL,3
SAP,SLP,3
SAP,ACK,3
SAP,ELP,3
SAP,CRP,3
SAP,LCK,3
SAP,GND,3
SAP,LIT,3
SAP,FCO,3
SAP,BSB,3
SAP,EZE,3
SAP,TLH,3
SAP,TXL,3
SAP,CUL,3
SAP,EVV,3
SAP,AGU,3
SAP,HNL,3
SAP,BTV,3
SAP,PSP,3
SAP,BAQ,3
SAP,CAK,2
SAP,SVO,2
SAP,GSO,2
SAP,MAN,2
SAP,YVR,2
SAP,TAB,2
SAP,GPT,2
SAP,VER,2
SAP,CJS,2
SAP,PNS,2
SAP,BCN,2
SAP,MLI,2
SAP,SNU,2
SAP,QRO,2
SAP,YYT,2
SAP,CHO,2
SAP,SYD,2
SAP,PIA,2
SAP,AEP,2
SAP,TTN,2
SAP,XQP,2
SAP,HOU,2
SAP,BRU,2
SAP,PWM,2
SAP,PBI,2
SAP,AMM,2
SAP,ECP,2
SAP,GEO,2
SAP,SNA,2
SAP,ASE,2
SAP,TLV,2
SAP,OAX,2
SAP,MOB,2
SAP,LAP,2
SAP,JAN,2
SAP,STI,2
SAP,FWA,1
SAP,ROA,1
SAP,ADZ,1
SAP,BIS,1
SAP,ARN,1
SAP,DAV,1
SAP,OSL,1
SAP,COR,1
SAP,CJC,1
SAP,GIG,1
SAP,SGF,1
SAP,LNK,1
SAP,DAB,1
SAP,FSM,1
SAP,NSB,1
SAP,CUU,1
SAP,POA,1
SAP,TPE,1
SAP,BIM,1
SAP,YSJ,1
SAP,GRB,1
SAP,SCU,1
SAP,REX,1
SAP,PJM,1
SAP,SNN,1
SAP,LEX,1
SAP,MAR,1
SAP,ELH,1
SAP,HOB,1
SAP,TRI,1
SAP,CCP,1
SAP,HYD,1
SAP,ISP,1
SAP,MLU,1
SAP,ATH,1
SAP,HND,1
SAP,RNO,1
SAP,AVP,1
SAP,CLL,1
SAP,MAM,1
SAP,AUH,1
SAP,HRL,1
SAP,BTR,1
SAP,RSW,1
SAP,PAC,1
SAP,LOH,1
SAP,LFT,1
SAP,JAL,1
SAP,BGA,1
SAP,AGS,1
SAP,ISN,1
SAP,BKK,1
SAP,GSP,1
SAP,MEC,1
SAP,TUS,1
SAP,CNF,1
SAP,PAZ,1
SAP,BFS,1
SAP,BMI,1
SAP,PTP,1
SAP,PMO,1
SAP,TPQ,1
SAP,YOW,1
SAP,PMI,1
SAP,LZC,1
SAP,GGT,1
SAP,YEG,1
SAP,CTG,1
SAP,PHF,1
SAP,CMN,1
SAP,SRQ,1
SAP,GRK,1
SAP,PEK,1
SAP,CID,1
SAP,MVD,1
SAP,COO,1
SAP,HEL,1
SAP,XNA,1
SAP,SPR,1
SAP,RAP,1
SAP,LTN,1
SAP,SJC,1
SAP,LCH,1
SAP,FON,1
SAP,FPO,1
SAP,CHA,1
SAP,CAP,1
SAP,LRD,1
SAP,DAY,1
