,Code,sum_occur
1,MIA/FLL,6882
2,IAH,3426
3,JFK/EWR/LGA,2279
4,LAX,1187
5,ATL,860
6,IAD/DCA,714
7,DFW,593
8,SFO,555
9,ORD,453
10,MCO,413
11,CLT,237
12,BWI,175
13,LAS,151
14,BOS,134
15,DEN,133
16,PHL,122
17,SJU,92
18,TPA,90
19,MSP,83
20,DTW,72
,HND,62
,PHX,61
,SEA,52
,BNA,45
,ACY,44
,CLE,38
,GPI,38
,SAT,38
,MSY,37
,JAX,31
,HNL,29
,PDX,28
,AUS,27
,CVG,27
,PIT,26
,SAN,25
,BDL,24
,MDW,24
,MKE,24
,SMF,24
,HPN,23
,SLC,23
,CHS,22
,DAL,22
,IND,22
,RDU,22
,MCI,21
,MEM,21
,CMH,19
,STL,19
,SAW,16
,SJC,16
,ABQ,14
,BUF,14
,GRR,14
,SYR,14
,JAN,13
,PBI,13
,ROC,13
,SDF,13
,OKC,12
,EYW,11
,BHM,10
,HOU,10
,LIT,10
,MFE,10
,PSP,10
,TUL,10
,TUS,10
,CRP,9
,LBE,9
,OAK,9
,PNS,9
,ALB,8
,CAK,8
,MAF,8
,MOB,8
,PVD,8
,SAV,8
,BTV,7
,DAY,7
,ELP,7
,SNA,7
,TYS,7
,BTR,6
,ISP,6
,OMA,6
,ORF,6
,SHV,6
,TLH,6
,VPS,6
,ASE,5
,EGE,5
,MDT,5
,OGG,5
,PWM,5
,AMA,4
,EVV,4
,GSO,4
,GSP,4
,LBB,4
,LRD,4
,RNO,4
,SRQ,4
,XNA,4
,ACK,3
,CHA,3
,CHO,3
,CID,3
,COS,3
,FAT,3
,GPT,3
,LCK,3
,LFT,3
,MKG,3
,MYR,3
,PHF,3
,PIA,3
,RIC,3
,RSW,3
,SGF,3
,ABI,2
,ANC,2
,BMI,2
,BOI,2
,CLL,2
,CRW,2
,DSM,2
,EUG,2
,HRL,2
,ISN,2
,LCH,2
,LEX,2
,MHT,2
,MLI,2
,MLU,2
,MRY,2
,ONT,2
,PRC,2
,SBA,2
,SBP,2
,STT,2
,TTN,2
,ACT,1
,AEX,1
,AGS,1
,APF,1
,ATW,1
,AVP,1
,BIS,1
,BQN,1
,BUR,1
,BZN,1
,CAE,1
,CWA,1
,DAB,1
,FAR,1
,FSM,1
,FWA,1
,GCK,1
,GNV,1
,GRB,1
,GRK,1
,HDN,1
,HOB,1
,ICT,1
,JAC,1
,LNK,1
,LWS,1
,MCE,1
,MFR,1
,MLB,1
,MSN,1
,MTJ,1
,OAJ,1
,PAH,1
,RAP,1
,RDD,1
,RDM,1
,ROA,1
,SAF,1
,SBY,1
,SHD,1
,SPI,1
,STX,1
,TRI,1
,TWF,1
,VQS,1
