Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country",Occurrences,"Total Seats"
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,MIA,"Miami International",Miami,FL,"United States",44,19394
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,SAL,"El Salvador Intl","San Salvador",,"El Salvador",57,14472
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",27,10907
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,TGU,"Toncontin Intl",Tegucigalpa,,Honduras,35,8543
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",23,7710
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,RTB,"Juan Manuel Galvez",Roatan,,Honduras,33,6168
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,21,6072
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,GUA,"La Aurora International","Guatemala City",,Guatemala,21,5939
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",7,4607
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,MEX,"Benito Juarez Intl","Mexico City",,Mexico,4,1650
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",9,1230
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,LCE,"La Ceiba Intl","La Ceiba",,Honduras,6,648
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,EWR,"Newark Intl",Newark,NJ,"United States",4,602
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,HAV,"Jose Marti Intl",Havana,,Cuba,5,323
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,BZE,"Belize International","Belize City",,Belize,12,216
