Origin,"Terminal Destination",Occurrences
SAP,SAL,2830
SAP,GUA,2321
SAP,TGU,2318
SAP,FLL,1743
SAP,IAH,1722
SAP,MIA,1465
SAP,RTB,1282
SAP,PTY,924
SAP,ATL,630
SAP,LCE,490
SAP,MEX,433
SAP,JFK,334
SAP,SJO,212
SAP,EWR,159
SAP,LIM,150
SAP,BOG,131
SAP,MGA,128
SAP,DFW,111
SAP,LGA,109
SAP,CLT,100
SAP,BWI,82
SAP,PHL,78
SAP,BOS,74
SAP,ORD,73
SAP,LAX,72
SAP,MCO,69
SAP,SFO,62
SAP,BZE,61
SAP,SJU,59
SAP,DCA,52
SAP,DEN,50
SAP,GDL,46
SAP,MSP,40
SAP,LAS,38
SAP,YYZ,34
SAP,SDQ,33
SAP,TPA,33
SAP,DTW,31
SAP,LHR,31
SAP,HAV,30
SAP,UIO,30
SAP,PEU,29
SAP,CDG,27
SAP,JAX,27
SAP,HPN,27
SAP,SCL,27
SAP,GYE,23
SAP,MDE,23
SAP,UII,21
SAP,MDW,20
SAP,MTY,20
SAP,BNA,20
SAP,YUL,19
SAP,RDU,19
SAP,KIN,19
SAP,CLO,19
SAP,PHX,19
SAP,IAD,18
SAP,NAS,18
SAP,AMS,17
SAP,FRA,17
SAP,SEA,16
SAP,MAD,16
SAP,PNS,15
SAP,POS,15
SAP,PAP,14
SAP,CCS,14
SAP,DXB,14
SAP,MSY,14
SAP,BDL,14
SAP,SAT,14
SAP,GCM,14
SAP,MBJ,13
SAP,DME,12
SAP,SLC,12
SAP,GRU,12
SAP,CTG,11
SAP,LIR,11
SAP,ROC,10
SAP,MCI,10
SAP,ACY,10
SAP,IND,10
SAP,EYW,10
SAP,SJD,10
SAP,AUS,10
SAP,CLE,10
SAP,EZE,10
SAP,FPO,9
SAP,STL,9
SAP,AUA,9
SAP,PIT,9
SAP,DOH,9
SAP,CHS,8
SAP,SYR,8
SAP,BUF,8
SAP,SMF,7
SAP,CUC,7
SAP,ELP,7
SAP,PEI,7
SAP,PUJ,7
SAP,GSO,7
SAP,OKC,6
SAP,MFE,6
SAP,SDF,6
SAP,SHV,6
SAP,SJC,6
SAP,BHM,6
SAP,CVG,6
SAP,TUL,6
SAP,ORF,6
SAP,ABQ,6
SAP,PDX,6
SAP,YYC,6
SAP,CUR,5
SAP,LIS,5
SAP,BAQ,5
SAP,CUU,5
SAP,NRT,5
SAP,OMA,5
SAP,BCN,5
SAP,DAL,5
SAP,PBG,5
SAP,DAV,5
SAP,MXP,5
SAP,TXL,5
SAP,DUS,5
SAP,BLA,4
SAP,VIE,4
SAP,BGA,4
SAP,LIT,4
SAP,SAV,4
SAP,MVD,4
SAP,MAF,4
SAP,SLP,4
SAP,MAR,4
SAP,TIJ,4
SAP,STX,4
SAP,HNL,4
SAP,ICT,4
SAP,FCO,4
SAP,QRO,4
SAP,TYS,4
SAP,JAN,4
SAP,ZRH,4
SAP,LFT,4
SAP,SNA,3
SAP,TTN,3
SAP,PHF,3
SAP,COS,3
SAP,STI,3
SAP,ELH,3
SAP,RSW,3
SAP,TAM,3
SAP,PLS,3
SAP,TPE,3
SAP,ALB,3
SAP,HKG,3
SAP,DSM,3
SAP,BGI,3
SAP,GJA,3
SAP,LBE,3
SAP,TZA,3
SAP,GSP,3
SAP,VLD,3
SAP,CAK,3
SAP,CUL,3
SAP,CUN,3
SAP,VER,3
SAP,DGO,3
SAP,CUZ,3
SAP,PEK,3
SAP,BTR,3
SAP,XNA,3
SAP,CMH,3
SAP,BDA,3
SAP,ONT,2
SAP,MUC,2
SAP,SAN,2
SAP,CPH,2
SAP,SXM,2
SAP,CUK,2
SAP,AGS,2
SAP,PBI,2
SAP,MTT,2
SAP,GNV,2
SAP,BJX,2
SAP,PVR,2
SAP,LEX,2
SAP,AGU,2
SAP,LTN,2
SAP,PLJ,2
SAP,IST,2
SAP,YVR,2
SAP,OAJ,2
SAP,LBB,2
SAP,GGT,2
SAP,SKB,2
SAP,MKE,2
SAP,RIC,2
SAP,OAK,2
SAP,GIG,2
SAP,HOU,2
SAP,GRR,2
SAP,DEL,2
SAP,SPR,2
SAP,MHT,2
SAP,GER,2
SAP,BRU,2
SAP,PWM,2
SAP,PVD,2
SAP,ACA,2
SAP,STT,2
SAP,VVI,2
SAP,LAP,2
SAP,SNU,1
SAP,TLV,1
SAP,MGM,1
SAP,LOS,1
SAP,PDL,1
SAP,PMV,1
SAP,AEX,1
SAP,SBN,1
SAP,RIX,1
SAP,TUS,1
SAP,CVM,1
SAP,ICN,1
SAP,BLR,1
SAP,CWB,1
SAP,PVG,1
SAP,ABE,1
SAP,BIM,1
SAP,HOG,1
SAP,PBM,1
SAP,TLH,1
SAP,VKO,1
SAP,LCH,1
SAP,GJT,1
SAP,CTA,1
SAP,POA,1
SAP,KIV,1
SAP,BHX,1
SAP,PAC,1
SAP,LNK,1
SAP,ZLO,1
SAP,ETH,1
SAP,ASE,1
SAP,CMN,1
SAP,YHZ,1
SAP,MLM,1
SAP,CID,1
SAP,CHO,1
SAP,GPT,1
SAP,BSB,1
SAP,HSV,1
SAP,CAE,1
SAP,USA,1
SAP,TRC,1
SAP,COR,1
SAP,CNF,1
SAP,MYR,1
SAP,TYR,1
SAP,ECP,1
SAP,EDI,1
SAP,DAY,1
SAP,BUR,1
SAP,MOB,1
SAP,ACK,1
SAP,MLI,1
SAP,BGR,1
SAP,MEM,1
