Origin,Terminal Destination,Occurrences,
BOG,MDE,831,
BOG,CLO,689,
BOG,CTG,590,19999
BOG,PTY,510,
CCS,PMV,477,
BOG,BAQ,453,
BOG,BGA,413,
BOG,ADZ,386,
BOG,LIM,375,
BOG,SMR,374,
BOG,CUC,324,
GRU,SSA,313,
CCS,PZO,267,
BOG,MEX,248,
BOG,PEI,246,
CCS,MAR,245,
GRU,REC,238,
GRU,POA,233,
BOG,MIA,229,
BOG,SCL,222,
CCS,PTY,219,
CCS,AUA,217,
GRU,SCL,207,
GRU,FOR,195,
BOG,CCS,193,
GRU,CNF,170,
BOG,MTR,169,
GRU,BSB,168,
GRU,EZE,167,
CCS,BLA,156,
GRU,CWB,153,
BOG,EYP,150,
GRU,PTY,145,
BOG,NVA,139,
CCS,BOG,135,
GRU,GIG,133,
BOG,JFK,131,
BOG,FLL,129,
GRU,LIM,129,
CCS,VIG,122,
BOG,MZL,119,
GRU,VIX,119,
CCS,CUR,117,
SAL,IAH,116,
GRU,SDU,114,
BOG,GYE,108,
GRU,FLN,108,
GRU,AEP,108,
GRU,CGB,107,
BOG,CUN,104,
BOG,AXM,104,
GRU,IST,104,
GRU,MCZ,104,
GRU,MIA,103,
CCS,MUN,101,
CCS,BRM,98,
BOG,VUP,96,
CCS,STD,88,
BOG,EOH,87,
CCS,MIA,87,
BOG,MAD,85,
GRU,BEL,85,
SAL,GUA,84,
BOG,PSO,84,
GRU,GYN,79,
BOG,UIO,78,
GRU,NAT,75,
GRU,BOG,74,
SAL,PTY,73,
GRU,IGU,71,
BOG,PVA,70,
SAL,SJO,69,
BOG,SAL,68,
BOG,EZE,67,
BOG,AUC,67,
GRU,CGR,67,
SAL,FLL,66,
GRU,CDG,65,
GRU,DOH,65,
BOG,GRU,64,
GRU,MAD,64,
BOG,LHR,58,
GRU,MVD,57,
GRU,MAO,57,
BOG,IBE,55,
GRU,ASU,54,
GRU,LHR,53,
GRU,AJU,52,
BOG,PPN,50,
SAL,MIA,49,
SAL,LAX,47,
BOG,EJA,47,
GRU,SLZ,47,
BOG,SJO,46,
BOG,IAH,45,
BOG,BCN,44,
GRU,DXB,44,
GRU,MEX,43,
BOG,TCO,42,
BOG,CUZ,41,
BOG,BLB,41,
SAP,SAL,41,
GRU,FRA,41,
SAL,MEX,40,
SAL,TGU,40,
CCS,SDQ,40,
GRU,UIO,40,
GRU,LIS,40,
CCS,LSP,39,
GRU,MCO,39,
BOG,RCH,38,
SAL,LIM,37,
CCS,MAD,37,
GRU,BPS,37,
GRU,JFK,36,
CCS,POS,35,
SAL,BOG,34,
SAL,MGA,33,
SAL,SAP,33,
BOG,UIB,33,
BOG,LET,33,
CCS,EZE,33,
