Code,sum_occur
PTY,4849
FLL,3796
IAH,3426
GUA,3373
SAL,3264
MIA,3086
PMV,2780
TGU,2775
LIM,2639
MDE,2118
MEX,2052
BOG,1874
SJO,1817
PZO,1740
CLO,1729
MAR,1713
JFK,1436
RTB,1395
CTG,1314
AUA,1308
SCL,1305
LAX,1187
SSA,1107
BLA,1033
BAQ,972
POA,936
MAD,930
BGA,922
REC,909
EZE,874
ATL,860
FOR,830
VIG,817
ADZ,771
CUR,764
MGA,745
SMR,737
UIO,637
MUN,631
IAD,623
CUC,621
BRM,615
CNF,603
DFW,593
GIG,585
EWR,580
STD,580
GYE,557
SFO,555
CWB,532
LCE,528
CCS,503
BSB,498
YYZ,473
LHR,471
HAV,468
ORD,453
PEI,427
FLN,419
MCO,413
AEP,412
CDG,407
MTR,404
SAP,376
SDQ,374
IST,371
CUN,361
MCZ,354
VIX,346
CGB,323
LSP,322
GRU,313
SDU,309
FRA,308
BEL,301
IGU,281
EYP,278
AXM,266
LGA,263
NAT,259
DOH,257
MAO,247
GYN,243
MVD,243
DXB,242
CLT,237
MZL,234
NVA,233
ASU,225
EOH,220
LIS,217
BZE,208
AJU,204
VUP,202
LRV,201
CGR,200
SLZ,197
AMS,187
BPS,184
PUJ,184
POS,181
PSO,177
BWI,175
FCO,175
JPA,173
PVA,173
CUZ,157
CUM,155
BCN,153
LAS,151
BOS,134
AUC,133
DEN,133
EJA,125
GDL,122
PHL,122
YUL,116
LIR,114
NVT,110
SOM,108
BNS,104
LDB,104
FRS,103
MTY,99
AUH,97
LET,96
COR,93
THE,93
SJU,92
DCA,91
IBE,91
MGF,90
RAO,90
TPA,90
LPB,88
TCO,88
UIB,86
ZRH,86
RCH,85
PAP,84
MSP,83
VVI,81
PPN,79
MXP,78
MUC,77
AGT,76
CAJ,76
BLB,73
CAC,72
DTW,72
PET,67
NRT,66
CZE,65
FLA,64
HND,62
IQT,61
JDO,61
PHX,61
SFD,61
TPE,60
ADD,59
JNB,57
GEO,56
PUU,54
PYH,54
ICN,53
VVC,53
SEA,52
UDI,52
HKG,50
ROS,49
YYC,49
AQP,48
LFR,47
PMW,46
BNA,45
GCM,45
ACY,44
LGW,43
XAP,43
BON,42
PPB,41
ANF,40
PAC,40
SVO,40
VDC,40
CMN,39
JOI,39
RVE,39
SAT,38
CLE,38
GPI,38
PEK,38
VLN,38
MBJ,37
MSY,37
PLU,37
MVP,35
LQM,34
NAS,34
TIJ,34
MCP,33
PVH,33
FNC,32
JAX,31
IOS,30
MDZ,30
HNL,29
IMP,29
LAD,29
AKL,28
DUS,28
OPO,28
PDX,28
PEU,28
VGZ,28
AUS,27
CVG,27
DOU,27
FEN,27
JTC,27
PIT,26
RIA,26
CPH,25
CZU,25
KIN,25
PMC,25
PVG,25
SAN,25
SXM,25
TFN,25
BDL,24
MDW,24
MKE,24
ORY,24
SMF,24
SYD,24
TAB,24
YVR,24
APO,23
CBB,23
CCP,23
CJA,23
DAV,23
HPN,23
SLC,23
CHS,22
CIX,22
DAL,22
IND,22
PIU,22
RDU,22
SJP,22
BJX,21
CJC,21
LOH,21
LPA,21
MCI,21
MEM,21
PNZ,21
CMH,19
PCR,19
STL,19
TRU,19
BRA,18
BRC,18
BRU,18
BVB,18
GND,18
IQQ,18
TLV,18
TXL,18
TZA,18
BKK,17
CRD,17
MNL,17
PMI,17
VIE,17
CAN,16
DEL,16
ESM,16
PDA,16
SAW,16
SJC,16
DME,15
HMO,15
MAN,15
NQN,15
UII,15
ABQ,14
BGI,14
BUF,14
BUN,14
CAI,14
GRR,14
LSC,14
MAB,14
MID,14
OPS,14
RUH,14
SCU,14
SJD,14
SYR,14
TPP,14
YEG,14
YOW,14
ZCO,14
JAN,13
AFL,13
ANU,13
ARI,13
CUK,13
DUB,13
PBI,13
ROC,13
SDF,13
SID,13
SJE,13
VER,13
ACA,12
CMG,12
CPO,12
IKA,12
IPC,12
IZA,12
MEC,12
OKC,12
PLJ,12
ROO,12
SYQ,12
TGZ,12
ADB,11
ATH,11
BIO,11
BOM,11
EYW,11
HOG,11
KUL,11
LIN,11
PFB,11
SIN,11
STM,11
TAM,11
VSA,11
JUL,10
AMM,10
ARN,10
BHM,10
CUE,10
CUU,10
GVA,10
HOU,10
HUX,10
KIX,10
LIT,10
MEL,10
MFE,10
MLM,10
NCE,10
OSL,10
PDP,10
PRG,10
PSP,10
TUL,10
TUS,10
VCE,10
AYT,9
CGN,9
CRP,9
CUL,9
EDI,9
LBE,9
OAK,9
PBG,9
PNS,9
SLP,9
TLS,9
UBA,9
URG,9
VGO,9
