Code,sum_occur
PTY,5142
GUA,3830
FLL,3701
IAH,3460
SAL,3424
TGU,3071
PMV,2955
MIA,2828
LIM,2699
MDE,2289
MEX,2148
BOG,2029
PZO,1843
SJO,1840
MAR,1833
CLO,1784
RTB,1604
CTG,1443
SCL,1382
AUA,1371
JFK,1277
BLA,1168
SSA,1153
BAQ,1072
EZE,993
LAX,969
MAD,968
BGA,967
POA,897
REC,891
VIG,871
ADZ,846
ATL,829
CUR,797
MGA,786
SMR,779
FOR,757
CUC,674
MUN,665
CWB,658
CNF,645
GYE,643
BRM,640
STD,639
UIO,638
LCE,582
DFW,578
GIG,577
CCS,574
EWR,554
BSB,553
PEI,469
IAD,462
LHR,461
YYZ,436
SAP,430
SFO,416
ORD,406
IST,402
SDQ,401
HAV,394
VIX,388
CDG,387
AEP,386
FLN,385
MTR,384
SDU,376
MCZ,370
CUN,364
CGB,357
MCO,331
LSP,321
EYP,315
MAO,302
FRA,299
IGU,287
AXM,273
BEL,266
MZL,264
DOH,260
MVD,254
GRU,250
NAT,249
BZE,243
GYN,238
LIS,234
CLT,232
LGA,232
AJU,230
NVA,229
DXB,220
ASU,213
CGR,206
PUJ,205
LRV,204
EOH,198
VUP,198
PSO,196
SLZ,195
AMS,177
BPS,177
POS,176
CUM,174
BCN,173
JPA,173
PVA,162
FCO,161
CUZ,159
BWI,154
BOS,147
PHL,145
AUC,144
NVT,133
LIR,126
VVI,118
BNS,113
TCO,111
LAS,108
MGF,107
YUL,107
COR,106
SOM,106
EJA,105
LET,101
SJU,100
DTW,99
LDB,99
GDL,98
MTY,98
MSP,97
DEN,96
IBE,95
PPN,95
THE,95
BLB,92
RCH,92
FRS,91
AUH,90
LPB,90
DCA,87
MUC,82
SFD,82
UIB,82
TPA,81
MXP,78
PHX,77
FLA,76
ZRH,76
PAP,73
RAO,73
NRT,70
PUU,70
CAC,68
CAJ,68
JNB,68
VVC,66
UDI,62
GEO,59
AQP,58
PAC,57
ADD,56
CZE,56
SEA,56
BNA,55
PYH,55
IQT,54
MDZ,53
AGT,50
BON,50
JTC,50
PLU,50
ROS,50
HND,49
RVE,49
GPI,48
CMN,47
DOU,47
LFR,47
TPE,47
ANF,46
JOI,46
PMW,46
HKG,45
IOS,45
PPB,44
PVH,44
RIA,43
SVO,42
YYC,42
XAP,41
MSY,40
APO,39
VDC,39
ICN,38
SAT,37
JDO,37
VLN,37
CZU,36
DAV,36
JAX,36
NAS,36
CLE,35
LGW,35
VGZ,35
PEU,34
PVG,34
BRU,33
MDW,33
ACY,32
IQQ,32
MBJ,32
MCP,32
PIU,32
SLC,32
AKL,31
KIN,31
AUS,30
FNC,30
HPN,30
PEK,30
PET,30
SXM,30
YVR,30
CVG,29
LQM,29
MVP,29
ORY,29
PMC,29
RDU,29
TAB,29
GCM,28
CBB,27
CIX,27
TIJ,27
TZA,27
BUN,26
GND,26
HNL,26
LAD,26
SJD,26
BGI,25
CRD,25
ESM,25
OPO,25
PDX,25
PVR,25
