Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Occurrences,Total Seats
BOG,El Dorado Intl,Bogota,,Colombia,MDE,Jose Marie Cordova,Medellin,,Colombia,902,1704912
BOG,El Dorado Intl,Bogota,,Colombia,CLO,Alfonso B Aragon International,Cali,,Colombia,738,1356851
BOG,El Dorado Intl,Bogota,,Colombia,CTG,Rafael Nunez International,Cartagena,,Colombia,538,1017339
BOG,El Dorado Intl,Bogota,,Colombia,BAQ,Ernesto Cortissoz International,Barranquilla,,Colombia,434,788231
BOG,El Dorado Intl,Bogota,,Colombia,BGA,Palonegro International,Bucaramanga,,Colombia,359,622840
BOG,El Dorado Intl,Bogota,,Colombia,SMR,Simon Bolivar Intl,Santa Marta,,Colombia,238,522486
BOG,El Dorado Intl,Bogota,,Colombia,LIM,Jorge Chavez Intl,Lima,,Peru,109,497834
BOG,El Dorado Intl,Bogota,,Colombia,PEI,Matecana International,Pereira,,Colombia,301,478228
BOG,El Dorado Intl,Bogota,,Colombia,ADZ,Gustavo R. Pinilla Int,San Andres Island,,Colombia,130,461573
BOG,El Dorado Intl,Bogota,,Colombia,CUC,Camilo Daza,Cucuta,,Colombia,252,446568
BOG,El Dorado Intl,Bogota,,Colombia,SCL,Arturo M Benitez,Santiago,,Chile,50,278801
BOG,El Dorado Intl,Bogota,,Colombia,MTR,Los Garzones,Monteria,,Colombia,131,265186
BOG,El Dorado Intl,Bogota,,Colombia,PTY,"Tocumen Intl, Panama R",Panama City,,Panama,149,264271
BOG,El Dorado Intl,Bogota,,Colombia,MEX,Benito Juarez Intl,Mexico City,,Mexico,155,260207
BOG,El Dorado Intl,Bogota,,Colombia,CCS,Simon Bolivar International,Caracas,,Venezuela,37,242866
BOG,El Dorado Intl,Bogota,,Colombia,AXM,El Eden International,Armenia,,Colombia,115,233182
BOG,El Dorado Intl,Bogota,,Colombia,MAD,Adolfo Suarez-Barajas,Madrid,,Spain,20,227966
BOG,El Dorado Intl,Bogota,,Colombia,CUN,Cancun International,Cancun,,Mexico,51,195025
BOG,El Dorado Intl,Bogota,,Colombia,MIA,Miami International,Miami,FL,United States,42,190535
BOG,El Dorado Intl,Bogota,,Colombia,EYP,El Alcaravan,Yopal,,Colombia,78,189714
BOG,El Dorado Intl,Bogota,,Colombia,MZL,La Nubia,Manizales,,Colombia,64,179770
BOG,El Dorado Intl,Bogota,,Colombia,VUP,Alfonso Lopez Pumarejo,Valledupar,,Colombia,82,179314
BOG,El Dorado Intl,Bogota,,Colombia,NVA,Benito Salas,Neiva,,Colombia,110,172253
BOG,El Dorado Intl,Bogota,,Colombia,PSO,Antonio Narino,Pasto,,Colombia,88,146856
BOG,El Dorado Intl,Bogota,,Colombia,UIO,Mariscal Sucre Intl,Quito,,Ecuador,92,137096
BOG,El Dorado Intl,Bogota,,Colombia,GYE,Jose Joaquin de Olmedo,Guayaquil,,Ecuador,47,112260
BOG,El Dorado Intl,Bogota,,Colombia,GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,59,108566
BOG,El Dorado Intl,Bogota,,Colombia,LET,Alfredo V. Cobb Intl,Leticia,,Colombia,39,107454
BOG,El Dorado Intl,Bogota,,Colombia,EOH,Enrique Olaya Herrera,Medellin,,Colombia,65,99113
BOG,El Dorado Intl,Bogota,,Colombia,SJO,Juan Santamaria Intl,San Jose,,Costa Rica,18,97440
BOG,El Dorado Intl,Bogota,,Colombia,IBE,Perales,Ibague,,Colombia,51,89124
BOG,El Dorado Intl,Bogota,,Colombia,EJA,Yariguies,Barrancabermeja,,Colombia,43,88782
BOG,El Dorado Intl,Bogota,,Colombia,PUJ,Punta Cana International,Punta Cana,,Dominican Republic,32,85591
