code,seats
PTY,4235
MDE,3967
CLO,3295
LIM,2789
CTG,2780
MIA,2585
SCL,2208
BAQ,2036
PMV,1941
SSA,1925
BGA,1882
ADZ,1771
MEX,1659
REC,1630
SMR,1601
POA,1456
FOR,1432
CUC,1334
EZE,1282
PZO,1227
BOG,1221
MAR,1205
MAD,1147
FLL,1109
JFK,1092
CNF,1079
PEI,1018
IAH,991
GIG,973
CWB,962
AUA,942
BSB,856
CCS,833
MTR,814
BLA,773
FLN,727
SJO,697
GYE,695
LHR,695
EYP,673
VIX,666
AEP,652
UIO,648
CUN,631
MCZ,631
IST,626
GUA,611
CGB,580
CUR,564
SDU,554
CDG,544
NVA,544
AXM,542
SAL,520
IGU,509
LAX,508
MZL,505
EOH,498
BEL,494
VIG,490
DXB,483
VUP,458
GRU,455
MAO,455
NAT,440
BRM,434
MCO,427
MUN,421
PSO,412
STD,411
AJU,399
MVD,394
GYN,386
IAD,372
FRA,365
CGR,356
SLZ,353
DOH,351
TGU,347
BCN,343
DFW,340
LIS,331
SDQ,331
ASU,319
BPS,314
PVA,314
EWR,311
HAV,302
AUC,301
JPA,291
ATL,282
PUJ,277
MGA,262
YYZ,248
ORD,245
EJA,243
LSP,229
CUZ,224
TCO,223
AMS,221
LET,217
NVT,214
SFO,198
PPN,194
RCH,193
BLB,185
THE,185
FCO,184
IBE,178
LDB,177
MGF,175
LRV,158
COR,155
LPB,153
UIB,152
VVI,143
RAO,138
VVC,131
RTB,130
FLA,128
SAP,128
AUH,127
ADD,115
POS,115
MXP,112
PUU,108
CLT,106
ZRH,106
IOS,103
MUC,101
LGA,100
CAC,96
JNB,96
AGT,95
CUM,93
RVE,93
PET,92
PPB,88
SOM,86
UDI,82
JDO,80
SJU,80
XAP,78
CMN,76
LAS,76
BOS,75
IQT,74
VDC,74
PVH,73
DTW,69
GDL,69
GPI,69
MVP,69
ROS,69
PLU,68
VLN,68
DEN,67
AQP,65
CBB,65
PMW,65
BNS,64
APO,61
CZU,60
MTY,60
YUL,60
PYH,59
VGZ,59
PHL,58
LQM,57
JOI,55
LAD,55
BZE,54
SFD,54
MDZ,53
CZE,52
DOU,52
RIA,52
ANF,51
BWI,50
IMP,50
MCP,49
PCR,49
FEN,48
JTC,47
CCP,46
OPO,46
PAC,46
AKL,45
BUN,44
DCA,44
ESM,43
FRS,42
GEO,41
IQQ,41
PMC,41
ICN,40
NRT,40
CAJ,39
PDA,39
PEK,38
CJC,37
HKG,37
PHX,37
TPA,37
LGW,36
OPS,36
SVO,36
LFR,35
MSP,35
SJE,35
SJP,34
BRC,33
LIR,33
ORY,33
PIU,33
PNZ,33
DEL,32
BON,31
BRU,31
LSC,30
TXL,30
ARN,29
LCE,29
ZCO,29
MAB,28
TPP,27
VIE,27
VSA,27
IPC,26
MBJ,26
PVG,26
CIX,25
CUE,25
PFB,25
SLA,25
BKK,24
GVA,24
SEA,24
TIJ,24
BVB,23
DAV,23
DUB,23
NAS,23
PTX,23
STM,23
FNC,22
MID,22
PAP,22
TLV,22
YYC,22
BOM,21
CPH,21
HND,21
MAN,21
RUH,21
JUL,20
DUS,20
PMI,20
TFN,20
YVR,20
ARI,19
CMG,19
GCM,19
LPA,19
SIN,19
TAB,19
TPE,19
URG,19
BRA,18
CRD,18
IKA,18
ADB,17
CPO,17
FTE,17
HAM,17
KIN,17
MOC,17
MSY,17
SID,17
TGZ,17
BGI,16
CLE,16
GND,16
KWI,16
NCE,16
RGL,16
TAM,16
ATH,15
AYT,15
CAN,15
CUU,15
IND,15
JED,15
MXL,15
OSL,15
RBR,15
SAN,15
SMF,15
TRU,15
AFL,14
BIO,14
BNA,14
CAI,14
GVR,14
LPD,14
MEL,14
TCQ,14
ACY,13
ATM,13
HEL,13
IZA,13
LOH,13
OAL,13
SXM,13
TFF,13
USH,13
WAW,13
ALG,12
BLQ,12
CMH,12
ESB,12
HMO,12
KHI,12
NQN,12
PVR,12
STL,12
UBA,12
ZAL,12
AUS,11
CAW,11
CJA,11
CPV,11
IPN,11
LMC,11
MNL,11
OAX,11
PDX,11
PIT,11
RDU,11
SLC,11
TJL,11
TUN,11
YOW,11
SAT,10
BDL,10
BHI,10
BUF,10
CMB,10
CUL,10
LIN,10
LUX,10
LYS,10
PBI,10
PRG,10
REX,10
RGA,10
SAW,10
SVI,10
YEG,10
BUD,9
CHS,9
CJS,9
HNL,9
HUU,9
LTX,9
LUO,9
MRS,9
PBM,9
PUQ,9
ROO,9
TUC,9
VCE,9
VER,9
VGO,9
YHZ,9
ACA,8
AGP,8
BBA,8
BLR,8
BSC,8
CGN,8
CPT,8
CTA,8
CVG,8
DMM,8
HPN,8
HUX,8
JAX,8
JUJ,8
KIX,8
MCI,8
MCT,8
MLE,8
NQU,8
PAV,8
PCL,8
ROC,8
STI,8
TRC,8
TZA,8
ZAG,8
BEY,7
BJX,7
CGK,7
CKS,7
HSV,7
JPR,7
NBO,7
OTP,7
PMY,7
SAV,7
SJC,7
SNA,7
SVQ,7
TUL,7
UAQ,7
VKO,7
VLC,7
NOV,6
ADA,6
ALC,6
AMM,6
ANU,6
CCJ,6
CME,6
COK,6
DAC,6
DME,6
EDI,6
FLR,6
HAJ,6
HOG,6
KBP,6
MAA,6
MEC,6
MII,6
MLM,6
NTE,6
OAK,6
PDP,6
RNG,6
SCQ,6
SJD,6
SLU,6
STT,6
SYD,6
TAP,6
TBT,6
TME,6
TNG,6
TRV,6
TXF,6
ALB,5
BHM,5
BVH,5
CAE,5
CIA,5
CRL,5
CTM,5
CZM,5
DAL,5
EBL,5
EYW,5
GLA,5
GYD,5
IBZ,5
ISP,5
KRK,5
LCG,5
LPL,5
LTN,5
MEA,5
MKE,5
NCL,5
OCC,5
OKC,5
OMA,5
RIX,5
SEZ,5
TJA,5
TLS,5
TPQ,5
TRN,5
XRY,5
JAN,4
ACE,4
AFA,4
AYP,4
BAH,4
BDA,4
BEG,4
BGY,4
BHX,4
BTV,4
CEN,4
CFB,4
CUK,4
DAY,4
DGO,4
DWC,4
ELQ,4
FPO,4
FUE,4
GOT,4
HAN,4
HHN,4
HKT,4
ICT,4
ISB,4
KBL,4
KTM,4
KUL,4
LAP,4
LCA,4
LEC,4
MEM,4
MLU,4
MZT,4
NAP,4
NKT,4
NUE,4
OGG,4
PER,4
PSA,4
PSP,4
PWM,4
RAI,4
RES,4
RIC,4
RSW,4
SCY,4
SLP,4
SOF,4
STN,4
STR,4
SXF,4
SYQ,4
TLH,4
TZX,4
YQM,4
ZIH,4
ABJ,3
ABQ,3
ACC,3
AMD,3
ASR,3
BGO,3
BJV,3
BOD,3
BSL,3
CAB,3
CMW,3
COS,3
CPE,3
CVM,3
DIY,3
DKR,3
DSM,3
DUR,3
FEC,3
IFN,3
IGR,3
ISU,3
KEF,3
LBB,3
LED,3
LEI,3
LGQ,3
LHE,3
LOS,3
MDW,3
MED,3
MOB,3
MTT,3
NLD,3
ODS,3
OVD,3
PAZ,3
PBC,3
PBG,3
PDS,3
PJM,3
PLS,3
PLZ,3
PMO,3
PNQ,3
PNS,3
PVD,3
RBA,3
RHD,3
SCU,3
SDF,3
SKG,3
SNU,3
SPC,3
SVD,3
TBS,3
TFS,3
TGI,3
UII,3
VAN,3
VCP,3
VLV,3
WMI,3
XNA,3
YHM,3
