"","Code","State","sum_occur"
"1","ANC","AK",1
"2","BHM","AL",10
"3","HSV","AL",3
"4","MGM","AL",1
"5","FSM","AR",3
"6","LIT","AR",7
"7","XNA","AR",6
"8","PHX","AZ",52
"9","TUS","AZ",8
"10","BFL","CA",1
"11","BUR","CA",2
"12","FAT","CA",2
"13","LAX","CA",997
"14","LGB","CA",1
"15","MRY","CA",1
"16","OAK","CA",11
"17","ONT","CA",1
"18","PSP","CA",8
"19","SAN","CA",25
"20","SBA","CA",1
"21","SFO","CA",384
"22","SJC","CA",22
"23","SMF","CA",22
"24","SNA","CA",12
"25","ASE","CO",2
"26","COS","CO",1
"27","DEN","CO",109
"28","DRO","CO",1
"29","EGE","CO",8
"30","GJT","CO",1
"31","MTJ","CO",1
"32","BDL","CT",29
"33","IAD/DCA","DC",584
"34","DAB","FL",2
"35","EYW","FL",10
"36","GNV","FL",3
"37","JAX","FL",43
"38","MCO","FL",320
"39","MIA","FL",2836
"40","MIA/FLL","FL",3716
"41","PBI","FL",17
"42","PNS","FL",8
"43","RSW","FL",10
"44","TLH","FL",1
"45","TPA","FL",88
"46","VPS","FL",4
"47","ABY","GA",1
"48","AGS","GA",4
"49","ATL","GA",750
"50","SAV","GA",11
"51","HNL","HI",31
"52","ITO","HI",2
"53","LIH","HI",3
"54","OGG","HI",2
"55","CID","IA",1
"56","DBQ","IA",1
"57","DSM","IA",3
"58","BOI","ID",1
"59","SUN","ID",1
"60","BMI","IL",1
"61","DEC","IL",1
"62","MDW","IL",25
"63","MLI","IL",1
"64","ORD","IL",398
"65","PIA","IL",1
"66","SPI","IL",1
"67","IND","IN",20
"68","SBN","IN",4
"69","ICT","KS",7
"70","LEX","KY",1
"71","SDF","KY",12
"72","AEX","LA",2
"73","BTR","LA",7
"74","LCH","LA",3
"75","LFT","LA",6
"76","MLU","LA",1
"77","MSY","LA",42
"78","SHV","LA",3
"79","ACK","MA",1
"80","BOS","MA",160
"81","BWI","MD",149
"82","PWM","ME",6
"83","DTW","MI",100
"84","FNT","MI",2
"85","GRR","MI",6
"86","MBS","MI",1
"87","SAW","MI",9
"88","MSP","MN",53
"89","RST","MN",1
"90","MCI","MO",14
"91","SGF","MO",2
"92","STL","MO",22
"93","JAN","MS",6
"94","GPI","MT",32
"95","AVL","NC",1
"96","CLT","NC",228
"97","GSO","NC",7
"98","ILM","NC",3
"99","OAJ","NC",2
"100","RDU","NC",31
"101","FAR","ND",1
"102","ISN","ND",3
"103","LNK","NE",1
"104","OMA","NE",8
"105","MHT","NH",4
"106","ACY","NJ",45
"107","JFK/EWR/LGA","NJ",534
"108","TTN","NJ",5
"109","ABQ","NM",13
"110","HOB","NM",2
"111","HND","NV",42
"112","LAS","NV",109
"113","RNO","NV",4
"114","ALB","NY",9
"115","BUF","NY",14
"116","HPN","NY",25
"117","ISP","NY",18
"118","ITH","NY",1
"119","JFK/EWR/LGA","NY",1422
"120","ROC","NY",10
"121","SYR","NY",9
"122","CAK","OH",5
"123","CLE","OH",26
"124","CMH","OH",14
"125","CVG","OH",16
"126","DAY","OH",2
"127","LCK","OH",1
"128","OKC","OK",11
"129","TUL","OK",14
"130","EUG","OR",1
"131","PDX","OR",13
"132","ABE","PA",2
"133","AVP","PA",1
"134","LBE","PA",4
"135","MDT","PA",2
"136","PHL","PA",157
"137","PIT","PA",15
"138","PSE","PR",1
"139","SJU","PR",119
"140","VQS","PR",1
"141","PVD","RI",9
"142","CAE","SC",4
"143","CHS","SC",9
"144","GSP","SC",2
"145","MYR","SC",2
"146","RAP","SD",1
"147","BNA","TN",33
"148","CHA","TN",2
"149","MEM","TN",13
"150","TRI","TN",1
"151","TYS","TN",9
"152","AMA","TX",1
"153","AUS","TX",20
"154","BRO","TX",2
"155","CLL","TX",1
"156","CRP","TX",2
"157","DAL","TX",15
"158","DFW","TX",540
"159","ELP","TX",7
"160","GRK","TX",4
"161","HOU","TX",13
"162","HRL","TX",2
"163","IAH","TX",3433
"164","LBB","TX",2
"165","LRD","TX",3
"166","MAF","TX",13
"167","MFE","TX",13
"168","SAT","TX",28
"169","TYR","TX",1
"170","SLC","UT",21
"171","CHO","VA",2
"172","ORF","VA",13
"173","RIC","VA",11
"174","ROA","VA",1
"175","STT","VI",3
"176","STX","VI",1
"177","BTV","VT",3
"178","GEG","WA",1
"179","SEA","WA",54
"180","ATW","WI",1
"181","CWA","WI",1
"182","GRB","WI",1
"183","MKE","WI",16
"184","MSN","WI",2
"185","CRW","WV",3
"186","JAC","WY",2
