Code,sum_occur
JAN,6
MAR,1715
JUL,12
NOV,1
SUN,1
SAT,28
DEC,1
ABE,2
ABJ,1
ABQ,13
ABY,1
ABZ,4
ACA,17
ACE,1
ACK,1
ACR,2
ACY,45
ADB,8
ADD,44
ADL,1
ADZ,831
AEP,397
AER,2
AEX,2
AFA,2
AFL,15
AGP,8
AGS,4
AGT,46
AGU,6
AHO,1
AJU,213
AKL,35
ALB,9
ALC,5
ALG,5
AMA,1
AMD,1
AMM,3
AMS,171
ANC,1
ANF,37
ANS,2
ANU,10
APO,33
AQP,55
ARI,14
ARN,14
ASE,2
ASR,1
ASU,192
ATA,1
ATH,8
ATL,750
ATM,11
ATW,1
AUA,1386
AUC,138
AUH,87
AUS,20
AVL,1
AVP,1
AXA,1
AXM,246
AYP,3
AYT,4
BAH,7
BAL,1
BAQ,992
BBA,3
BCN,141
BCV,2
BDA,8
BDL,29
BEG,3
BEL,291
BEY,4
BFL,1
BFN,1
BGA,860
BGI,17
BGO,1
BGW,1
BGY,7
BHD,4
BHI,3
BHM,10
BHX,2
BIM,2
BIO,4
BJX,16
BKK,11
BLA,1140
BLB,88
BLL,2
BLQ,7
BLR,3
BMI,1
BNA,33
BNE,6
BNS,80
BOC,2
BOD,5
BOG,1994
BOI,1
BOM,14
BON,59
BOS,160
BPS,155
BRA,11
BRC,10
BRM,612
BRO,2
BRS,2
BRU,23
BSB,497
BSC,6
BSL,3
BTR,7
BTV,3
BUD,5
BUF,14
BUN,31
BUR,2
BVA,4
BVB,9
BVH,4
BWI,149
BZE,225
BZV,2
CAB,9
CAC,69
CAE,4
CAG,1
CAI,8
CAJ,75
CAK,5
CAN,5
CAP,1
CAW,5
CAY,1
CBB,35
CCC,2
CCJ,5
CCP,23
CCS,564
CDG,369
CEN,2
CFB,3
CGB,348
CGH,1
CGN,5
CGP,1
CGR,195
CHA,2
CHC,2
CHO,2
CHS,9
CHX,1
CIA,3
CID,1
CIX,23
CJA,21
CJC,23
CJS,4
CKS,3
CLE,26
CLL,1
CLO,1782
CLQ,3
CLT,228
CMB,3
CME,3
CMG,9
CMH,14
CMN,28
CMW,4
CNF,647
COK,9
COR,104
COS,1
CPE,1
CPH,10
CPO,13
CPT,7
CPV,6
CRD,17
CRL,3
CRP,2
CRW,3
CTA,4
CTG,1316
CTM,1
CTU,2
CUC,641
CUE,21
CUK,14
CUL,13
CUM,160
CUN,400
CUR,766
CUU,7
CUZ,146
CVG,16
CVM,8
CWA,1
CWB,566
CYB,3
CYO,2
CZE,50
CZH,1
CZM,3
CZU,33
DAB,2
DAC,2
DAL,15
DAR,3
DAV,24
DAY,2
DBQ,1
DCA,90
DDG,1
DEL,18
DEN,109
DFW,540
DGA,5
DGO,5
DIY,2
DKR,4
DME,18
DMM,2
DOH,234
DOU,37
DPS,1
DRK,3
DRO,1
DRS,1
DSM,3
DTW,100
DUB,14
DUR,5
DUS,23
DWC,1
DXB,243
DYU,1
EAS,1
EBL,6
ECN,4
ECP,2
EDI,4
EGE,8
EIS,1
EJA,100
ELH,2
ELP,7
ELQ,2
ELS,3
EOH,194
EQS,3
ERZ,1
ESB,6
ESM,28
ETR,4
EUG,1
EUX,1
EWR,534
EYP,317
EYW,10
EZE,951
FAR,1
FAT,2
FBM,1
FCO,150
FDH,1
FEN,29
FIH,1
FKB,1
FLA,65
FLL,3716
FLN,413
FLR,1
FMA,2
FMO,1
FNC,27
FNT,2
FON,6
FOR,743
FPO,11
FRA,296
FRS,104
FRU,1
FSM,3
FTE,12
FUE,4
FUK,2
GAO,3
GCM,23
GDL,86
GEG,1
GEO,61
GER,5
GGT,1
GIG,561
GJA,8
GJT,1
GLA,3
GLF,2
GND,30
GNV,3
GOA,1
GOJ,1
GOT,5
GPI,32
GPS,1
GRB,1
GRJ,1
GRK,4
GRR,6
GRU,258
GRV,1
GRX,3
GRZ,1
GSO,7
GSP,2
GUA,3712
GVA,25
GVR,5
GYD,3
GYE,627
GYN,265
GZT,1
HAJ,5
HAK,1
HAM,13
HAN,1
HAV,389
HBE,1
HEL,10
HHN,1
HKG,27
HKT,1
HMO,15
HND,42
HNL,31
HOB,2
HOG,10
HOU,13
HPN,25
HRB,2
HRG,3
HRL,2
HSV,3
HUU,3
HUX,8
HYD,1
IAD,494
IAH,3433
IBE,108
IBZ,4
ICN,39
ICT,7
IGD,1
IGR,3
IGU,283
IKA,8
ILM,3
IMP,30
IND,20
IOS,49
IPC,6
IPN,15
IQQ,22
IQT,52
IRJ,3
ISB,3
ISE,1
ISN,3
ISP,18
IST,338
ISU,2
ITH,1
ITO,2
IZA,7
JAC,2
JAL,1
JAU,5
JAX,43
JBQ,1
JDO,40
JED,15
JFK,1180
JIB,1
JNB,61
JOI,33
JPA,172
JPR,2
JTC,31
JUJ,1
KBL,1
KBP,8
KCM,1
KHH,1
KHI,4
KIN,40
KIX,13
KMG,1
KMI,1
KNO,1
KRK,1
KSH,1
KTM,2
KUL,5
KWI,6
LAD,23
LAP,2
LAQ,1
LAS,109
LAX,997
LBB,2
LBE,4
LBV,1
LCE,596
LCG,2
LCH,3
LCK,1
LCY,1
LDB,103
LEC,4
LED,2
LEI,1
LET,97
LEX,1
LFR,34
LFT,6
LGA,242
LGB,1
LGQ,2
LGW,27
LHE,1
LHR,410
LIH,3
LIM,2612
LIN,9
LIO,1
LIR,131
LIS,224
LIT,7
LJU,1
LMC,12
LMM,2
LNK,1
LNZ,1
LOH,22
LOS,4
LPA,14
LPB,67
LPD,4
LPL,4
LQM,36
LRD,3
LRM,1
LRV,206
LSC,12
LSP,360
LTN,3
LTX,9
LUO,4
LUX,3
LUZ,1
LYS,9
LZC,3
MAA,1
MAB,10
MAD,875
MAF,13
MAH,1
MAM,1
MAN,13
MAO,294
MBJ,32
MBS,1
MCI,14
MCO,320
MCP,26
MCT,4
MCZ,358
MDE,2177
MDQ,2
MDT,2
MDW,25
MDZ,42
MEA,4
MEC,7
MED,3
MEL,10
MEM,13
MEX,2063
MFE,13
MGA,789
MGF,96
MGM,1
MHH,1
MHT,4
MIA,2836
MID,16
MII,2
MJI,1
MKE,16
MLE,3
MLI,1
MLM,6
MLN,1
MLU,1
MLX,1
MMK,1
MNL,13
MOC,11
MPL,3
MQP,2
MQT,1
MRS,10
MRU,1
MRV,1
MRY,1
MSN,2
MSP,53
MSQ,1
MSY,42
MTJ,1
MTR,348
MTT,3
MTY,89
MUB,1
MUC,89
MUN,673
MVD,208
MVP,24
MXL,7
MXP,69
MYR,2
MZL,230
MZT,12
NAL,1
NAN,1
NAP,5
NAS,41
NAT,263
NAV,1
NBO,3
NCE,8
NIM,3
NKG,2
NLD,3
